stage,topology_seed,dynamics_seed,arm,detected_index,event_time_ms,primary_eligible,primary_exclusion_reasons,prolonged,n_unique_contacts,n_finite_centroids,multiple_local_bursts_contact_fraction,median_mass_outside_detection,mode,support_state,distance_mode0,distance_mode1,in_primary_window,window_start_ms,window_end_ms,qualifying_start_ms,qualifying_end_ms,centroid_SCL9_ms,centroid_ICL11_ms,centroid_SCL8_ms,centroid_ICL10_ms,centroid_SCL7_ms,centroid_ICL9_ms,centroid_ICL8_ms,centroid_SCL6_ms,centroid_ICL7_ms,centroid_ICL6_ms,centroid_ICL5_ms,centroid_ICL4_ms,centroid_ICL3_ms,centroid_ICL2_ms,centroid_ICL1_ms,route_upper_SCL_n,route_upper_SCL_ms,route_right_ICL_n,route_right_ICL_ms,route_middle_ICL_n,route_middle_ICL_ms,route_left_ICL_n,route_left_ICL_ms,route_middle_before_both_ICL_ends,route_right_before_upper_and_left,route_upper_and_left_before_right
screen,2511,820102,B1,7,3331.0,True,,False,9,9,0.0,0.04554400855299021,0,1,0.29871405556409963,0.373261473599393,False,3206.0,3456.0,3300.0,3362.0,3350.51416015625,,3340.32421875,,3336.81298828125,,,3325.20263671875,,,3315.241943359375,3321.01220703125,3327.76513671875,3334.32861328125,3340.23095703125,4,3338.568603515625,2,3337.27978515625,1,3315.241943359375,0,,,,
screen,2511,820102,B1,8,3604.0,True,,False,9,9,0.0,0.044576349264177646,0,1,0.41022658881304686,0.4294706758587588,False,3478.0,3728.0,3572.0,3636.0,3607.539306640625,,3597.74267578125,,3592.2802734375,3610.207763671875,3614.68017578125,,3625.91845703125,,,,3600.040771484375,3606.643310546875,3612.509521484375,3,3597.74267578125,2,3609.576416015625,2,3620.29931640625,1,3610.207763671875,False,False,False
screen,2511,820102,B1,9,4845.0,False,overlapping_window,False,11,11,0.0,0.03166385555981735,1,1,0.5555083638640682,0.250062427055619,False,4720.0,4970.0,4814.0,4876.0,,4824.02392578125,,4822.07470703125,,4826.29833984375,4833.76806640625,,4839.9248046875,4845.37939453125,4851.46240234375,4857.3779296875,4864.82421875,4871.75732421875,4877.70751953125,0,,2,4874.732421875,4,4842.652099609375,3,4824.02392578125,False,,
screen,2511,820102,B1,10,5092.0,False,overlapping_window,False,9,9,0.0,0.03048465744968204,1,1,0.45919112649844546,0.22449005663392824,False,4966.0,5216.0,5064.0,5120.0,,,,,,5070.42724609375,5076.958984375,,5082.5703125,5086.05419921875,5090.36376953125,5095.8671875,5101.4208984375,5107.880859375,5113.4140625,0,,2,5110.6474609375,4,5084.312255859375,1,5070.42724609375,False,,
screen,2511,820102,B1,11,5372.0,True,,False,11,11,0.0,0.03144263058538937,1,1,0.5790320650429933,0.3917845939661294,False,5246.0,5496.0,5340.0,5404.0,,,,5341.69091796875,,5347.5224609375,5352.86669921875,5398.9833984375,5359.251953125,5364.39697265625,5370.0869140625,5376.5751953125,5384.6708984375,5391.68017578125,5397.77294921875,1,5398.9833984375,2,5394.7265625,4,5361.824462890625,2,5344.606689453125,False,False,False
screen,2511,820102,B1,12,5806.0,True,,False,14,14,0.0,0.06486563545821795,1,1,0.5966149082315376,0.25652988244847175,False,5680.0,5930.0,5770.0,5842.0,5771.6875,5790.9345703125,5779.12451171875,5794.54052734375,5784.619140625,5801.501953125,5809.16552734375,5794.53271484375,5816.09326171875,5822.42724609375,5830.04541015625,5836.57763671875,5845.38232421875,5852.052734375,,4,5781.871826171875,1,5852.052734375,4,5819.26025390625,3,5794.54052734375,False,False,True
screen,2511,820102,B1,13,6065.0,True,,False,13,13,0.0,0.03210568342950472,1,1,0.5666946438305019,0.24222809448041382,False,5940.0,6190.0,6026.0,6104.0,6053.5,,6045.7607421875,,6046.4619140625,6051.361328125,6057.68115234375,6054.99560546875,6064.42919921875,6069.9736328125,6076.259765625,6082.59716796875,6090.40966796875,6097.494140625,6103.49169921875,4,6049.98095703125,2,6100.492919921875,4,6067.201416015625,1,6051.361328125,False,False,True
screen,2511,820102,B1,14,6797.0,True,,False,13,13,0.0,0.048586281885049556,0,1,0.4150351883966289,0.4260799599098051,False,6672.0,6922.0,6758.0,6836.0,6785.2119140625,,6792.6474609375,6785.36328125,6799.33154296875,6790.83203125,6799.8564453125,6805.93798828125,6808.26318359375,6816.4375,6824.654296875,6830.97265625,,6771.22265625,6776.64794921875,4,6795.989501953125,2,6773.935302734375,4,6812.350341796875,2,6788.09765625,False,True,False
screen,2511,820102,B1,15,7064.0,False,overlapping_window,False,11,11,0.0,0.044363586288671236,0,0,0.5719997170866904,0.6417481215724836,False,6938.0,7188.0,7044.0,7084.0,7102.5078125,,7094.3974609375,,7088.56884765625,7027.69140625,7033.7353515625,7078.5546875,7039.36279296875,7042.97900390625,7049.43408203125,7054.662109375,,,7042.130859375,4,7091.483154296875,1,7042.130859375,4,7041.1708984375,1,7027.69140625,False,False,False
screen,2511,820102,B1,16,7265.0,False,overlapping_window,False,8,8,0.0,0.04449432566402728,1,1,0.5515187071656878,0.39523762434320125,False,7140.0,7390.0,7250.0,7280.0,,7239.29443359375,,,,,7262.35107421875,,7269.5263671875,7274.27685546875,7280.25732421875,,7280.42431640625,7286.66162109375,7292.83349609375,0,,2,7289.74755859375,4,7271.901611328125,1,7239.29443359375,False,,
