stage,topology_seed,dynamics_seed,arm,initial_state_id,physical_status,actual_duration_ms,runaway_early_stop_ms,n_detected_windows,n_primary_events,n_primary_classified,n_primary_unclassifiable,n_excluded_windows,n_excluded_overlap,n_excluded_prolonged,n_excluded_insufficient_centroids,n_censored_boundary,primary_event_rate_per_s,median_inter_event_interval_ms,median_qualifying_duration_ms,scl_participation_fraction,supported_fraction,unsupported_fraction,median_distance_assigned_mode,input_digest_n_segments,simulation_wall_seconds,wall_seconds,peak_rss_gib,primary_M0,primary_M1,primary_unclassifiable,primary_mode0_proportion,secondary_0_M0,secondary_0_M1,secondary_0_unclassifiable,secondary_0_mode0_proportion,secondary_1_M0,secondary_1_M1,secondary_1_unclassifiable,secondary_1_mode0_proportion,secondary_2_M0,secondary_2_M1,secondary_2_unclassifiable,secondary_2_mode0_proportion,secondary_3_M0,secondary_3_M1,secondary_3_unclassifiable,secondary_3_mode0_proportion,secondary_4_M0,secondary_4_M1,secondary_4_unclassifiable,secondary_4_mode0_proportion,late_window_ms
screen,2511,820105,B0,B0_reset,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,55,26,26,0,29,29,0,0,2,1.1063829787234043,470.0,64.0,0.8076923076923077,0.5384615384615384,0.38461538461538464,0.45643967390060425,24,1487.4420037269592,1528.2073159217834,14.691619873046875,9,6,0,0.6,1,4,0,0.2,2,4,0,0.3333333333333333,7,5,0,0.5833333333333334,2,1,0,0.6666666666666666,12,14,0,0.46153846153846156,"[12000.0, 24000.0]"
screen,2511,820105,B1,B1_core0_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,54,23,23,0,31,31,0,0,3,0.9787234042553191,705.5,60.0,0.5217391304347826,0.5652173913043478,0.21739130434782608,0.4115417003631592,24,1518.733121395111,1560.3268699645996,14.691722869873047,3,7,0,0.3,1,4,0,0.2,4,4,0,0.5,3,4,0,0.42857142857142855,0,3,0,0.0,8,15,0,0.34782608695652173,"[12000.0, 24000.0]"
screen,2511,820105,B2,B2_core1_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,52,25,25,0,27,27,0,0,3,1.0638297872340425,736.5,64.0,0.76,0.76,0.16,0.39241138100624084,24,1484.5371990203857,1525.6115593910217,14.69256591796875,4,8,0,0.3333333333333333,3,3,0,0.5,2,5,0,0.2857142857142857,1,2,0,0.3333333333333333,3,6,0,0.3333333333333333,9,16,0,0.36,"[12000.0, 24000.0]"
screen,2511,820106,B0,B0_reset,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,63,29,29,0,34,34,0,0,2,1.2340425531914894,375.0,60.0,0.6896551724137931,0.6206896551724138,0.06896551724137931,0.3972223997116089,24,1522.2161977291107,1563.1103942394257,14.691917419433594,7,8,0,0.4666666666666667,4,5,0,0.4444444444444444,3,2,0,0.6,2,3,0,0.4,5,5,0,0.5,14,15,0,0.4827586206896552,"[12000.0, 24000.0]"
screen,2511,820106,B1,B1_core0_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,55,26,26,0,29,29,0,0,2,1.1063829787234043,544.0,67.0,0.9230769230769231,0.5,0.15384615384615385,0.500296413898468,24,1480.5005056858063,1522.1727364063263,14.692306518554688,3,13,0,0.1875,3,2,0,0.6,3,2,0,0.6,1,5,0,0.16666666666666666,2,8,0,0.2,9,17,0,0.34615384615384615,"[12000.0, 24000.0]"
screen,2511,820106,B2,B2_core1_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,52,28,28,0,24,24,0,0,2,1.1914893617021276,684.0,68.0,0.7857142857142857,0.4642857142857143,0.25,0.45174258947372437,24,1519.7892124652863,1561.5416095256805,14.691459655761719,6,10,0,0.375,1,5,0,0.16666666666666666,3,3,0,0.5,2,8,0,0.2,4,2,0,0.6666666666666666,10,18,0,0.35714285714285715,"[12000.0, 24000.0]"
screen,2511,820107,B0,B0_reset,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,58,24,24,0,34,34,0,0,1,1.0212765957446808,524.0,70.0,0.8333333333333334,0.4166666666666667,0.20833333333333334,0.5310847759246826,24,1514.3692622184753,1555.9534022808075,14.692039489746094,6,4,0,0.6,4,3,0,0.5714285714285714,2,5,0,0.2857142857142857,4,3,0,0.5714285714285714,2,1,0,0.6666666666666666,12,12,0,0.5,"[12000.0, 24000.0]"
screen,2511,820107,B1,B1_core0_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,50,34,34,0,16,16,0,0,1,1.446808510638298,408.0,60.0,0.8529411764705882,0.47058823529411764,0.3235294117647059,0.5259285569190979,24,1544.7236139774323,1585.7549815177917,14.692081451416016,5,13,0,0.2777777777777778,6,2,0,0.75,3,5,0,0.375,4,9,0,0.3076923076923077,1,4,0,0.2,14,20,0,0.4117647058823529,"[12000.0, 24000.0]"
screen,2511,820107,B2,B2_core1_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,65,29,29,0,36,36,0,0,1,1.2340425531914894,470.0,68.0,0.8275862068965517,0.4827586206896552,0.27586206896551724,0.5265395641326904,24,1541.4743347167969,1582.7624924182892,14.691410064697266,2,10,0,0.16666666666666666,4,5,0,0.4444444444444444,1,7,0,0.125,1,7,0,0.125,1,3,0,0.25,7,22,0,0.2413793103448276,"[12000.0, 24000.0]"
screen,2511,820108,B0,B0_reset,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,60,36,36,0,24,24,0,0,1,1.5319148936170213,457.0,64.0,0.7222222222222222,0.5555555555555556,0.19444444444444445,0.42119985818862915,24,1468.678726196289,1509.8839228153229,14.69180679321289,4,9,0,0.3076923076923077,5,6,0,0.45454545454545453,4,8,0,0.3333333333333333,3,5,0,0.375,1,4,0,0.2,13,23,0,0.3611111111111111,"[12000.0, 24000.0]"
screen,2511,820108,B1,B1_core0_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,52,29,29,0,23,23,0,0,1,1.2340425531914894,551.0,62.0,0.7931034482758621,0.3448275862068966,0.1724137931034483,0.46131324768066406,24,1478.3843476772308,1519.697721004486,14.632148742675781,4,11,0,0.26666666666666666,2,2,0,0.5,5,5,0,0.5,3,3,0,0.5,1,8,0,0.1111111111111111,11,18,0,0.3793103448275862,"[12000.0, 24000.0]"
screen,2511,820108,B2,B2_core1_plus1mV,COMPLETE_NO_RUNAWAY_BY_EXISTING_GATE,24000.0,,52,29,29,0,23,23,0,0,1,1.2340425531914894,551.0,62.0,0.7931034482758621,0.3448275862068966,0.1724137931034483,0.46131324768066406,24,1462.730577468872,1503.8814351558685,14.692481994628906,4,11,0,0.26666666666666666,2,2,0,0.5,5,5,0,0.5,3,3,0,0.5,1,8,0,0.1111111111111111,11,18,0,0.3793103448275862,"[12000.0, 24000.0]"
