candidate_id,topology_seed,dynamics_seed,inventory_status,artifact_integrity,safe,event_yield_estimable,conditional_estimable,feasibility,n_returned_families,D_support,D_order,D_lag,D_cover,D_support_status,D_order_status,D_lag_status,D_cover_status,failure_reasons
dci_p007,2511,2511,PRESENT_VALIDATED,True,True,True,False,False,30,0.325866897946224,,,10.793150974004442,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p007,2512,2512,PRESENT_VALIDATED,True,True,True,False,False,28,0.3269078614597601,0.10099273480393532,11.28897185549593,11.153250254351502,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p007,2513,2513,PRESENT_VALIDATED,True,True,True,True,True,15,0.22448107036845433,0.08355444857835587,29.83462214925883,10.816369360458042,OK,OK,OK,OK,
dci_p007,2514,2514,PRESENT_VALIDATED,True,True,True,False,False,21,0.38908519030375555,,,11.033253654366908,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p008,2511,2511,PRESENT_VALIDATED,True,True,True,True,True,48,0.22355568945115048,0.3775099069848224,14.68469467290378,10.151769523175481,OK,OK,OK,OK,
dci_p008,2512,2512,PRESENT_VALIDATED,True,True,True,True,True,42,0.33045517144294695,0.36102554054949415,14.513076055470037,10.006382375383359,OK,OK,OK,OK,
dci_p008,2513,2513,PRESENT_VALIDATED,True,True,True,True,True,51,0.33540530083955233,0.2707509608963643,14.1453830294506,10.004322967465663,OK,OK,OK,OK,
dci_p008,2514,2514,PRESENT_VALIDATED,True,True,True,True,True,55,0.27814693571156507,0.39649101161375694,14.193395079104553,9.990837032446706,OK,OK,OK,OK,
dci_p009,2511,2511,PRESENT_VALIDATED,True,True,True,False,False,41,0.3605883615574292,0.10128392166772837,17.197233370113086,10.17872546816423,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p009,2512,2512,PRESENT_VALIDATED,True,True,True,True,True,51,0.3694827301538954,0.13222132978313936,15.667094227521678,10.017097594510245,OK,OK,OK,OK,
dci_p009,2513,2513,PRESENT_VALIDATED,True,True,True,True,True,38,0.3537157270834152,0.1573179665536081,17.666154553990054,10.066981983547974,OK,OK,OK,OK,
dci_p009,2514,2514,PRESENT_VALIDATED,True,True,True,True,True,53,0.4304922225912909,0.24507006157219893,14.564316277794385,10.17616244166946,OK,OK,OK,OK,
dci_p010,2511,2511,PRESENT_VALIDATED,True,True,True,True,True,35,0.09469920270196486,0.16996843402365155,16.87781450429111,10.15700172968466,OK,OK,OK,OK,
dci_p010,2512,2512,PRESENT_VALIDATED,True,True,True,True,True,44,0.12582005163935736,0.20733338008885416,15.926591216708573,9.999293677529964,OK,OK,OK,OK,
dci_p010,2513,2513,PRESENT_VALIDATED,True,True,True,True,True,38,0.10791200197041269,0.10949449707426988,16.019957577786396,9.992300210070729,OK,OK,OK,OK,
dci_p010,2514,2514,PRESENT_VALIDATED,True,True,True,True,True,34,0.1267820037333753,0.1862442302737488,17.21144562207104,10.318639463426967,OK,OK,OK,OK,
dci_p011,2511,2511,PRESENT_VALIDATED,True,True,True,True,True,45,0.18774949612477945,0.11131298872669022,18.518489090519783,8.86228796215274,OK,OK,OK,OK,
dci_p011,2512,2512,PRESENT_VALIDATED,True,True,True,True,True,43,0.1770986992745717,0.12073987745862096,17.768331793025308,9.296272616412622,OK,OK,OK,OK,
dci_p011,2513,2513,PRESENT_VALIDATED,True,True,True,True,True,30,0.1590884064445581,0.13057249274225266,25.040518730595675,9.512578628711475,OK,OK,OK,OK,
dci_p011,2514,2514,PRESENT_VALIDATED,True,True,True,True,True,35,0.2006417096103941,0.17824916527363696,18.29652026698561,9.430896294795826,OK,OK,OK,OK,
dci_p012,2511,2511,PRESENT_VALIDATED,True,True,True,True,True,43,0.2977562495547461,0.11874897155779975,14.059885636859207,9.87258135502492,OK,OK,OK,OK,
dci_p012,2512,2512,PRESENT_VALIDATED,True,True,True,True,True,36,0.3075726442078761,0.03238204369615865,13.086188886064363,9.800618442895658,OK,OK,OK,OK,
dci_p012,2513,2513,PRESENT_VALIDATED,True,True,True,True,True,38,0.27906815030694715,0.07035132432473251,17.893530664190454,9.10538524320812,OK,OK,OK,OK,
dci_p012,2514,2514,PRESENT_VALIDATED,True,True,True,True,True,39,0.3526802372321358,0.07109141863883564,15.739542360411406,9.640696372697764,OK,OK,OK,OK,
dci_p013,2511,2511,PRESENT_VALIDATED,True,True,True,True,True,16,0.21592804248851458,0.16349311529355687,58.96787804459894,11.241174378137782,OK,OK,OK,OK,
dci_p013,2512,2512,PRESENT_VALIDATED,True,True,True,True,True,20,0.22447771459814292,0.20001736784579224,65.85592396653348,12.666728753317665,OK,OK,OK,OK,
dci_p013,2513,2513,PRESENT_VALIDATED,True,True,True,False,False,12,0.3298092870869835,,,12.538398945117104,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p013,2514,2514,PRESENT_VALIDATED,True,True,True,True,True,17,0.26517852325983354,0.20803134728362963,69.43540416440628,13.02890227025137,OK,OK,OK,OK,
dci_p014,2511,2511,PRESENT_VALIDATED,True,True,True,False,False,28,0.36313922269112126,,,12.70646067057383,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p014,2512,2512,PRESENT_VALIDATED,True,True,False,False,False,8,0.5236746363515349,,,14.865149620218569,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,LOW_RETURNED_FAMILY_YIELD|CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p014,2513,2513,PRESENT_VALIDATED,True,True,False,False,False,7,0.399887659439558,,,14.384321053016029,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,LOW_RETURNED_FAMILY_YIELD|CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p014,2514,2514,PRESENT_VALIDATED,True,True,False,False,False,10,0.42912286867476723,,,13.155237240192204,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,LOW_RETURNED_FAMILY_YIELD|CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p015,2511,2511,PRESENT_VALIDATED,True,True,True,True,True,39,0.28481022127871164,0.3226189467703331,14.750799690451146,9.951944821010812,OK,OK,OK,OK,
dci_p015,2512,2512,PRESENT_VALIDATED,True,True,True,True,True,45,0.41988979721947356,0.16304469089887277,14.761090721832204,9.670829437095357,OK,OK,OK,OK,
dci_p015,2513,2513,PRESENT_VALIDATED,True,True,True,True,True,50,0.2859882402513605,0.3166356095900282,14.254023503328943,9.74783421863801,OK,OK,OK,OK,
dci_p015,2514,2514,PRESENT_VALIDATED,True,True,True,True,True,54,0.27519893365880416,0.32999653761821707,14.005127506193986,9.831852191480053,OK,OK,OK,OK,
dci_p016,2511,2511,PRESENT_VALIDATED,True,True,True,False,False,42,0.47724857013380206,,,12.639265287777175,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p016,2512,2512,PRESENT_VALIDATED,True,True,True,False,False,36,0.4125950908969895,,,12.14284294332001,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p016,2513,2513,PRESENT_VALIDATED,True,True,True,False,False,30,0.38257965879822403,,,12.07667712159276,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p016,2514,2514,PRESENT_VALIDATED,True,True,True,False,False,40,0.459880444432343,,,12.498679323767316,OK,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,OK,CONDITIONAL_COMPONENT_NOT_ESTIMABLE
dci_p017,2511,2511,PRESENT_VALIDATED,True,True,True,True,True,48,0.24970666481372605,0.3173150095937191,13.953535971037809,9.504376591146539,OK,OK,OK,OK,
