q,phase,dt_ms,offset_from_low_fold_mv,additive_mv,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms
0.8375,0.75,0.125,0.005,0.2769962310675765,LLL,False,False,,,3.469446951953614e-18,L,0,,,144.45316791534424,2.4187329690903425,False,0,0,[],L,1,,,93.88246387243271,1.7738492460921407,False,0,0,[6.526702627692385],L,0,,,9.600374847650528,0.8483104757033288,False,0,0,[]
0.8375,0.75,0.125,0.025,0.2969962310675765,LLL,False,False,,,3.469446951953614e-18,L,0,,,144.31975781917572,2.053270349279046,False,0,0,[],L,1,,,93.75740587711334,1.588058890774846,False,0,0,[6.529641583657306],L,0,,,9.560585021972656,0.8406010456383228,False,0,0,[]
0.84,0.0,0.125,-0.005,0.23097865821629854,bounded_CCO,True,False,1.4149136638795913e-06,0.0010615394617360977,1.636244274029388e-06,C,7,1599.7459778216162,8.556034582691741e-10,147.5236713886261,8.090170633959623,False,0,0,"[1592.751819324369, 3192.4978139563445, 4792.243786733677, 6391.989761196461, 7991.735737341098, 9591.481715163938, 11191.22769466131]",C,8,1599.7460099792272,6.47508072617539e-10,97.00149297714233,5.121158136072533,False,0,0,"[6.571071240439104, 1599.5392694539041, 3199.285274329542, 4799.031280487157, 6398.777287922796, 7998.523296632742, 9598.269306613232, 11198.015317860478]",O_unresolved,0,,,11.826387606561184,1.0767252988552865,False,0,0,[]
0.84,0.0,0.125,0.0,0.23597865821629854,LLL,False,False,,,1.0598594005900574e-09,L,0,,,143.16591620445251,2.797679068472333,False,0,0,[],L,1,,,93.22042018175125,1.9612617385452855,False,0,0,[6.571823370226566],L,0,,,9.65458620339632,0.8562477243954535,False,0,0,[]
0.84,0.0,0.125,0.005,0.24097865821629855,LLL,False,False,,,3.469446951953614e-18,L,0,,,143.13200116157532,2.471502171829343,False,0,0,[],L,1,,,93.18890422582626,1.8048847559839487,False,0,0,[6.572575963098515],L,0,,,9.644413366913795,0.8495619986206293,False,0,0,[]
0.84,0.0,0.125,0.025,0.26097865821629856,LLL,False,False,,,3.4212601887320364e-18,L,0,,,142.99608767032623,2.0978073589503765,False,0,0,[],L,1,,,93.06267648935318,1.6150708543136716,False,0,0,[6.57559097430615],L,0,,,9.603766724467278,0.8416683995164931,False,0,0,[]
0.84,0.25,0.125,-0.005,0.23097865821629854,bounded_CCO,True,False,1.411996878680029e-06,0.0010616408923850016,1.6362438709768833e-06,C,7,1599.7459778581058,8.555788445784303e-10,147.5236713886261,8.09017065777713,False,0,0,"[1592.7517326889192, 3192.4977262363805, 4792.243699050442, 6391.9896735499115, 7991.735649731107, 9591.481627590396, 11191.227607124229]",C,8,1599.7460100068374,6.474813663190624e-10,97.00149297714233,5.121158087275692,False,0,0,"[6.571073496287277, 1599.539182437335, 3199.2851873408486, 4799.031193526322, 6398.777200989772, 7998.5232097274, 9598.26921973546, 11198.015231010284]",O_unresolved,0,,,11.826390400528908,1.0767253030959643,False,0,0,[]
0.84,0.25,0.125,0.0,0.23597865821629854,LLL,False,False,,,1.059859385324491e-09,L,0,,,143.16584169864655,2.797679068937065,False,0,0,[],L,1,,,93.22034567594528,1.9612617385452855,False,0,0,[6.571825628355128],L,0,,,9.654544293880463,0.8562477243954535,False,0,0,[]
0.84,0.25,0.125,0.005,0.24097865821629855,LLL,False,False,,,3.469446951953614e-18,L,0,,,143.13192665576935,2.471502171829343,False,0,0,[],L,1,,,93.1888222694397,1.8048847559839487,False,0,0,[6.572578223509778],L,0,,,9.644372388720512,0.8495619986206293,False,0,0,[]
0.84,0.25,0.125,0.025,0.26097865821629856,LLL,False,False,,,3.469446951953614e-18,L,0,,,142.99601316452026,2.0978073589503765,False,0,0,[],L,1,,,93.06259453296661,1.6150708543136716,False,0,0,[6.575593243871529],L,0,,,9.603725746273994,0.8416683995164931,False,0,0,[]
0.84,0.5,0.125,-0.005,0.23097865821629854,bounded_CCO,True,False,1.4289561943935865e-06,0.0010608301997286854,1.6362462144979203e-06,C,7,1599.745977645811,8.558058428887992e-10,147.5237011909485,8.090170992848774,False,0,0,"[1592.7522364341462, 3192.4982362873034, 4792.244208887762, 6391.990183174042, 7991.736159142488, 9591.482136789502, 11191.228116111475]",C,8,1599.7460098461688,6.477164891420764e-10,97.00147807598114,5.121158304537819,False,0,0,"[6.57106172034592, 1599.5396883961348, 3199.28569313716, 4799.031699160611, 6398.777706462468, 7998.5237150389585, 9598.269724886368, 11198.015736000974]",O_unresolved,0,,,11.826376430690289,1.0767253127972412,False,0,0,[]
0.84,0.5,0.125,0.0,0.23597865821629854,LLL,False,False,,,1.059859479693448e-09,L,0,,,143.16625893115997,2.797679068472333,False,0,0,[],L,1,,,93.2208001613617,1.9612617385452855,False,0,0,[6.571813839702271],L,0,,,9.654784575104713,0.8562477243954535,False,0,0,[]
0.84,0.5,0.125,0.005,0.24097865821629855,LLL,False,False,,,3.469446951953614e-18,L,0,,,143.13234388828278,2.471502171829343,False,0,0,[],L,1,,,93.1892842054367,1.8048847559839487,False,0,0,[6.572566422132402],L,0,,,9.644611738622189,0.8495619986206293,False,0,0,[]
0.84,0.5,0.125,0.025,0.26097865821629856,LLL,False,False,,,3.469446951953614e-18,L,0,,,142.9964303970337,2.0978073589503765,False,0,0,[],L,1,,,93.06305646896362,1.6150708543136716,False,0,0,[6.575581391465351],L,0,,,9.603964164853096,0.8416683995164931,False,0,0,[]
0.84,0.75,0.125,-0.005,0.23097865821629854,bounded_CCO,True,False,1.4265618212265065e-06,0.0010610326312527395,1.6362458836332444e-06,C,7,1599.7459776757823,8.557868080938421e-10,147.5237011909485,8.09017087562017,False,0,0,"[1592.7521653126041, 3192.4981642755047, 4792.244136906087, 6391.990111222449, 7991.736087220908, 9591.482064897884, 11191.228044249796]",C,8,1599.746009868851,6.476953652921335e-10,97.00147807598114,5.121158279442301,False,0,0,"[6.571063164826183, 1599.5396169624287, 3199.2856217264325, 4799.031627772726, 6398.77763509738, 7998.523643696598, 9598.269653566682, 11198.015664703933]",O_unresolved,0,,,11.826378293335438,1.0767253077432826,False,0,0,[]
0.84,0.75,0.125,0.0,0.23597865821629854,LLL,False,False,,,1.0598594656421878e-09,L,0,,,143.1661993265152,2.797679068472333,False,0,0,[],L,1,,,93.22073310613632,1.9612617385452855,False,0,0,[6.5718152858883965],L,0,,,9.654751047492027,0.8562477243954535,False,0,0,[]
0.84,0.75,0.125,0.005,0.24097865821629855,LLL,False,False,,,3.469446951953614e-18,L,0,,,143.132284283638,2.471502171829343,False,0,0,[],L,1,,,93.18921715021133,1.8048847559839487,False,0,0,[6.572567870026152],L,0,,,9.644578211009502,0.8495619986206293,False,0,0,[]
0.84,0.75,0.125,0.025,0.26097865821629856,LLL,False,False,,,3.469446951953614e-18,L,0,,,142.99637079238892,2.0978073589503765,False,0,0,[],L,1,,,93.06298941373825,1.6150708543136716,False,0,0,[6.575582846207314],L,0,,,9.60393063724041,0.8416683995164931,False,0,0,[]
