source_q,phase,dt_ms,restored_q,restored_additive_mv,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms
0.84,0.5,0.0625,0.9,0.0,LLL,False,False,,,6.8907071406856506e-18,L,0,,,1.374717801809311,0.8108934271149337,False,0,0,[],L,0,,,1.2015842366963625,0.8108934271149337,False,0,0,[],L,0,,,0.8253162377513945,0.8108934271149337,False,0,0,[]
0.84,0.75,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.3747185003012419,0.8108934271149337,False,0,0,[],L,0,,,1.201584585942328,0.8108934271149337,False,0,0,[],L,0,,,0.8253162377513945,0.8108934271149337,False,0,0,[]
0.8425,0.0,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.2828989420086145,0.8108934271149337,False,0,0,[],L,0,,,1.1440659873187542,0.8108934271149337,False,0,0,[],L,0,,,0.8231237297877669,0.8108934271149337,False,0,0,[]
0.8425,0.25,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.282898592762649,0.8108934271149337,False,0,0,[],L,0,,,1.1440657544881105,0.8108934271149337,False,0,0,[],L,0,,,0.8231237297877669,0.8108934271149337,False,0,0,[]
0.8425,0.5,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.2828988255932927,0.8108934271149337,False,0,0,[],L,0,,,1.1440658709034324,0.8108934271149337,False,0,0,[],L,0,,,0.8231237297877669,0.8108934271149337,False,0,0,[]
0.8425,0.75,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.2828989420086145,0.8108934271149337,False,0,0,[],L,0,,,1.1440659873187542,0.8108934271149337,False,0,0,[],L,0,,,0.8231237297877669,0.8108934271149337,False,0,0,[]
0.845,0.0,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.206560293212533,0.8108934271149337,False,0,0,[],L,0,,,1.094699720852077,0.8108934271149337,False,0,0,[],L,0,,,0.8212615502998233,0.8108934271149337,False,0,0,[]
0.845,0.25,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.206560293212533,0.8108934271149337,False,0,0,[],L,0,,,1.094699720852077,0.8108934271149337,False,0,0,[],L,0,,,0.8212615502998233,0.8108934271149337,False,0,0,[]
0.845,0.5,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.206560293212533,0.8108934271149337,False,0,0,[],L,0,,,1.094699720852077,0.8108934271149337,False,0,0,[],L,0,,,0.8212615502998233,0.8108934271149337,False,0,0,[]
0.845,0.75,0.0625,0.9,0.0,LLL,False,False,,,6.938893903907228e-18,L,0,,,1.2065598275512457,0.8108934271149337,False,0,0,[],L,0,,,1.0946994880214334,0.8108934271149337,False,0,0,[],L,0,,,0.8212615502998233,0.8108934271149337,False,0,0,[]
