q,phase,dt_ms,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms,max_additive_mv,final_additive_mv,low_fold_additive_mv,max_abs_fixed_q_error,first_support_failure_ms,first_nonfinite_ms
0.85,0.25,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,136.08436286449432,1.0857094312086701,False,0,0,[],L,1,,,88.72111886739731,1.013364759273827,False,0,0,[6.887271319173251],L,0,,,8.563428185880184,0.8182321907952428,False,0,0,[],0.3563801050186157,0.3563801050186157,0.08864421563031688,2.384185793236071e-08,,
0.85,0.5,0.125,LLL,False,False,,,3.469446951953614e-18,L,0,,,136.08436286449432,1.0857094312086701,False,0,0,[],L,1,,,88.7211263179779,1.013364759273827,False,0,0,[6.887271105903958],L,0,,,8.563429117202759,0.8182321907952428,False,0,0,[],0.3563801050186157,0.3563801050186157,0.08864421563031688,2.384185793236071e-08,,
0.85,0.75,0.125,LLL,False,False,,,3.517633715175192e-18,L,0,,,136.08434796333313,1.0857094312086701,False,0,0,[],L,1,,,88.72110396623611,1.013364759273827,False,0,0,[6.887271719378283],L,0,,,8.563420735299587,0.8182321907952428,False,0,0,[],0.35638008117675785,0.35638008117675785,0.08864421563031688,2.384185793236071e-08,,
0.825,0.0,0.0625,physical_or_numerical_failure,False,False,,,nan,physical_or_numerical_failure,1,,,165.283203125,165.283203125,True,1,0,[739.8299716941383],physical_or_numerical_failure,2,,,110.1805567741394,106.96839541196823,False,0,0,"[6.31882456514177, 746.138621331426]",physical_or_numerical_failure,0,,,9.670689702033997,9.670689702033997,False,0,0,[],0.473346471786499,0.473346471786499,0.44788372899633555,1.1920928910669204e-08,765.375,765.375
0.825,0.25,0.0625,physical_or_numerical_failure,False,False,,,nan,physical_or_numerical_failure,1,,,165.2832180261612,165.2832180261612,True,1,0,[739.830047530903],physical_or_numerical_failure,2,,,110.18053442239761,106.96855932474136,False,0,0,"[6.318824182434289, 746.1386971955476]",physical_or_numerical_failure,0,,,9.67060774564743,9.67060774564743,False,0,0,[],0.4733461380004883,0.4733461380004883,0.44788372899633555,1.1920928910669204e-08,765.375,765.375
0.825,0.5,0.0625,physical_or_numerical_failure,False,False,,,nan,physical_or_numerical_failure,1,,,165.2832329273224,165.2832329273224,True,1,0,[739.830129542844],physical_or_numerical_failure,2,,,110.18051952123642,106.96873813867569,False,0,0,"[6.31882381118074, 746.1387792369391]",physical_or_numerical_failure,0,,,9.670519270002842,9.670519270002842,False,0,0,[],0.4733457088470459,0.4733457088470459,0.44788372899633555,1.1920928910669204e-08,765.375,765.375
0.825,0.75,0.0625,physical_or_numerical_failure,False,False,,,nan,physical_or_numerical_failure,1,,,165.283203125,165.283203125,True,1,0,[739.8299991469448],physical_or_numerical_failure,2,,,110.18054932355881,106.968455016613,False,0,0,"[6.318824450238851, 746.1386487941533]",physical_or_numerical_failure,0,,,9.670660831034184,9.670660831034184,False,0,0,[],0.4733463287353516,0.4733463287353516,0.44788372899633555,1.1920928910669204e-08,765.375,765.375
0.835,0.0,0.0625,LLL,False,False,,,6.987080667128806e-18,L,0,,,146.95733785629272,1.6373646212741733,False,0,0,[],L,1,,,95.9056094288826,1.3564362889155746,False,0,0,[6.426068519813443],L,0,,,9.871795773506165,0.8313431171700358,False,0,0,[],0.3769242763519287,0.3769242763519287,0.3077171045276467,2.1457672083613488e-08,,
0.835,0.25,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,146.95735275745392,1.6373646212741733,False,0,0,[],L,1,,,95.9056094288826,1.3564362889155746,False,0,0,[6.426068419468001],L,0,,,9.871797636151314,0.8313431171700358,False,0,0,[],0.3769242763519287,0.3769242763519287,0.3077171045276467,2.1457672083613488e-08,,
0.835,0.5,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,146.9573974609375,1.637364155612886,False,0,0,[],L,1,,,95.90565413236618,1.356436056084931,False,0,0,[6.426067217117304],L,0,,,9.871823713183403,0.8313431171700358,False,0,0,[],0.37692434787750245,0.37692434787750245,0.3077171045276467,2.1457672083613488e-08,,
0.835,0.75,0.0625,LLL,False,False,,,6.987080667128806e-18,L,0,,,146.95735275745392,1.6373645048588514,False,0,0,[],L,1,,,95.9056168794632,1.3564362889155746,False,0,0,[6.426068303455118],L,0,,,9.871800430119038,0.8313431171700358,False,0,0,[],0.3769242763519287,0.3769242763519287,0.3077171045276467,2.1457672083613488e-08,,
0.8375,0.0,0.0625,LLL,False,False,,,6.987080667128806e-18,L,0,,,145.6388384103775,1.488541136495769,False,0,0,[],L,1,,,95.13736516237259,1.2703303946182132,False,0,0,[6.467619814851963],L,0,,,9.950962848961353,0.8279693429358304,False,0,0,[],0.3745531797409058,0.3745531797409058,0.2719962310675765,2.384185793236071e-08,,
0.8375,0.25,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,145.63874900341034,1.4885418349877,False,0,0,[],L,1,,,95.13726085424423,1.2703307438641787,False,0,0,[6.4676223900151975],L,0,,,9.950906969606876,0.8279693429358304,False,0,0,[],0.3745530366897583,0.3745530366897583,0.2719962310675765,2.384185793236071e-08,,
0.8375,0.5,0.0625,LLL,False,False,,,6.938893903907228e-18,L,0,,,145.63873410224915,1.4885418349877,False,0,0,[],L,1,,,95.13724595308304,1.2703308602795005,False,0,0,[6.467622801093558],L,0,,,9.950898587703705,0.8279693429358304,False,0,0,[],0.37455301284790044,0.37455301284790044,0.2719962310675765,2.384185793236071e-08,,
