candidate_id,role,theta_sha256,mode_A_SCL_recruitment_excess,mode_B_SCL_recruitment_excess,worst_mode_SCL_recruitment_excess,mode_A_ICL_precedence_excess,mode_B_ICL_precedence_excess,mode_A_cross_precedence_excess,mode_B_cross_precedence_excess,mode_B_ICL_profile_excess,forced_both_mode_SCL_network_fraction,forced_SCL_source_cross_network_fraction,forced_ICL_A_to_SCL_mean_recruited_fraction,forced_ICL_B_to_SCL_mean_recruited_fraction,forced_SCL_to_ICL_mean_recruited_fraction,field_near_ICL,field_near_SCL,spontaneous_event_count,spontaneous_multishaft_fraction,spontaneous_returned_fraction,n_runaway,capacity_reference_met
grid_mid_w35_s3,scl_mass_width_grid,fadab30041d468683f84cc7de9a1fcb5cc315bce4cc7ab936fa128a57374abce,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.6401657069119975,1.6627236074669145,2.573435683656839,4.358857607964333,0.0,0.0,0.6666666666666666,0.0,0.0,0.06060606060606061,"{'mean_h': 0.09991223412128318, 'median_h': 0.003909359259220461, 'fraction_h_ge_0p5': 0.07105994109825464, 'mean_delta_vtheta_mV': -0.05067349143208134, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.3888407428753862, 'median_h': 0.35821905235449475, 'fraction_h_ge_0p5': 0.36698443788850077, 'mean_delta_vtheta_mV': -0.2012364634208369, 'fraction_threshold_lowered': 0.6967958452254646}",0,0.0,0.0,0,False
grid_mid_w35_s4p5,scl_mass_width_grid,609e64eb732edc8107ec4a5e7c188ec59944226fd6929aa450d08aecc0ebe4c6,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.584336712987966,1.6627236074669145,2.573435683656839,4.358857607964333,0.0,0.0,0.6666666666666666,0.0,0.0,0.06060606060606061,"{'mean_h': 0.08190518264401389, 'median_h': 0.0028038970582808056, 'fraction_h_ge_0p5': 0.04569218339278708, 'mean_delta_vtheta_mV': -0.04158912389060499, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.42422423457119174, 'median_h': 0.446871077020963, 'fraction_h_ge_0p5': 0.42247798954512533, 'mean_delta_vtheta_mV': -0.21609560928376984, 'fraction_threshold_lowered': 0.6967958452254646}",0,0.0,0.0,0,False
grid_early_w15_s1p5,scl_mass_width_grid,39361418de4d054dafe759fbbf83d225f2c27edafef002c23a831b1b1cb65502,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.6401657069119975,0.3310423263799413,2.573435683656839,4.358857607964333,0.44312354362846285,0.0,0.3333333333333333,0.0,0.0,0.030303030303030304,"{'mean_h': 0.16604881320420714, 'median_h': 0.010671621654182673, 'fraction_h_ge_0p5': 0.15562105870468457, 'mean_delta_vtheta_mV': -0.08392460067800633, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.01888588278997637, 'median_h': 0.002020451162631313, 'fraction_h_ge_0p5': 0.0, 'mean_delta_vtheta_mV': -0.010067567923806689, 'fraction_threshold_lowered': 0.6967958452254646}",1,0.0,1.0,0,False
grid_early_w15_s3,scl_mass_width_grid,39b146f70fbddc74b0bf61b7e34ac96506957ad693ae12d7e19b46347d8ccf64,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.6401657069119975,0.3310423263799413,2.573435683656839,4.358857607964333,0.42068737783384025,0.0,0.3333333333333333,0.0,0.0,0.030303030303030304,"{'mean_h': 0.1633697753884881, 'median_h': 0.01027380240460237, 'fraction_h_ge_0p5': 0.1520453564238319, 'mean_delta_vtheta_mV': -0.08258433715401986, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.03333249976393673, 'median_h': 0.017966263617078464, 'fraction_h_ge_0p5': 0.0, 'mean_delta_vtheta_mV': -0.01735371696683246, 'fraction_threshold_lowered': 0.6967958452254646}",1,0.0,1.0,0,False
grid_early_w15_s4p5,scl_mass_width_grid,50d65102a4b926bee4abdfb075d8fd64c267404a188a5b1580a38597373ea02f,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.584336712987966,1.6337494737396951,2.573435683656839,4.358857607964333,0.0,0.0,0.6666666666666666,0.0,0.0,0.06060606060606061,"{'mean_h': 0.16083171910320285, 'median_h': 0.009908926052351793, 'fraction_h_ge_0p5': 0.1494019352105924, 'mean_delta_vtheta_mV': -0.08131495679992748, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.04339184419152744, 'median_h': 0.034644131238261856, 'fraction_h_ge_0p5': 0.0, 'mean_delta_vtheta_mV': -0.02214611698918016, 'fraction_threshold_lowered': 0.6967958452254646}",0,0.0,0.0,0,False
grid_early_w25_s1p5,scl_mass_width_grid,7bd84ebc3f6ecfb2535465d238ef245c3888097bd8167b3f6647e0f81908d29b,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.584336712987966,1.6337494737396951,2.573435683656839,4.358857607964333,0.0,0.0,0.6666666666666666,0.0,0.0,0.06060606060606061,"{'mean_h': 0.14978032479452755, 'median_h': 0.008520461386069655, 'fraction_h_ge_0p5': 0.1354034178628408, 'mean_delta_vtheta_mV': -0.07575912159544963, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.11783389274503198, 'median_h': 0.018662923015654087, 'fraction_h_ge_0p5': 0.05823560125705001, 'mean_delta_vtheta_mV': -0.06344810912614089, 'fraction_threshold_lowered': 0.6967958452254646}",0,0.0,0.0,0,False
grid_early_w25_s3,scl_mass_width_grid,82a8d9a9b5ef05605145a70d7e34427c0f277b1c23b83b1254d13429222b95eb,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.584336712987966,1.6627236074669145,2.573435683656839,4.358857607964333,0.0,0.0,0.6666666666666666,0.0,0.0,0.06060606060606061,"{'mean_h': 0.13628565923606262, 'median_h': 0.006967990814397733, 'fraction_h_ge_0p5': 0.11637511413343958, 'mean_delta_vtheta_mV': -0.06898833872163589, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.18800766306210218, 'median_h': 0.13031622022390366, 'fraction_h_ge_0p5': 0.0558272165915251, 'mean_delta_vtheta_mV': -0.09794141001334483, 'fraction_threshold_lowered': 0.6967958452254646}",0,0.0,0.0,0,False
grid_early_w25_s4p5,scl_mass_width_grid,1373d00262e95a2f67d3e86c4fada9f650aabc65262efdaae2d95a3d97daa15e,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.584336712987966,0.36001646010716065,2.573435683656839,4.358857607964333,0.4149622872517646,0.0,0.3333333333333333,0.0,0.0,0.030303030303030304,"{'mean_h': 0.12549593258339387, 'median_h': 0.005899231182411313, 'fraction_h_ge_0p5': 0.10131288059439085, 'mean_delta_vtheta_mV': -0.06356771383878163, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.2217343445027671, 'median_h': 0.20590146879355112, 'fraction_h_ge_0p5': 0.019330507007885394, 'mean_delta_vtheta_mV': -0.11312213565093761, 'fraction_threshold_lowered': 0.6967958452254646}",1,0.0,1.0,0,False
grid_early_w35_s1p5,scl_mass_width_grid,e45624e883de6ccc3144289108024b676734cf2b930cb6e5c879caa001cdd84a,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.669768601109056,0.36001646010716065,2.573435683656839,4.358857607964333,0.4149622872517646,0.0,0.3333333333333333,0.0,0.0,0.030303030303030304,"{'mean_h': 0.12613128740798454, 'median_h': 0.006029578469072779, 'fraction_h_ge_0p5': 0.10198056432032594, 'mean_delta_vtheta_mV': -0.06386573280738848, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.2554580554695034, 'median_h': 0.08029814685384433, 'fraction_h_ge_0p5': 0.2594649965418576, 'mean_delta_vtheta_mV': -0.1403790731987483, 'fraction_threshold_lowered': 0.6967958452254646}",1,0.0,1.0,0,False
grid_early_w35_s3,scl_mass_width_grid,207fcf2c2e22cb2eef87122afe10e7ab41ddc82b49ff0536f1725dcf2e495b12,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.6401657069119975,1.6627236074669145,2.573435683656839,4.358857607964333,0.0,0.0,0.6666666666666666,0.0,0.0,0.06060606060606061,"{'mean_h': 0.09996229054330012, 'median_h': 0.003913198636534314, 'fraction_h_ge_0p5': 0.07119332778626318, 'mean_delta_vtheta_mV': -0.05069679237985925, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.3874575540159099, 'median_h': 0.3559033622344335, 'fraction_h_ge_0p5': 0.36181589069361886, 'mean_delta_vtheta_mV': -0.20139566659280295, 'fraction_threshold_lowered': 0.6967958452254646}",0,0.0,0.0,0,False
grid_early_w35_s4p5,scl_mass_width_grid,663244a17ac4fe304b94f7efd88baff2c91692558956cf947e487f197294beb8,2.8104626195588525,3.8796784031050726,3.8796784031050726,3.584336712987966,1.6627236074669145,2.573435683656839,4.358857607964333,0.0,0.0,0.6666666666666666,0.0,0.0,0.06060606060606061,"{'mean_h': 0.0819105954485139, 'median_h': 0.0028043272517000637, 'fraction_h_ge_0p5': 0.04582305631517944, 'mean_delta_vtheta_mV': -0.0415912559632976, 'fraction_threshold_lowered': 0.689704493913538}","{'mean_h': 0.42324206921523827, 'median_h': 0.4479128172000249, 'fraction_h_ge_0p5': 0.42179213760815865, 'mean_delta_vtheta_mV': -0.21601198800337254, 'fraction_threshold_lowered': 0.6967958452254646}",0,0.0,0.0,0,False
