tau_fast_s,tau_slow_s,q_hold,phase,source_dt_ms,q_reserve,tau_depletion_ms,low_state_entry_ms,q_exit,m_exit,additive_exit_mv,max_abs_q_excursion,fold_margin_at_exit_mv,replay_finite_domain_pass,small_q_excursion_pass,dynamic_fold_margin_pass,active_q_below_entry_fold,effective_tau_recovery_ms,time_to_qsafe_ms,persistence_off_bound_ms,reset_time_ms,reset_horizon_pass,q_at_reset,protected_margin_min_mv,protected_margin_pass,release_after_reset_ms,q_at_additive_release,q_never_decreases_after_reset,post_reset_release_pass,handoff_pass,path_pass
20.0,80.0,0.84,0.5,0.0625,0.838844123477916,305.4611108354724,118.0,0.8398264498594527,0.2324153482913971,0.37186455726623535,0.0002016979137884345,0.13338555711773173,True,True,True,True,47135.18127887582,65479.37783904437,2629.9184229899865,65479.37783904437,True,0.885,0.13338555711773173,True,35073.56905260884,0.8912358575012677,True,True,True,True
20.0,80.0,0.84,0.75,0.0625,0.838844123477916,305.4611108354724,118.0,0.8398264499165125,0.23241524398326874,0.37186439037323,0.00020169788283841417,0.1333853910467886,True,True,True,True,47135.18996927776,65479.389866904174,2629.9184229899865,65479.389866904174,True,0.885,0.1333853910467886,True,35073.56366700143,0.8912358564998765,True,True,True,True
20.0,80.0,0.8425,0.0,0.125,0.8414516550996554,276.0528483936512,118.0,0.8423247540088021,0.23083098232746124,0.369329571723938,0.0002025895550856749,0.16713266945788116,True,True,True,True,47267.55295650439,63658.894199905786,2629.9184229899865,63658.894199905786,True,0.885,0.16713266945788116,True,34991.48544204335,0.8912206033116746,True,True,True,True
20.0,80.0,0.8425,0.25,0.125,0.8414516550996554,276.0528483936512,118.0,0.8423247539963877,0.23083101212978363,0.36932961940765385,0.00020258956212426682,0.1671327169611993,True,True,True,True,47267.550459567356,63658.890847260416,2629.9184229899865,63658.890847260416,True,0.885,0.1671327169611993,True,34991.486991349426,0.8912206035994392,True,True,True,True
20.0,80.0,0.8425,0.5,0.125,0.8414516550996554,276.0528483936512,118.0,0.8423247539263037,0.23083116114139557,0.36932985782623295,0.00020258960273122906,0.1671329543613643,True,True,True,True,47267.5379748861,63658.87409060515,2629.9184229899865,63658.87409060515,True,0.885,0.1671329543613643,True,34991.494737876856,0.8912206050382702,True,True,True,True
20.0,80.0,0.8425,0.75,0.125,0.8414516550996554,276.0528483936512,118.0,0.8423247538250014,0.23083138465881348,0.3693302154541016,0.00020258966105779486,0.16713331051717634,True,True,True,True,47267.51924787659,63658.848952505075,2629.9184229899865,63658.848952505075,True,0.885,0.16713331051717634,True,34991.50635765862,0.8912206071965004,True,True,True,True
20.0,80.0,0.8425,0.0,0.0625,0.8414516550996554,276.0528483936512,118.0,0.8423248299157486,0.23048906028270721,0.3687824964523316,0.00020253480575382898,0.16658669721478103,True,True,True,True,47296.21768947776,63697.43698082022,2629.9184229899865,63697.43698082022,True,0.885,0.16658669721478103,True,34973.69707427517,0.8912172997098811,True,True,True,True
20.0,80.0,0.8425,0.25,0.0625,0.8414516550996554,276.0528483936512,118.0,0.8423248298816215,0.23048914968967438,0.368782639503479,0.0002025348258641868,0.16658683977001582,True,True,True,True,47296.21018957928,63697.42690811858,2629.9184229899865,63697.42690811858,True,0.885,0.16658683977001582,True,34973.70172908784,0.8912173005742673,True,True,True,True
20.0,80.0,0.8425,0.5,0.0625,0.8414516550996554,276.0528483936512,118.0,0.8423248299072554,0.2304890900850296,0.3687825441360474,0.0002025348105607616,0.1665867447750793,True,True,True,True,47296.215189511335,63697.43362088886,2629.9184229899865,63697.43362088886,True,0.885,0.1665867447750793,True,34973.698625879595,0.8912172999980121,True,True,True,True
20.0,80.0,0.8425,0.75,0.0625,0.8414516550996554,276.0528483936512,118.0,0.8423248299146986,0.2304890751838684,0.36878252029418945,0.00020253480645859856,0.1665867210413803,True,True,True,True,47296.216439494514,63697.43529823317,2629.9184229899865,63697.43529823317,True,0.885,0.1665867210413803,True,34973.697850077406,0.891217299853945,True,True,True,True
20.0,80.0,0.845,0.0,0.125,0.8440583061722413,245.4152332376315,118.0,0.844822291223991,0.228600412607193,0.3657606601715088,0.0002043100112975038,0.2001589063885733,True,True,True,True,47455.17929704297,61810.79073272004,2629.9184229899865,61810.79073272004,True,0.885,0.2001589063885733,True,34874.96294378015,0.8911989768781249,True,True,True,True
20.0,80.0,0.845,0.25,0.125,0.8440583061722413,245.4152332376315,118.0,0.8448222912239852,0.228600412607193,0.3657606601715088,0.0002043100113089391,0.20015890638848866,True,True,True,True,47455.17929704297,61810.790732724985,2629.9184229899865,61810.790732724985,True,0.885,0.20015890638848866,True,34874.96294378015,0.8911989768781249,True,True,True,True
20.0,80.0,0.845,0.5,0.125,0.8440583061722413,245.4152332376315,118.0,0.8448222912023948,0.22860047221183777,0.36576075553894044,0.0002043100234930817,0.2001590014393697,True,True,True,True,47455.17426344457,61810.78419498722,2629.9184229899865,61810.78419498722,True,0.885,0.2001590014393697,True,34874.96607262684,0.8911989774583909,True,True,True,True
20.0,80.0,0.845,0.75,0.125,0.8440583061722413,245.4152332376315,118.0,0.844822291218278,0.2286004275083542,0.3657606840133667,0.00020431001476273192,0.20015893014666947,True,True,True,True,47455.178038643266,61810.78909855671,2629.9184229899865,61810.78909855671,True,0.885,0.20015893014666947,True,34874.963725991896,0.8911989770232006,True,True,True,True
20.0,80.0,0.845,0.0,0.0625,0.8440583061722413,245.4152332376315,118.0,0.8448223622389112,0.228249654173851,0.3651994466781616,0.00020425822542491368,0.1995987340902409,True,True,True,True,47484.81926961066,61849.335945086175,2629.9184229899865,61849.335945086175,True,0.885,0.1995987340902409,True,34856.536320547624,0.8911955598858744,True,True,True,True
20.0,80.0,0.845,0.25,0.0625,0.8440583061722413,245.4152332376315,118.0,0.8448223622409624,0.228249654173851,0.3651994466781616,0.00020425822434466667,0.19959873412031556,True,True,True,True,47484.81926961066,61849.33594332091,2629.9184229899865,61849.33594332091,True,0.885,0.19959873412031556,True,34856.536320547624,0.8911955598858744,True,True,True,True
20.0,80.0,0.845,0.5,0.0625,0.8440583061722413,245.4152332376315,118.0,0.8448223622346852,0.2282496690750122,0.36519947052001955,0.00020425822779146507,0.19959875787013945,True,True,True,True,47484.8180096385,61849.33430759968,2629.9184229899865,61849.33430759968,True,0.885,0.19959875787013945,True,34856.537103961426,0.891195560031136,True,True,True,True
20.0,80.0,0.845,0.75,0.0625,0.8440583061722413,245.4152332376315,118.0,0.8448223622022671,0.22824974358081818,0.3651995897293091,0.0002042582456482922,0.19959887660412703,True,True,True,True,47484.81170977872,61849.326129883084,2629.9184229899865,61849.326129883084,True,0.885,0.19959887660412703,True,34856.54102102965,0.8911955607574227,True,True,True,True
20.0,90.0,0.84,0.0,0.125,0.8389647139672025,307.8246027938453,118.0,0.839851360491605,0.23275074362754822,0.37240118980407716,0.0001756452001996367,0.13428107785890137,True,True,True,True,49596.95304219216,68878.69216892135,2629.9184229899865,68878.69216892135,True,0.885,0.13428107785890137,True,35090.873601677165,0.8908352195557889,True,True,True,True
20.0,90.0,0.84,0.25,0.125,0.8389647139672025,307.8246027938453,118.0,0.8398513605167551,0.23275068402290344,0.37240109443664554,0.00017564518862434042,0.13428098285380805,True,True,True,True,49596.95874404077,68878.70006673169,2629.9184229899865,68878.70006673169,True,0.885,0.13428098285380805,True,35090.870528622196,0.8908352189879276,True,True,True,True
20.0,90.0,0.84,0.5,0.125,0.8389647139672025,307.8246027938453,118.0,0.839851360368341,0.2327510416507721,0.37240166664123536,0.00017564525890034766,0.1342815529201906,True,True,True,True,49596.92453296876,68878.65267784662,2629.9184229899865,68878.65267784662,True,0.885,0.1342815529201906,True,35090.8889669402,0.8908352223950506,True,True,True,True
