candidate,seed,layer,mode,n,SCL_upper_participation,SCL_minus_ICL_lag_median_ms,pair_order_probability_mae
up4p5__EE_angle_offset_deg_-15,847101,primary,TA,1,0.0,-29.47429669794656,0.2136198927072951
up4p5__EE_angle_offset_deg_-15,847101,primary,TB,0,,,
up4p5__EE_angle_offset_deg_-15,847101,all_detected,ALL,1,0.0,-29.47429669794656,
up4p5__EE_angle_offset_deg_-15,847101,all_detected,TA,1,0.0,-29.47429669794656,
up4p5__EE_angle_offset_deg_-15,847101,all_detected,TB,0,,,
up4p5__EE_angle_offset_deg_-15,847102,primary,ALL,3,0.0,-11.752282628369358,0.1812643020758781
up4p5__EE_angle_offset_deg_-15,847102,primary,TA,2,0.0,,0.1954156092885249
up4p5__EE_angle_offset_deg_-15,847102,primary,TB,1,0.0,-11.752282628369358,0.4416244938997581
up4p5__EE_angle_offset_deg_-15,847102,all_detected,ALL,3,0.0,-11.752282628369358,
up4p5__EE_angle_offset_deg_-15,847102,all_detected,TA,2,0.0,,
up4p5__EE_angle_offset_deg_-15,847102,all_detected,TB,1,0.0,-11.752282628369358,
up4p5__EE_angle_offset_deg_15,847101,primary,ALL,2,0.5,-39.222244794530525,0.5527778940515997
up4p5__EE_angle_offset_deg_15,847101,primary,TA,0,,,
up4p5__EE_angle_offset_deg_15,847101,primary,TB,2,0.5,-39.222244794530525,0.4210536473276011
up4p5__EE_angle_offset_deg_15,847101,all_detected,ALL,77,0.5,-40.38958541010834,
up4p5__EE_angle_offset_deg_15,847101,all_detected,TA,0,,,
up4p5__EE_angle_offset_deg_15,847101,all_detected,TB,77,0.5,-40.38958541010834,
up4p5__EE_angle_offset_deg_15,847102,primary,ALL,8,0.5,-44.821317985367386,0.4827165484696791
up4p5__EE_angle_offset_deg_15,847102,primary,TA,0,,,
up4p5__EE_angle_offset_deg_15,847102,primary,TB,8,0.5,-44.821317985367386,0.3125371638111175
up4p5__EE_angle_offset_deg_15,847102,all_detected,ALL,76,0.5,-36.28444014778597,
up4p5__EE_angle_offset_deg_15,847102,all_detected,TA,0,,,
up4p5__EE_angle_offset_deg_15,847102,all_detected,TB,76,0.5,-36.28444014778597,
near_upper__baseline,847101,primary,ALL,6,0.3333333333333333,-43.93144955739445,0.4877345009079006
near_upper__baseline,847101,primary,TA,0,,,
near_upper__baseline,847101,primary,TB,6,0.3333333333333333,-43.93144955739445,0.3216566423158693
near_upper__baseline,847101,all_detected,ALL,62,0.3790322580645161,-15.223855214801231,
near_upper__baseline,847101,all_detected,TA,0,,,
near_upper__baseline,847101,all_detected,TB,62,0.3790322580645161,-15.223855214801231,
near_upper__baseline,847102,primary,ALL,5,0.3,-65.6277336296298,0.5229559830266273
near_upper__baseline,847102,primary,TA,0,,,
near_upper__baseline,847102,primary,TB,5,0.3,-65.6277336296298,0.4275355330748773
near_upper__baseline,847102,all_detected,ALL,48,0.5,-41.4953572389486,
near_upper__baseline,847102,all_detected,TA,1,1.0,-41.339986641469295,
near_upper__baseline,847102,all_detected,TB,47,0.4893617021276596,-41.65072783642791,
near_upper__EE_out_to_out_scale_1.15,847101,primary,ALL,3,0.5,-10.779739765835076,0.576961927127115
near_upper__EE_out_to_out_scale_1.15,847101,primary,TA,0,,,
near_upper__EE_out_to_out_scale_1.15,847101,primary,TB,3,0.5,-10.779739765835076,0.3552149306618159
near_upper__EE_out_to_out_scale_1.15,847101,all_detected,ALL,76,0.6578947368421053,-13.703555259309724,
