candidate,noise,L,TB_n,TA_n,TB_order,TB_lag,TB_leftreturn,TB_leftreturn_n,TA_part,TA_lag
up3__ellipse4__core_mean_rate_scale_1.0,847101,,7,4,0.30786550302896504,36.17203636250997,0.14285714285714285,7,0.5,33.18121329409769
up3__circle__IE_same_core_scale_1.25,847102,8.525161395110853,79,12,0.32605428700318384,42.499575365180135,0.1527777777777778,72,0.9166666666666666,108.50330236423906
endpoint__out_angle_m15,847102,3.1025316493243142,56,71,0.35772826215683656,36.48526247687914,0.0,56,0.4225352112676056,31.931745003777905
up3__ellipse4__depth_A_scale_0.75,847101,13.00105500293416,91,4,0.40171126114176464,36.18850350676803,0.02247191011235955,89,0.5,35.6274500103691
up3__radius25_dose_matched,847101,11.50729512378376,91,8,0.39604524227531873,36.06677525014129,0.02197802197802198,91,1.0,42.31759164505456
up3__ellipse4__EI_same_core_scale_0.75,847102,8.827480501916533,126,31,0.38700791638013443,35.10473747914966,0.0,126,0.8064516129032258,-21.374267710572894
up3__circle__EE_same_core_scale_1.0,847102,4.269560869902114,90,78,0.35943512901515545,34.556498971207475,0.1111111111111111,90,0.0,-17.261716691247784
up3__ellipse4__EI_same_core_scale_1.25,847101,,0,0,,,,0,,
up3__out_parallel15,847102,6.196660820196457,101,31,0.30178047456117313,36.54224933653313,0.16853932584269662,89,1.0,89.62677427644303
up3__circle__core_ou_correlation_0.5,847101,8.446192428938037,97,16,0.3436583044684879,36.45517429654683,0.13186813186813187,91,0.875,91.90893038487457
endpoint__out_perp15,847102,11.63264914590954,94,9,0.3991499890787904,36.14252435373419,0.0,93,0.7777777777777777,27.250330176560965
endpoint__out_parallel15,847102,5.161003658007846,76,57,0.37477019182134047,36.21044411122148,0.0,75,0.5350877192982456,99.13461765159445
up3__ellipse4_out_perp20,847101,13.152366656933966,85,5,0.4002117064282599,36.17727140409261,0.011764705882352941,85,0.8,-21.577708465168143
endpoint__ellipse4_orthogonal,847101,7.388071479081323,78,63,0.3498173960619146,36.76200447206429,0.05714285714285714,70,0.9682539682539683,101.63326651128591
up3__ellipse4__IE_same_core_scale_1.25,847101,7.5662073121671165,80,19,0.35739172560268656,37.64142007591363,0.0958904109589041,73,0.8947368421052632,97.61061348354997
up3__ellipse4__EE_core_to_out_scale_1.25,847101,7.000298498677386,98,35,0.3620923356122573,35.62020399954508,0.08163265306122448,98,0.7,-20.091292039294785
up3__ellipse4__EE_core_to_out_scale_0.75,847101,,2,0,0.4001334416628489,40.595004759673884,0.0,2,,
endpoint__out_angle_p15,847102,5.78323128482264,60,49,0.3352048728880495,36.81090274392682,0.16363636363636364,55,0.8367346938775511,100.73966228615609
up3__ellipse4__EE_core_to_out_degree_scale_1.5,847102,8.65058964339065,121,38,0.3866350533567289,34.882834090101824,0.04132231404958678,121,1.0,-19.08841580750868
up3__circle__IE_same_core_scale_1.25,847101,7.694412380588685,81,16,0.3255364739694491,44.93586555960974,0.11428571428571428,70,0.96875,107.08455369728654
up3__ellipse4__core_mean_rate_scale_1.0,847102,,11,2,0.3230359225536071,37.25548412401258,0.1111111111111111,9,0.75,35.488954907384596
