candidate,comparison,topology,noise,description,L_search,TA,TB,primary,rotation_time_fraction,rotation_tracks_per_minute,max_fixed_ring_turns,coreAE_rate_hz,coreBE_rate_hz,surroundE_rate_hz
up3__ellipse4__EE_same_core_scale_0.75,up3__ellipse4,2511,847101,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→E 权重 × 0.75,-2.6608614707178555,-5,-72,-77,-0.003241379310344828,-6.206896551724137,-0.0012101438425411448,-7.987535612535613,-2.077637247448568,-5.201288796416178
up3__circle__EI_same_core_scale_1.25,up3__circle,2511,847101,左核上移3 mm｜圆形对照｜同核 E→I 权重 × 1.25,,-22,-105,-127,-0.014448275862068965,-17.586206896551722,-0.9157438205596254,-7.424169040835707,-5.376413942451678,-8.486834673683845
up3__ellipse4__EI_same_core_scale_0.75,up3__ellipse4,2511,847102,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→I 权重 × 0.75,-0.731633406425237,11,34,45,-0.005689655172413793,-8.275862068965518,-0.41568929380850916,3.593732193732194,10.32916349897482,3.3360772874820945
endpoint__ellipse4_out_perp20,endpoint__ellipse4,2511,847101,端点原位｜拉长 4:1＋输出横向 ×2,4.974328259451236,-29,13,-16,-0.007241379310344828,-11.379310344827584,0.033748783265028504,1.1197145728189337,-1.9253576612067187,-0.6031019860074647
endpoint__out_perp20,endpoint__out_reference,2511,847101,端点原位｜左核输出横向范围 ×2,2.083488892586585,-37,10,-27,-0.0072068965517241386,-9.310344827586206,0.005841263474230751,1.4245164786776385,-3.695486903034073,-1.891923397775666
endpoint__radius25,endpoint__circle,2511,847101,端点原位｜左核半径 2.5 mm,-3.819470429410025,15,-45,-30,-0.0037586206896551705,-3.1034482758620676,-0.03174840165374415,-3.2319007375903546,5.600110581242657,0.9026521021048897
endpoint__out_angle_p15,endpoint__out_reference,2511,847102,端点原位｜左核输出方向 +15°,0.8903153343597445,-11,-14,-25,-0.002827586206896552,-1.0344827586206886,0.036983473332721783,-1.0884169404644979,1.0964590964590961,0.6903156040561367
up3__out_reference,up3__circle,2611,847201,左核上移3 mm｜离核重采样对照,0.7561586809564744,-6,8,2,-0.003103448275862071,-4.137931034482758,0.00040525586368256317,-0.21717326088186972,-0.3258328972614688,-0.16451637613122827
up3__radius25,up3__circle,2511,847102,左核上移3 mm｜左核半径 2.5 mm,-1.6486951844572237,13,-19,-6,-0.00503448275862069,-4.137931034482758,0.09092943799079967,-1.4334374069139955,1.1944386850047213,0.5369802649730708
endpoint__out_perp15,endpoint__out_reference,2511,847102,端点原位｜左核输出横向范围 ×1.5,6.739733195446644,-51,20,-31,-0.008413793103448277,-8.275862068965516,-0.007233177755910258,2.279285077171469,-3.5560393484921793,-1.314484574836694
up3__ellipse4__IE_same_core_scale_1.25,up3__ellipse4,2511,847102,左核上移3 mm｜沿端点轴拉长 4:1｜同核 I→E 权重 × 1.25,-1.997720060570897,-3,-3,-6,-0.00041379310344827596,-3.1034482758620694,0.1812328298736927,-3.6840218423551736,-0.8560831202340635,-0.7693270483237082
endpoint__ellipse4_orthogonal,endpoint__circle,2511,847101,端点原位｜转90°拉长 4:1,0.9247453572604138,15,-5,10,-0.010275862068965516,-10.344827586206895,-0.18461129055959424,3.5264257245763186,0.8966986891515187,0.9590404349920423
up3__out_reference,up3__circle,2511,847101,左核上移3 mm｜离核重采样对照,0.35794393479604736,-2,-7,-9,-0.004172413793103447,-2.0689655172413772,-0.08622286997837925,0.31937321937321883,-0.20538162047596042,-0.1863341903292124
up3__ellipse4__EE_core_to_out_scale_1.25,up3__ellipse4,2511,847102,左核上移3 mm｜沿端点轴拉长 4:1｜核→外 E→E 权重 × 1.25,-1.112500362604779,13,24,37,-0.004137931034482759,-6.206896551724139,-0.24546824045073135,3.002991452991454,1.9821918123804911,3.112311800962006
