candidate,comparison,stage,topology,noise,layer,mode,description,n_condition,n_reference,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,n,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
up3__out_perp20,up3__out_reference,confirmation,2612,847201,all_detected,TA,左核上移3 mm｜左核输出横向范围 ×2,18,42,-0.41666666666666663,0.07503607503607512,-0.47619047619047616,-0.03701682149840141,0.019093946174687848,-21.376460654373204,2.0,4.0,6.889881092380847,0.009412135790068485,0.0,-24,-69.0,-20.0,-0.530401457058816,0.0
up3__out_perp20,up3__out_reference,confirmation,2612,847201,all_detected,TB,左核上移3 mm｜左核输出横向范围 ×2,149,133,0.03383458646616544,0.04145201319344749,0.007518796992481258,0.04134397845255072,0.05141646413988832,0.5398649735761865,0.0,0.0,-0.6448464815257466,0.014767438993405935,0.0,16,-4.0,-4.0,-0.0031043761529971903,0.0
up3__circle__EE_same_core_scale_1.0,up3__circle,response,2511,847101,primary,ALL,左核上移3 mm｜圆形对照｜同核 E→E 权重 × 1.0,177,127,-0.6183104230615241,0.03793843951324272,0.0,0.07478729082117738,-0.1520004761868552,-49.10045979186543,0.0,-48.0,54.83198172730772,0.23860823215169397,1.0,50,50.0,19.0,0.21780217726253426,-0.03387020369493132
up3__circle__EE_same_core_scale_1.0,up3__circle,response,2511,847101,primary,TA,左核上移3 mm｜圆形对照｜同核 E→E 权重 × 1.0,85,22,-0.9259358288770054,0.05371900826446274,0.0,0.0672491407224769,-0.05001837631256453,-108.99594186028298,0.0,-74.0,-7.799340465813202,0.2374062987586359,1.0,63,-28.0,14.0,-0.4227556401528991,-0.03666427030913011
up3__circle__EE_same_core_scale_1.0,up3__circle,response,2511,847101,primary,TB,左核上移3 mm｜圆形对照｜同核 E→E 权重 × 1.0,92,105,-0.32194616977225665,0.03463203463203468,0.0,0.029727562771370203,0.011826435224108534,-1.978857919514212,0.0,-16.0,-1.155754984867599,0.24404613445259743,0.0,-13,56.5,19.5,0.45718783610696523,0.0
up3__circle__EE_same_core_scale_1.0,up3__circle,response,2511,847101,all_detected,ALL,左核上移3 mm｜圆形对照｜同核 E→E 权重 × 1.0,199,156,-0.6241624790619764,0.030885780885780978,0.0,0.07477230516615602,-0.19490790664202734,-49.22607095125204,0.0,-40.0,90.3743952628065,0.23357909892143247,1.0,43,64.0,19.0,0.4123601056928594,-0.03398926654740608
up3__circle__EE_same_core_scale_1.0,up3__circle,response,2511,847101,all_detected,TA,左核上移3 mm｜圆形对照｜同核 E→E 权重 × 1.0,99,22,-0.9217171717171718,0.05371900826446274,0.0,0.0672412183616134,-0.04865751164795884,-108.99594186028298,0.0,-74.0,-7.7341539156946055,0.2374062987586359,1.0,77,-28.0,14.0,-0.4184623488611203,-0.03666427030913011
up3__circle__EE_same_core_scale_1.0,up3__circle,response,2511,847101,all_detected,TB,左核上移3 mm｜圆形对照｜同核 E→E 权重 × 1.0,100,134,-0.3076865671641791,0.027137042062415184,0.0,0.02087643538552511,-0.000871719568443341,-1.52047699888044,0.0,-14.0,6.037274751718542,0.24067988684404268,0.0,-34,57.5,18.5,0.5044658980858481,0.0
up3__ellipse4__EE_same_core_scale_1.0,up3__ellipse4,response,2511,847101,primary,ALL,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→E 权重 × 1.0,174,111,-0.04217148182665409,0.027027027027026973,0.0,0.017456660260281226,-0.06301241697303783,-1.1308258836397727,0.0,-14.0,8.242120507689606,0.23708685747543104,0.0,63,32.0,14.5,0.5038028445927898,0.0
up3__ellipse4__EE_same_core_scale_1.0,up3__ellipse4,response,2511,847101,primary,TA,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→E 权重 × 1.0,32,16,0.015625,0.017045454545454586,0.0,-0.03690720344347387,-0.14926559273711942,-90.53471607653228,0.0,-60.0,-10.507379090102404,0.1853249483197636,0.0,16,-14.0,22.0,-0.2899561211535744,-0.01734943233465136
up3__ellipse4__EE_same_core_scale_1.0,up3__ellipse4,response,2511,847101,primary,TB,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→E 权重 × 1.0,142,95,-0.03543365455893255,0.028708133971291905,0.0,0.03106004447739069,0.01094120204360055,-0.9664304419693508,0.0,-14.0,9.345006619396372,0.23739623165901377,0.0,47,32.0,6.5,0.512325222441798,0.0
up3__ellipse4__EE_same_core_scale_1.0,up3__ellipse4,response,2511,847101,all_detected,ALL,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→E 权重 × 1.0,182,152,-0.06723539618276464,0.022129186602870776,0.0,0.012740113093519384,-0.08384416513314968,-1.0873957218846044,0.0,-12.0,8.826808247176814,0.23523406583754994,0.0,30,33.0,15.0,0.5269180109148772,0.0
up3__ellipse4__EE_same_core_scale_1.0,up3__ellipse4,response,2511,847101,all_detected,TA,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→E 权重 × 1.0,32,16,0.015625,0.017045454545454586,0.0,-0.03690720344347387,-0.14926559273711942,-90.53471607653228,0.0,-60.0,-10.507379090102404,0.1853249483197636,0.0,16,-14.0,22.0,-0.2899561211535744,-0.01734943233465136
up3__ellipse4__EE_same_core_scale_1.0,up3__ellipse4,response,2511,847101,all_detected,TB,左核上移3 mm｜沿端点轴拉长 4:1｜同核 E→E 权重 × 1.0,150,136,-0.0488725490196078,0.02272727272727293,0.0,0.02156209150326799,0.0003468090210687058,-0.881835620106358,0.0,-12.0,9.21780185143598,0.23737843485433727,0.0,14,32.0,8.0,0.5249300637517926,0.0
endpoint__ellipse4,endpoint__circle,shape_range,2511,847102,primary,ALL,端点原位｜沿端点轴拉长 4:1,110,126,-0.02366522366522361,-0.031221303948576584,0.04747474747474756,-0.0013265102794693118,0.06279461601553993,-0.5208709316975728,0.0,-2.0,-40.69596929045838,0.005198691723263413,-1.0,-16,-0.5,-1.0,-0.11753193813722973,0.11697060064530418
endpoint__ellipse4,endpoint__circle,shape_range,2511,847102,primary,TA,端点原位｜沿端点轴拉长 4:1,26,48,-0.23317307692307693,-0.08464452214452212,0.019230769230769273,0.09954746787162294,-0.02800919040445743,-3.753534960684192,0.0,-40.0,-1.9172375222565279,-0.02355269895507482,0.0,-22,-61.0,0.0,-0.6682785859845257,-0.0079907835177071
endpoint__ellipse4,endpoint__circle,shape_range,2511,847102,primary,TB,端点原位｜沿端点轴拉长 4:1,84,78,-0.014194139194139144,-0.015651015651015565,0.013736263736263798,-0.013569113198182103,0.002665266295331592,0.13149333082310477,0.0,0.0,-3.572837065006752,-0.009026806890587963,0.0,6,-0.5,-1.5,-0.01615616614889248,0.0
