comparison,component,dataset,n,median_nats,median_bits,positive,sign_p_two_sided,wilcoxon_p_two_sided,ci95_low,ci95_high
fir_minus_selected_linear,event_contact_contribution_nll,epilepsiae,18,-0.015338897705078347,-0.022129351651819635,5,0.09625244140625,0.05385589599609375,-0.04579657316207897,-0.0004658699035644531
fir_minus_selected_linear,event_contact_contribution_nll,yuquan,16,0.002666354179382213,0.0038467359518482807,8,1.0,0.632171630859375,-0.023256649076938845,0.008337020874023438
fir_minus_selected_linear,event_continue_nll,all,34,-0.00732925627380605,-0.010573881679624312,16,0.8641662404406816,0.8395236049545929,-0.015709340572357122,0.020809359848499312
fir_minus_selected_linear,event_continue_nll,epilepsiae,18,0.022018767893314403,0.03176636724616982,12,0.237884521484375,0.05385589599609375,-0.011006861925125108,0.0371396923437715
fir_minus_selected_linear,event_continue_nll,yuquan,16,-0.01643493305891755,-0.023710596421442433,4,0.076812744140625,0.065399169921875,-0.0303021315485239,-0.0009127426892519032
fir_minus_selected_linear,event_stop_contribution_nll,all,34,-0.004619076848030104,-0.006663919262138056,9,0.00904118549078703,0.006141410209238529,-0.01623263210058211,-0.0018310248851776123
fir_minus_selected_linear,event_stop_contribution_nll,epilepsiae,18,-0.015803754329681355,-0.022799997998858776,1,0.00014495849609375,0.00019073486328125,-0.024444520473480252,-0.003630742430687006
fir_minus_selected_linear,event_stop_contribution_nll,yuquan,16,0.0006254576146602492,0.0009023445989565817,8,1.0,0.899932861328125,-0.005486696958541898,0.003938257694244329
fir_minus_selected_linear,event_terminal_stop_nll,all,34,0.06466367840766907,0.09328996816438291,18,0.8641662404406816,0.9059782412368804,-0.16754209995269775,0.1391364336013794
fir_minus_selected_linear,event_terminal_stop_nll,epilepsiae,18,-0.13159573078155518,-0.18985250820070876,6,0.237884521484375,0.02367401123046875,-0.3846549987792969,0.06466367840766907
fir_minus_selected_linear,event_terminal_stop_nll,yuquan,16,0.23474913835525524,0.3386714177580839,12,0.076812744140625,0.0506591796875,0.023406624794006348,0.3791806697845459
fir_minus_selected_linear,event_total_nll,all,34,-0.023490428924560547,-0.03388952531781817,11,0.05761267291381955,0.0021831230260431767,-0.048679351806640625,-0.013763427734374778
fir_minus_selected_linear,event_total_nll,epilepsiae,18,-0.038566768169403076,-0.055640085181112145,2,0.001312255859375,0.00157928466796875,-0.06981122493743874,-0.020823121070861816
fir_minus_selected_linear,event_total_nll,yuquan,16,0.005300581455230602,0.007647122579289195,9,0.803619384765625,0.528167724609375,-0.04186058044433594,0.016381025314331055
retrained_minus_frozen_unordered,event_contact_choice_nll,all,34,0.004300951957702637,0.006204962060479273,20,0.39152830513194203,0.10122521140147,-0.0025544166564941406,0.010555982589722124
retrained_minus_frozen_unordered,event_contact_choice_nll,epilepsiae,18,0.0075907111167908825,0.010951081285014931,12,0.237884521484375,0.12973785400390625,-0.0040187835693359375,0.018062591552734375
retrained_minus_frozen_unordered,event_contact_choice_nll,yuquan,16,0.0006392598152162865,0.0009222569652521317,8,1.0,0.596588134765625,-0.004656553268432728,0.005779266357421875
retrained_minus_frozen_unordered,event_contact_contribution_nll,all,34,0.004022955894469993,0.005803898518666883,20,0.39152830513194203,0.0874475616728887,-0.002354860305786577,0.009909391403197798
retrained_minus_frozen_unordered,event_contact_contribution_nll,epilepsiae,18,0.006505072116851807,0.009384835283607174,12,0.237884521484375,0.11870574951171875,-0.0032581090927124023,0.014365613460540994
retrained_minus_frozen_unordered,event_contact_contribution_nll,yuquan,16,0.00046128034591674805,0.000665486867513638,8,1.0,0.596588134765625,-0.0033224821090699352,0.008052170276641846
retrained_minus_frozen_unordered,event_continue_nll,all,34,0.020012728869914995,0.028872264695281754,26,0.0029350556433200836,0.0001502245431765914,0.014450250379741222,0.027303099632263184
retrained_minus_frozen_unordered,event_continue_nll,epilepsiae,18,0.014828596264123944,0.021393142293596224,11,0.480682373046875,0.19638824462890625,-0.00939673557877545,0.02093550935387614
retrained_minus_frozen_unordered,event_continue_nll,yuquan,16,0.030508175492286703,0.04401399348929224,15,0.000518798828125,6.103515625e-05,0.019350126385688796,0.0484571419656277
retrained_minus_frozen_unordered,event_stop_contribution_nll,all,34,-0.0020241066813468517,-0.0029201686714093204,15,0.6075913612730801,0.5656447277870029,-0.007039308547973577,0.004458159208297702
retrained_minus_frozen_unordered,event_stop_contribution_nll,epilepsiae,18,-0.005488663911819472,-0.007918468206688171,6,0.237884521484375,0.6094589233398438,-0.00981399416923516,0.0098183155059815
retrained_minus_frozen_unordered,event_stop_contribution_nll,yuquan,16,0.0010267794132233082,0.0014813295675441466,9,0.803619384765625,1.0,-0.0061724483966827115,0.008486360311508095
retrained_minus_frozen_unordered,event_terminal_stop_nll,all,34,-0.24431857466697693,-0.35247719606910755,8,0.0029350556433200836,0.000290827127173543,-0.29959419369697593,-0.040173053741454634
retrained_minus_frozen_unordered,event_terminal_stop_nll,epilepsiae,18,-0.024626165628433228,-0.03552804702825086,7,0.480682373046875,0.468292236328125,-0.1581602841615677,0.06064137816429138
