subject,dataset,condition,seed,heldout_event_nll,n_eval_events,top1_next_set_accuracy,stop_brier,stop_accuracy,terminal_stop_probability,nonterminal_stop_probability
epilepsiae_384,epilepsiae,history_2_gru,20260726,1.79333400205003,4299,0.2659198586685939,0.2211080697826966,0.5592193117616846,0.5990818106750533,0.4586915452521846
epilepsiae_384,epilepsiae,history_3_gru,20260726,1.7792911734739607,4299,0.2204288123343772,0.2009687423543722,0.6086971409005307,0.6109123797626526,0.4216102061715989
epilepsiae_442,epilepsiae,history_1_gru,20260726,2.2253619410125505,534,0.1573012232415902,0.2990101977994479,0.2025667707249393,0.6249389957200333,0.5529561112896837
epilepsiae_442,epilepsiae,history_2_gru,20260726,2.19759500696418,534,0.1930428134556575,0.248094343284763,0.4110301768990634,0.5646914721331112,0.4896111721659923
epilepsiae_442,epilepsiae,history_3_gru,20260726,2.174813684006309,534,0.1964831804281345,0.2356620943496703,0.4625390218522373,0.5768216492878446,0.4673813102768298
epilepsiae_548,epilepsiae,history_1_gru,20260726,2.080491176996388,1397,0.1816128728709889,0.2823134001747578,0.2323685961410512,0.606460835918547,0.5372697563371257
epilepsiae_548,epilepsiae,history_2_gru,20260726,2.028877368891504,1397,0.2276277406605815,0.2342495828176412,0.3916333998669328,0.5634797646445476,0.4720627756081222
epilepsiae_548,epilepsiae,history_3_gru,20260726,2.005873863749958,1397,0.2016561588406888,0.2184690406457227,0.4725548902195609,0.5713061305087288,0.4455347437251534
epilepsiae_583,epilepsiae,history_1_gru,20260726,1.580515235167658,1566,0.2718078381795196,0.250490014900741,0.3606217616580311,0.6295922203808177,0.5092493046922588
epilepsiae_583,epilepsiae,history_2_gru,20260726,1.5335613201023823,1566,0.2757409748560191,0.2062615177792974,0.5443868739205526,0.6218715965339442,0.4422429163459873
epilepsiae_583,epilepsiae,history_3_gru,20260726,1.462510008693198,1566,0.3638151425762045,0.1625483843174428,0.7325273459988486,0.6306409833646067,0.3720645026785491
epilepsiae_590,epilepsiae,history_1_gru,20260726,2.438199245463403,997,0.1277997364953886,0.3225747977893863,0.1973280554181098,0.638066472120683,0.5775048321711047
epilepsiae_590,epilepsiae,history_2_gru,20260726,2.3395520527599567,997,0.1324110671936759,0.2787868223159821,0.3018307768431469,0.6087847754253783,0.5255810586805638
epilepsiae_590,epilepsiae,history_3_gru,20260726,2.331145463161985,997,0.1521739130434782,0.2415791683287248,0.4177140029688273,0.5905533160432067,0.4733073891308852
epilepsiae_620,epilepsiae,history_1_gru,20260726,1.648229674030127,4482,0.3345029626932371,0.2869822985352935,0.2583955492779107,0.6198378376900411,0.5440419585334685
epilepsiae_620,epilepsiae,history_2_gru,20260726,1.6111103920120575,4482,0.3521467112449932,0.2334989508567402,0.457063791761552,0.5767278410500204,0.4749594494876967
epilepsiae_620,epilepsiae,history_3_gru,20260726,1.582778940239106,4482,0.3135489423681684,0.1836353957597125,0.7329855005621054,0.5389936260015341,0.3942835184006841
epilepsiae_635,epilepsiae,history_1_gru,20260726,1.6703761811363615,1023,0.3559614059269469,0.2450262988727531,0.4099897465944045,0.5872951648916185,0.4954569777415113
epilepsiae_635,epilepsiae,history_2_gru,20260726,1.6650336900414608,1023,0.3552722260509993,0.1883063830028146,0.7745715541233338,0.5242227167671295,0.4079436992133275
epilepsiae_635,epilepsiae,history_3_gru,20260726,1.5920715679288029,1023,0.3774982770503101,0.1600181260298131,0.8107514281529222,0.5249027870939287,0.3521885802898242
epilepsiae_922,epilepsiae,history_1_gru,20260726,1.7699176010220088,16728,0.2755874731951394,0.3119435322060531,0.3940280810057969,0.6436120053657093,0.5641527245000579
epilepsiae_922,epilepsiae,history_2_gru,20260726,1.8959217707202056,16728,0.2112111329521086,0.2432230168894709,0.5557479485056087,0.6228640206996323,0.4810077089580457
epilepsiae_922,epilepsiae,history_3_gru,20260726,1.9325839602194692,16728,0.2272270371694067,0.2112163702526852,0.6219509899872017,0.6232969759253774,0.4443204687444363
epilepsiae_958,epilepsiae,history_1_gru,20260726,2.2973648144058694,24684,0.1800753775224083,0.2162063484122041,0.692132519651222,0.5179422761680607,0.4548209280868674
epilepsiae_958,epilepsiae,history_2_gru,20260726,2.296192421975543,24684,0.142524457793303,0.2469169884300498,0.4498057350605767,0.5743124548630028,0.4886540964485208
epilepsiae_958,epilepsiae,history_3_gru,20260726,2.316702709294973,24684,0.0995324272070052,0.2750781180661114,0.3521938454470091,0.6230205452826516,0.5172673329394919
yuquan_chengshuai,yuquan,history_1_gru,20260726,1.398302701070224,5516,0.4522112334390744,0.2119322243983243,0.7793011667853054,0.5043221731945052,0.4445954729905673
yuquan_chengshuai,yuquan,history_2_gru,20260726,1.380381154929753,5516,0.4535174472849412,0.208377271131905,0.5677014019993191,0.5613797739837106,0.4367374041502971
yuquan_chengshuai,yuquan,history_3_gru,20260726,1.3571547494365133,5516,0.4477701063631275,0.1822307608391261,0.6895794002042648,0.5771465675792924,0.3983257031170547
