seed,i,j,angle_deg,aspect_ratio,status,exact_noop,passes,budget_error_max,zero_denominator,edge_ratio_p01,edge_ratio_p50,edge_ratio_p99,effective_source_median_ratio,effective_source_p05_ratio,targets_effective_ratio_below_0p5,topology_unchanged,gaba_unchanged,achieved_angle_deg,achieved_aspect_ratio,weighted_rms_distance_mm,axial_anisotropy
2511,2,13,-40.30538396505847,2.625,OK,False,False,1.4551915228366852e-11,False,0.08473607050465273,0.7178348669954029,4.359124811605478,0.5480410073227042,0.43053798396839726,6415,True,True,136.8984487691579,2.8457745676682196,1.8580232314051897,0.7801819253729964
2511,2,14,-40.30538396505847,2.75,OK,False,False,1.5916157281026244e-11,False,0.07110029807349537,0.6902262430849969,4.634003329914651,0.5151435346316626,0.3940413511605348,12082,True,True,137.14448613703067,3.0117088264351346,1.8914494437374776,0.8013979608503994
2511,2,15,-40.30538396505847,2.875,OK,False,False,1.5006662579253316e-11,False,0.059486911142112325,0.6624430768403582,4.9141262829536965,0.48377371854431916,0.3588963881825427,20577,True,True,137.35856914649725,3.178133867418768,1.9239914344116333,0.819828501801169
2511,2,16,-40.30538396505847,3.0,OK,False,False,1.546140993013978e-11,False,0.04969047037473302,0.6348256821768449,5.196746050675313,0.4540876290816087,0.32718237062143335,27782,True,True,137.5464447049289,3.3448287709311697,1.9556137475223314,0.8359025457319207
2511,3,0,-37.80538396505847,1.0,OK,False,False,1.7280399333685637e-11,False,0.05460931379698811,0.6508924927390443,5.058157360006372,0.4673660282295249,0.3445232941770217,25366,True,True,67.76208995569495,1.2233847367185386,1.4711025928627195,0.19893304740197007
2511,3,1,-37.80538396505847,1.125,OK,False,False,1.6825651982799172e-11,False,0.0894099399484747,0.7263211147231418,4.287773018528141,0.5564447925763363,0.443193783246395,5147,True,True,88.84057103285538,1.1209360329868747,1.478518680515899,0.11367066872996565
2511,3,2,-37.80538396505847,1.25,OK,False,False,1.546140993013978e-11,False,0.130802361279,0.7853886790985615,3.6970805309629178,0.6355844489958898,0.5314282941442857,680,True,True,117.31107825900693,1.1585908660380728,1.4947894967235302,0.14615036583062116
2511,3,3,-37.80538396505847,1.375,OK,False,False,1.5916157281026244e-11,False,0.17382068129301148,0.8290515737590008,3.2648388757843136,0.6993576868447342,0.6022261027436899,100,True,True,128.1306366439035,1.2728808198373815,1.5177932973210684,0.23670694076365917
2511,3,4,-37.80538396505847,1.5,OK,False,False,1.6370904631912708e-11,False,0.21198162262932455,0.8585757174506913,2.9681621038316996,0.7453173231826182,0.6557485589202027,7,True,True,132.45137038754612,1.4065652106093949,1.5457765870370157,0.3285043150226434
2511,3,5,-37.80538396505847,1.625,OK,False,False,1.6825651982799172e-11,False,0.23868775613894913,0.8760153829919659,2.7920218389428615,0.7732846289636165,0.6889814734306425,2,True,True,134.72042733274077,1.548682589680375,1.5773196084516707,0.4114908351074356
