figure,source,candidate,topology,noise,mode,metric,x,value,support_n
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.75,2511,847101,TB,SCL_minus_ICL_lag_median_ms,1.125,34.37150248967737,79
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.75,2511,847101,TB,SCL_minus_ICL_lag_median_ms,1.25,34.200835257941435,80
circle_EE_EI_time,followup,up3__circle__EI_same_core_scale_0.75,2511,847102,TB,SCL_minus_ICL_lag_median_ms,1.0,34.57084824454796,95
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.75,2511,847102,TB,SCL_minus_ICL_lag_median_ms,1.125,33.826238806690526,96
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.75,2511,847102,TB,SCL_minus_ICL_lag_median_ms,1.25,33.49034558152198,95
circle_EE_EI_time,followup,up3__circle,2511,847101,TB,recruitment_span_ms_median,1.0,90.0,105
circle_EE_EI_time,followup,follow_circle_out1.125_EI1,2511,847101,TB,recruitment_span_ms_median,1.125,85.0,86
circle_EE_EI_time,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847101,TB,recruitment_span_ms_median,1.25,80.0,75
circle_EE_EI_time,followup,up3__circle,2511,847102,TB,recruitment_span_ms_median,1.0,88.0,105
circle_EE_EI_time,followup,follow_circle_out1.125_EI1,2511,847102,TB,recruitment_span_ms_median,1.125,84.0,81
circle_EE_EI_time,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847102,TB,recruitment_span_ms_median,1.25,80.0,77
circle_EE_EI_time,followup,follow_circle_out1_EI0.875,2511,847101,TB,recruitment_span_ms_median,1.0,78.0,88
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.875,2511,847101,TB,recruitment_span_ms_median,1.125,74.0,85
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.875,2511,847101,TB,recruitment_span_ms_median,1.25,74.0,83
circle_EE_EI_time,followup,follow_circle_out1_EI0.875,2511,847102,TB,recruitment_span_ms_median,1.0,76.0,89
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.875,2511,847102,TB,recruitment_span_ms_median,1.125,74.0,96
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.875,2511,847102,TB,recruitment_span_ms_median,1.25,72.0,93
circle_EE_EI_time,followup,up3__circle__EI_same_core_scale_0.75,2511,847101,TB,recruitment_span_ms_median,1.0,74.0,87
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.75,2511,847101,TB,recruitment_span_ms_median,1.125,72.0,79
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.75,2511,847101,TB,recruitment_span_ms_median,1.25,72.0,80
circle_EE_EI_time,followup,up3__circle__EI_same_core_scale_0.75,2511,847102,TB,recruitment_span_ms_median,1.0,72.0,95
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.75,2511,847102,TB,recruitment_span_ms_median,1.125,72.0,96
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.75,2511,847102,TB,recruitment_span_ms_median,1.25,70.0,95
circle_EE_EI_time,followup,up3__circle,2511,847101,TB,local_width_ms_median,1.0,16.0,105
circle_EE_EI_time,followup,follow_circle_out1.125_EI1,2511,847101,TB,local_width_ms_median,1.125,16.0,86
circle_EE_EI_time,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847101,TB,local_width_ms_median,1.25,16.0,75
circle_EE_EI_time,followup,up3__circle,2511,847102,TB,local_width_ms_median,1.0,16.0,105
circle_EE_EI_time,followup,follow_circle_out1.125_EI1,2511,847102,TB,local_width_ms_median,1.125,16.0,81
circle_EE_EI_time,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847102,TB,local_width_ms_median,1.25,16.0,77
circle_EE_EI_time,followup,follow_circle_out1_EI0.875,2511,847101,TB,local_width_ms_median,1.0,16.0,88
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.875,2511,847101,TB,local_width_ms_median,1.125,16.0,85
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.875,2511,847101,TB,local_width_ms_median,1.25,18.0,83
circle_EE_EI_time,followup,follow_circle_out1_EI0.875,2511,847102,TB,local_width_ms_median,1.0,16.0,89
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.875,2511,847102,TB,local_width_ms_median,1.125,16.0,96
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.875,2511,847102,TB,local_width_ms_median,1.25,18.0,93
circle_EE_EI_time,followup,up3__circle__EI_same_core_scale_0.75,2511,847101,TB,local_width_ms_median,1.0,16.0,87
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.75,2511,847101,TB,local_width_ms_median,1.125,18.0,79
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.75,2511,847101,TB,local_width_ms_median,1.25,18.0,80
circle_EE_EI_time,followup,up3__circle__EI_same_core_scale_0.75,2511,847102,TB,local_width_ms_median,1.0,16.0,95
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.75,2511,847102,TB,local_width_ms_median,1.125,18.0,96
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.75,2511,847102,TB,local_width_ms_median,1.25,18.0,95
circle_EE_EI_time,followup,up3__circle,2511,847101,TA,SCL_minus_ICL_lag_median_ms,1.0,91.2919629314074,22
circle_EE_EI_time,followup,follow_circle_out1.125_EI1,2511,847101,TA,SCL_minus_ICL_lag_median_ms,1.125,-4.994864487860468,51
circle_EE_EI_time,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847101,TA,SCL_minus_ICL_lag_median_ms,1.25,-16.460862717292912,71
circle_EE_EI_time,followup,up3__circle,2511,847102,TA,SCL_minus_ICL_lag_median_ms,1.0,92.85278464587464,22
circle_EE_EI_time,followup,follow_circle_out1.125_EI1,2511,847102,TA,SCL_minus_ICL_lag_median_ms,1.125,51.603059420180216,49
circle_EE_EI_time,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847102,TA,SCL_minus_ICL_lag_median_ms,1.25,-15.681420670632631,53
circle_EE_EI_time,followup,follow_circle_out1_EI0.875,2511,847101,TA,SCL_minus_ICL_lag_median_ms,1.0,-17.20631841843351,68
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.875,2511,847101,TA,SCL_minus_ICL_lag_median_ms,1.125,-20.49205674896075,79
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.875,2511,847101,TA,SCL_minus_ICL_lag_median_ms,1.25,-20.018600024344774,86
circle_EE_EI_time,followup,follow_circle_out1_EI0.875,2511,847102,TA,SCL_minus_ICL_lag_median_ms,1.0,-15.76832402814398,57
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.875,2511,847102,TA,SCL_minus_ICL_lag_median_ms,1.125,-19.295440415321536,66
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.875,2511,847102,TA,SCL_minus_ICL_lag_median_ms,1.25,-19.641964114809525,69
circle_EE_EI_time,followup,up3__circle__EI_same_core_scale_0.75,2511,847101,TA,SCL_minus_ICL_lag_median_ms,1.0,-19.667652659969463,82
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.75,2511,847101,TA,SCL_minus_ICL_lag_median_ms,1.125,-20.269135673055644,90
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.75,2511,847101,TA,SCL_minus_ICL_lag_median_ms,1.25,-19.91063113772543,89
circle_EE_EI_time,followup,up3__circle__EI_same_core_scale_0.75,2511,847102,TA,SCL_minus_ICL_lag_median_ms,1.0,-19.1399336111499,69
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.75,2511,847102,TA,SCL_minus_ICL_lag_median_ms,1.125,-20.128432399986195,73
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.75,2511,847102,TA,SCL_minus_ICL_lag_median_ms,1.25,-19.93212108024636,74
circle_EE_EI_time,followup,up3__circle,2511,847101,TA,recruitment_span_ms_median,1.0,120.0,22
circle_EE_EI_time,followup,follow_circle_out1.125_EI1,2511,847101,TA,recruitment_span_ms_median,1.125,68.0,51
circle_EE_EI_time,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847101,TA,recruitment_span_ms_median,1.25,42.0,71
circle_EE_EI_time,followup,up3__circle,2511,847102,TA,recruitment_span_ms_median,1.0,115.0,22
circle_EE_EI_time,followup,follow_circle_out1.125_EI1,2511,847102,TA,recruitment_span_ms_median,1.125,114.0,49
circle_EE_EI_time,followup,up3__circle__EE_core_to_out_scale_1.25,2511,847102,TA,recruitment_span_ms_median,1.25,42.0,53
circle_EE_EI_time,followup,follow_circle_out1_EI0.875,2511,847101,TA,recruitment_span_ms_median,1.0,40.0,68
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.875,2511,847101,TA,recruitment_span_ms_median,1.125,48.0,79
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.875,2511,847101,TA,recruitment_span_ms_median,1.25,49.0,86
circle_EE_EI_time,followup,follow_circle_out1_EI0.875,2511,847102,TA,recruitment_span_ms_median,1.0,42.0,57
circle_EE_EI_time,followup,follow_circle_out1.125_EI0.875,2511,847102,TA,recruitment_span_ms_median,1.125,48.0,66
circle_EE_EI_time,followup,follow_circle_out1.25_EI0.875,2511,847102,TA,recruitment_span_ms_median,1.25,48.0,69
