candidate,stage,topology,noise,N,TA,TB,J,status,rank_pattern,local_and_interrod_timing,participation
g1_axis4_minus,initial,2511,847401,126,55,71,3.530635346047562,SCORABLE,3.38919866484129,4.221863940566377,2.9808434327350186
g2_b01_p01,adaptive,2511,847402,170,119,51,0.6748082394268874,SCORABLE,0.5858822609291748,0.9401257743274348,0.49841668302405245
bridge_circle_out125_xminus075,confirmation,3711,849401,153,53,100,5.784507900329025,SCORABLE,5.811356598870707,6.345339512326319,5.196827589790049
g2_b02_p02,adaptive,2511,847402,160,112,48,0.7927637920738427,SCORABLE,0.6610496623179731,1.1966319544463664,0.5206097594571885
g2_b01_p02,adaptive,2511,847402,169,119,50,0.9047239180641071,SCORABLE,0.7194469161365591,1.3690077485754006,0.6257170894803616
g1_combination_000,initial,2511,847402,167,94,73,1.3361014244445382,SCORABLE,1.2761045376573632,1.60151376091303,1.1306859747632214
g1_axis1_minus,initial,2511,847401,148,91,57,1.0356793078668236,SCORABLE,0.8974012090589013,1.4669930587611768,0.7426436557803927
g2_b01_p03,adaptive,2511,847401,149,94,55,0.9816440862479476,SCORABLE,0.8835213390640058,1.3368248671530265,0.724586052526811
g1_axis5_minus,initial,2511,847402,146,71,75,2.4938572330536095,SCORABLE,2.2915283706359086,3.213179753179193,1.976863575345727
g2_b01_p01,confirmation,3711,849401,162,96,66,1.1346392765887419,SCORABLE,1.0240851728026592,1.5278715694201588,0.8519610875434076
g2_b04_p02,adaptive,2511,847401,153,105,48,0.7451036237540335,SCORABLE,0.5879861442709654,1.1924476931490968,0.4548770338420384
g1_axis2_plus,initial,2511,847401,149,81,68,1.4992551960795284,SCORABLE,1.4581431378994862,1.734912760740673,1.3047096895984263
g2_b04_p04,adaptive,2511,847401,166,113,53,1.0479556924306606,SCORABLE,0.6945119470167348,1.7906663176334694,0.658688812641777
g2_b03_p02,adaptive,2511,847401,143,83,60,1.692070197525814,SCORABLE,1.3858656309963768,2.675861302393124,1.0144836591879411
g2_b03_p04,adaptive,2511,847401,166,114,52,0.804958505210556,SCORABLE,0.6074223749087388,1.3031348229641013,0.5043183177588277
g1_axis3_minus,initial,2511,847401,146,86,60,1.1765099510638446,SCORABLE,1.0941984906380426,1.4510355633158176,0.9842957992376734
g2_b02_p04,adaptive,2511,847401,149,78,71,1.8717517104650092,SCORABLE,1.5952631393903187,2.6753796955472153,1.344612296457494
bridge_circle_out125_xminus075,confirmation,3711,849402,157,47,110,7.301607026251812,SCORABLE,7.324002297069238,8.042333378980299,6.5384854027058985
g2_b04_p03,adaptive,2511,847402,171,97,74,1.180327125215532,SCORABLE,1.054477723488066,1.6167303759025013,0.8697732762560285
bridge_circle_out125_xminus075,initial,2511,847402,144,79,65,1.3633144996388389,SCORABLE,1.3149075766966345,1.5799102643848508,1.1951256578350313
g2_b01_p01,confirmation,3711,849402,159,87,72,1.574218162400338,SCORABLE,1.4638319794007135,2.0218113719242887,1.2370111358760114
g2_b01_p01,adaptive,2511,847401,155,100,55,0.7234726724937683,SCORABLE,0.648515713958236,0.9830053830818045,0.5388969204412642
g2_b02_p02,adaptive,2511,847401,166,116,50,0.7756151782834979,SCORABLE,0.6675055208964044,1.1522232682327604,0.5071167457213291
g1_combination_000,initial,2511,847401,169,107,62,1.035432862190693,SCORABLE,0.905370810280548,1.4819748396407917,0.718952936650739
g2_b04_p03,adaptive,2511,847401,165,108,57,0.7850550808491471,SCORABLE,0.6185821877409907,1.2595869694129902,0.47699608539346045
g2_b03_p02,adaptive,2511,847402,158,77,81,2.9535112371554337,SCORABLE,2.662198195787905,4.086076524980548,2.112258990697848
g2_b02_p03,adaptive,2511,847401,161,102,59,0.8561357499802648,SCORABLE,0.730984804108283,1.295904672789251,0.5415177730432602
g1_axis3_plus,initial,2511,847402,152,101,51,0.6591413342974478,SCORABLE,0.5804564335218242,0.8640589760877924,0.5329085932827271
g2_b01_p04,adaptive,2511,847402,111,65,46,1.0823483984865085,SCORABLE,0.9359870490463441,1.2689966848780276,1.0420614615351536
g1_axis3_plus,initial,2511,847401,148,87,61,1.106259358137501,SCORABLE,1.002665053105331,1.418915272817208,0.8971977484899641
g2_b02_p01,adaptive,2511,847402,126,83,43,0.7205947382078263,SCORABLE,0.5771712168074603,1.1422529150283818,0.4423600827876368
bridge_circle_out125_xminus075,confirmation,3712,849401,153,68,85,3.2041138031174294,SCORABLE,3.1698146718112743,3.6404948153732097,2.8020319221678043
g2_b04_p01,adaptive,2511,847402,141,90,51,0.7423191625967576,SCORABLE,0.6039757050448024,1.1544039723376018,0.46857781040786844
bridge_circle_out125,initial,2511,847401,139,67,72,2.6346645334450494,SCORABLE,2.5194323472006546,3.1106877358156266,2.2738735173188673
g1_axis4_minus,initial,2511,847402,136,48,88,5.388717670107989,SCORABLE,5.239189823597138,6.255649672567235,4.671313514159596
g2_b03_p01,adaptive,2511,847402,151,91,60,0.8281113970988793,SCORABLE,0.7677580084650375,1.03476670733908,0.6818094754925201
bridge_circle_out125_xminus075,initial,2511,847401,139,90,49,0.7753003532693601,SCORABLE,0.690217319073284,1.0173740692283972,0.6183096715063987
g1_axis1_plus,initial,2511,847401,138,76,62,1.6461606826665838,SCORABLE,1.4841293528776098,2.1440149575837206,1.3103377375384213
curve_circle_out1_EI1,initial,2511,847401,113,21,92,10.380187617979642,SCORABLE,10.206876204508013,11.832498254303152,9.101188395127759
g2_b02_p01,adaptive,2511,847401,134,96,38,0.8351708156525554,SCORABLE,0.6366295828890989,1.3638537967153301,0.5050290673532369
g2_b04_p01,adaptive,2511,847401,157,96,61,0.7562655338641063,SCORABLE,0.6736020229115653,1.0211328504273334,0.5740617282534205
bridge_circle_out125,initial,2511,847402,158,66,92,3.513031801152927,SCORABLE,3.4137431615359723,3.9349995794276214,3.1903526624951866
g2_b03_p03,adaptive,2511,847401,152,106,46,0.9146705421503656,SCORABLE,0.6899990840903119,1.4964487919015481,0.5575637504592371
bridge_circle_weight150,initial,2511,847401,159,79,80,2.421162812717364,SCORABLE,2.3346040677470192,2.762523328601544,2.1663610418035284
g2_b01_p02,adaptive,2511,847401,169,120,49,0.9484168407582404,SCORABLE,0.7282217516945008,1.49733217609249,0.6196965944877306
g2_b04_p04,adaptive,2511,847402,171,109,62,1.09253479647085,SCORABLE,0.7720159623504691,1.765411507590519,0.7401769194715622
g1_axis5_plus,initial,2511,847402,147,76,71,1.568061658093927,SCORABLE,1.455881653981802,1.8838583907350952,1.3644449295648837
g1_axis1_minus,initial,2511,847402,153,95,58,1.0730058857955724,SCORABLE,0.9192586802671743,1.5863381367462497,0.7134208403732932
g1_axis5_minus,initial,2511,847401,128,68,60,1.8440164513644544,SCORABLE,1.638243167181706,2.483135859941611,1.4106703269700462
