job,kind,z_setting,dynamics_seed,event_index,event_time_ms,qualifying_start_ms,primary_eligible,exclusion_reasons,prolonged,mode,support,n_contacts,z_at_detection_start,q_at_detection_start,window_start_ms,window_end_ms,distance_mode0,distance_mode1,upper_SCL_n,upper_SCL_ms,right_ICL_n,right_ICL_ms,middle_ICL_n,middle_ICL_ms,left_ICL_n,left_ICL_ms,middle_before_both_ICL_ends,right_before_upper_and_left,upper_and_left_before_right,centroid_SCL9_ms,centroid_ICL11_ms,centroid_SCL8_ms,centroid_ICL10_ms,centroid_SCL7_ms,centroid_ICL9_ms,centroid_ICL8_ms,centroid_SCL6_ms,centroid_ICL7_ms,centroid_ICL6_ms,centroid_ICL5_ms,centroid_ICL4_ms,centroid_ICL3_ms,centroid_ICL2_ms,centroid_ICL1_ms
fixed_p100_dyn847103,fixed,1.0,847103,17,4976.0,4944.0,True,,False,0,1,11,1.0,0.15231883119115297,4850.0,5100.0,0.33219972606685944,0.623343498945209,0,,2,4956.925433169338,4,4978.885826955831,3,5004.852052750625,False,,,,5011.143194301875,,5004.852052750625,,4996.969545668199,4988.806777301652,,4981.94491283832,4975.8267410733415,4968.851961787155,4962.877241605074,4955.934833738653,4954.711007773157,4959.13985856552
fixed_p100_dyn847103,fixed,1.0,847103,18,5268.0,5236.0,False,overlapping_window,False,0,-1,14,1.0,0.15231883119115297,5142.0,5392.0,1.222045750572911,1.3213446528591688,3,5146.440328978521,2,5243.749492935494,4,5271.76661190359,3,5296.972589204927,False,False,False,5150.5152863293,5303.8272434836435,5146.440328978521,5296.972589204927,5144.993468305825,5289.751468279114,5281.200724556476,,5274.703437342955,5268.829786464225,5261.957543053618,5255.921017746819,5248.156284127917,5243.774985765289,5243.724000105699
fixed_p100_dyn847103,fixed,1.0,847103,19,5483.0,5440.0,False,overlapping_window,False,0,0,15,1.0,0.15231883119115297,5358.0,5608.0,0.5636081601156913,0.7238837887383245,4,5444.9221883867085,2,5475.929117443309,4,5498.850901285312,3,5524.138133041372,False,False,False,5456.804106364424,5530.525352052005,5447.546000563416,5524.138133041372,5442.29837621,5516.67291922584,5508.8477891397915,5433.020997165621,5501.8712964917295,5495.830506078895,5489.438249159046,5483.393728028536,5476.68147159506,5474.489090220548,5477.3691446660705
fixed_p100_dyn847103,fixed,1.0,847103,20,5724.0,5692.0,False,overlapping_window,False,0,0,15,1.0,0.15231883119115297,5598.0,5848.0,0.8276956195411109,1.328083295927062,4,5838.441260885686,2,5707.044772549893,4,5726.549797803145,3,5750.961059170023,False,True,False,5844.362413406058,5757.57409118369,5840.677225793993,5750.961059170023,5836.205295977379,5744.243013044724,5736.044861477909,5828.764446592184,5729.469871137869,5723.629724468423,5717.029544687568,5711.368060954188,5707.288320949489,5706.237510190423,5707.852034909364
ou_dyn847103,ou,,847103,0,706.0,678.0,False,overlapping_window,False,0,1,11,-1.1312607711473657,-0.0,580.0,830.0,0.3390992528538529,0.6265798278831529,0,,2,684.057173021914,4,709.2467370679747,3,735.0580330878137,False,,,,741.7132915257938,,735.0580330878137,,725.5867474891915,718.5187405460998,,712.2349127513245,706.2585613846248,699.3707497852098,692.9190057532546,685.7882904000945,682.7007303406293,685.4136157031987
ou_dyn847103,ou,,847103,1,927.0,884.0,False,overlapping_window,False,0,1,15,-1.0311069491187432,-0.0,802.0,1052.0,0.2622158577589045,0.6563466527688909,4,925.2709469019052,2,902.6014155959091,4,932.6226822407259,3,958.1962300880344,False,True,False,935.842992156558,964.5126918433035,927.6281011281292,958.1962300880344,922.9137926756812,951.085624824124,942.6156217538866,918.3005084777102,935.5833321930407,929.6620322884111,922.4058076147073,915.4159237364607,908.8654452890102,900.6668597115873,904.5359714802308
ou_dyn847103,ou,,847103,2,1185.0,1166.0,False,overlapping_window,False,1,-1,12,-0.9241928582843305,-0.12082723545636277,1060.0,1310.0,1.81249677566801,1.6046553192840698,3,1300.4717158507974,2,1206.971179760752,4,1176.3605406147424,1,1102.9088475100084,False,False,False,,1102.9088475100084,1298.7221300776466,,1301.6201136005507,,1169.2795454659579,1300.4717158507974,1173.7778503253844,1178.9432309041003,1184.2748122660548,1190.4837520911692,1197.3315420656734,1204.0779133809192,1209.8644461405847
ou_dyn847103,ou,,847103,3,1412.0,1390.0,False,overlapping_window,False,1,-1,12,-1.0889939222685001,-0.1593021292384475,1286.0,1536.0,1.1626388338646494,0.7650661184405709,4,1312.7143322320842,2,1430.4192098932112,4,1397.8515980364211,0,,,,,1324.5558002546845,,1315.5677902994514,,1309.860874164717,,1389.5012635185003,1302.1273882591552,1395.1276625619707,1400.5755335108715,1405.9513902061672,1412.2308146439623,1420.0737848691401,1427.3093191556268,1433.5291006307957
ou_dyn847103,ou,,847103,4,1648.0,1620.0,False,overlapping_window,False,1,1,9,-0.6857639012034057,-0.11905075235469408,1522.0,1772.0,0.4276273359225728,0.2644049582728767,1,1639.6595279448961,2,1667.8171172521816,4,1634.7897047929255,0,,,,,,,,,,,1625.9852806047036,1639.6595279448961,1632.1022329451396,1637.4771766407116,1643.6357236150234,1649.8656704186271,1657.5661328138965,1664.7826456683545,1670.8515888360084
ou_dyn847103,ou,,847103,5,1867.0,1844.0,False,overlapping_window,False,0,0,12,-0.7303908891927756,-0.1246608866525395,1742.0,1992.0,0.8152895854731629,0.91327562916929,4,1951.0505404569658,2,1885.7592357238148,4,1853.5182924680453,0,,,,,1963.4865946311265,,1953.8834858413554,,1948.2175950725762,,1845.1933078858713,1938.6176519792525,1851.0217720288065,1856.0148129072843,1861.6845614800643,1868.0045741850688,1875.4297769737161,1882.5258944170891,1888.9925770305404
