job,phase,z,kind,mode,contact,n,patient_fraction,model_fraction
fixed_p100_dyn847101,fixed,1.0,fixed,1,ICL3,0,0.9640714014432207,
fixed_p100_dyn847101,fixed,1.0,fixed,1,ICL2,0,0.8575769084694265,
fixed_p100_dyn847101,fixed,1.0,fixed,1,ICL1,0,0.7690087352829472,
ou_dyn847101,continuous,,ou,0,SCL9,12,0.6775170325510976,0.75
ou_dyn847101,continuous,,ou,0,ICL11,12,0.8239212717638152,0.5833333333333334
ou_dyn847101,continuous,,ou,0,SCL8,12,0.8310370931112794,0.75
ou_dyn847101,continuous,,ou,0,ICL10,12,0.8405753217259652,0.5
ou_dyn847101,continuous,,ou,0,SCL7,12,0.8449659348978047,0.8333333333333334
ou_dyn847101,continuous,,ou,0,ICL9,12,0.8514761544284632,0.5833333333333334
ou_dyn847101,continuous,,ou,0,ICL8,12,0.8535957607872824,1.0
ou_dyn847101,continuous,,ou,0,SCL6,12,0.7087055261165783,0.8333333333333334
ou_dyn847101,continuous,,ou,0,ICL7,12,0.6687358062074186,0.9166666666666666
ou_dyn847101,continuous,,ou,0,ICL6,12,0.4834216502649508,1.0
ou_dyn847101,continuous,,ou,0,ICL5,12,0.6319454958364875,1.0
ou_dyn847101,continuous,,ou,0,ICL4,12,0.851778955336866,1.0
ou_dyn847101,continuous,,ou,0,ICL3,12,0.863890991672975,1.0
ou_dyn847101,continuous,,ou,0,ICL2,12,0.8146858440575322,1.0
ou_dyn847101,continuous,,ou,0,ICL1,12,0.7751703255109765,1.0
ou_dyn847101,continuous,,ou,1,SCL9,5,0.7913406760349412,0.4
ou_dyn847101,continuous,,ou,1,ICL11,5,0.8876566654006837,0.4
ou_dyn847101,continuous,,ou,1,SCL8,5,0.9051272312951006,0.2
ou_dyn847101,continuous,,ou,1,ICL10,5,0.8992783896695784,0.0
ou_dyn847101,continuous,,ou,1,SCL7,5,0.9323205469046715,0.2
ou_dyn847101,continuous,,ou,1,ICL9,5,0.9011773642233194,0.2
ou_dyn847101,continuous,,ou,1,ICL8,5,0.8823395366502089,1.0
ou_dyn847101,continuous,,ou,1,SCL6,5,0.8318268135206989,0.2
ou_dyn847101,continuous,,ou,1,ICL7,5,0.7187998480820357,1.0
ou_dyn847101,continuous,,ou,1,ICL6,5,0.5595898214963919,1.0
ou_dyn847101,continuous,,ou,1,ICL5,5,0.7086213444739841,1.0
ou_dyn847101,continuous,,ou,1,ICL4,5,0.9535890619065704,1.0
ou_dyn847101,continuous,,ou,1,ICL3,5,0.9640714014432207,1.0
ou_dyn847101,continuous,,ou,1,ICL2,5,0.8575769084694265,1.0
ou_dyn847101,continuous,,ou,1,ICL1,5,0.7690087352829472,1.0
fixed_m100_dyn847102,fixed,-1.0,fixed,0,SCL9,1,0.6775170325510976,1.0
fixed_m100_dyn847102,fixed,-1.0,fixed,0,ICL11,1,0.8239212717638152,1.0
fixed_m100_dyn847102,fixed,-1.0,fixed,0,SCL8,1,0.8310370931112794,1.0
fixed_m100_dyn847102,fixed,-1.0,fixed,0,ICL10,1,0.8405753217259652,1.0
fixed_m100_dyn847102,fixed,-1.0,fixed,0,SCL7,1,0.8449659348978047,1.0
fixed_m100_dyn847102,fixed,-1.0,fixed,0,ICL9,1,0.8514761544284632,1.0
fixed_m100_dyn847102,fixed,-1.0,fixed,0,ICL8,1,0.8535957607872824,1.0
