dt_ms,segment,kind,absolute_time_ms,q,p,m,A_mv,rE_max_hz,rE_fast_max_hz,latch_on
0.125,D_release,analytic_A_0.002,137255.64974503845,0.8933498367740677,1.110681743049069e-74,0.0012500000000000005,0.002000000000000001,0.9109762907798535,0.9109641368003253,False
0.125,D_release,full_A_0.002,137755.64974503845,0.8933868371514864,5.702113378702613e-75,0.001198986561187853,0.001918378497900565,0.8997671872382722,0.8997803813962073,False
0.125,D_release,analytic_q_0p899,307720.8753961687,0.8989999999999999,2.168151843325748e-173,8.463844595731184e-10,1.3542151353169895e-09,0.8997671872382722,0.8997803813962073,False
0.125,D_same_basin,final_4s_full,311720.8753961687,0.8990434712905225,1.0463076871689934e-175,6.064599131771954e-10,9.703358610835127e-10,0.8231540753007947,0.8231561451181422,False
0.0625,checkpoint,source_double,20000.0,0.854555670502157,8.78582090663059e-07,0.2409701618719569,0.38555225899513107,0.9260795866749917,0.9263426831450943,True
0.0625,B_protected,analytic_0.25,33129.076043383124,0.8652709663067013,2.19416176078942e-14,0.2409701618719569,0.38555225899513107,0.9260795866749917,0.9263426831450943,True
0.0625,B_protected,full_0.25,33629.076043383124,0.8656248145826122,1.126488916384023e-14,0.2409701618719569,0.38555225899513107,0.7657218717712484,0.7658318014067528,True
0.0625,B_protected,analytic_0.50,46258.15208676625,0.8734597080275645,5.479524504621023e-22,0.2409701618719569,0.38555225899513107,0.7657218717712484,0.7658318014067528,True
0.0625,B_protected,full_0.50,46758.15208676625,0.8737301225930749,2.8132035348612923e-22,0.2409701618719569,0.38555225899513107,0.6885346155127231,0.6886051253023237,True
0.0625,B_protected,analytic_0.75,59387.228130149364,0.8797176303780105,1.3684127275073843e-29,0.2409701618719569,0.38555225899513107,0.6885346155127231,0.6886051253023237,True
0.0625,B_protected,full_0.75,59887.228130149364,0.8799242840265297,7.025470036545062e-30,0.2409701618719569,0.38555225899513107,0.6375950459873678,0.6376428654503025,True
0.0625,B_protected,analytic_q_0p8845,72516.30321341977,0.8845000000000001,3.417369131895151e-37,0.2409701618719569,0.38555225899513107,0.6375950459873678,0.6376428654503025,True
0.0625,C_reset,full_chunk,73016.30321341977,0.8846579268897925,1.754487075231746e-37,0.2409701618719569,0.38555225899513107,0.6024387497160568,0.6024723201896817,True
0.0625,C_reset,full_chunk,73516.30321341977,0.8848142446890966,9.007586767333404e-38,0.2409701618719569,0.38555225899513107,0.6013274008839467,0.6013605386672992,True
0.0625,C_reset,full_chunk,74016.30321341977,0.8849689697926694,4.6245207796884257e-38,0.2409701618719569,0.38555225899513107,0.6002303463847973,0.6002630584555871,True
0.0625,C_reset,full_chunk,74516.30321341977,0.8851212035842839,2.374242179862029e-38,0.23308840943454764,0.37294145509527626,0.6081403893432291,0.6078175399715123,False
0.0625,D_release,analytic_A_0.1,90311.31838727077,0.8884714214136685,1.695408830274185e-47,0.0625,0.1,0.6081403893432291,0.6078175399715123,False
0.0625,D_release,full_A_0.1,90811.31838727077,0.8885489299686258,8.704277369943456e-48,0.05994933456437907,0.09591893530300652,0.8352697985251617,0.8351366109437784,False
0.0625,D_release,analytic_A_0.02,109624.57203439213,0.8909124621880645,1.1110741946998416e-58,0.012499999999999999,0.02,0.8352697985251617,0.8351366109437784,False
0.0625,D_release,full_A_0.02,110124.57203439213,0.8909649597045355,5.704286657330871e-59,0.011989866912875844,0.01918378706060135,0.9109764686197623,0.9109643146366048,False
0.0625,D_release,analytic_A_0.002,137255.59184823284,0.893349828323418,1.111045259144732e-74,0.0012499999999999998,0.0019999999999999996,0.9109764686197623,0.9109643146366048,False
0.0625,D_release,full_A_0.002,137755.59184823284,0.8933868287346001,5.704138101364336e-75,0.0011989866912875803,0.0019183787060601286,0.8997673143863747,0.8997805085730313,False
0.0625,D_release,analytic_q_0p899,307720.9320410982,0.899,2.1685904994090216e-173,8.463764725883031e-10,1.354202356141285e-09,0.8997673143863747,0.8997805085730313,False
0.0625,D_same_basin,final_4s_full,311720.9320410982,0.8990434712757689,1.0467519984950537e-175,6.064547167040844e-10,9.70327546726535e-10,0.8231540754923526,0.8231561453097512,False
