epoch,iso,gpu,util_pct,memory_used_mib,memory_total_mib,temp_c,power_w
1788727463,2026-09-07T04:44:23+08:00,0,98,1653,24576,56,185.55
1788727463,2026-09-07T04:44:23+08:00,1,98,1651,24576,63,187.76
1788727493,2026-09-07T04:44:53+08:00,0,98,1653,24576,56,186.11
1788727493,2026-09-07T04:44:53+08:00,1,99,1651,24576,63,188.68
1788727523,2026-09-07T04:45:23+08:00,0,98,1653,24576,56,186.94
1788727523,2026-09-07T04:45:23+08:00,1,79,1651,24576,63,188.44
1788727553,2026-09-07T04:45:53+08:00,0,63,1653,24576,56,185.67
1788727553,2026-09-07T04:45:53+08:00,1,98,1651,24576,63,189.02
1788727583,2026-09-07T04:46:23+08:00,0,98,1653,24576,56,183.02
1788727583,2026-09-07T04:46:23+08:00,1,84,1651,24576,63,188.47
1788727613,2026-09-07T04:46:53+08:00,0,76,1653,24576,56,185.47
1788727613,2026-09-07T04:46:53+08:00,1,98,1651,24576,63,189.45
1788727643,2026-09-07T04:47:23+08:00,0,99,1653,24576,56,184.37
1788727643,2026-09-07T04:47:23+08:00,1,79,1653,24576,63,187.76
1788727673,2026-09-07T04:47:53+08:00,0,99,1653,24576,56,184.35
1788727673,2026-09-07T04:47:53+08:00,1,99,1653,24576,63,188.83
1788727704,2026-09-07T04:48:24+08:00,0,99,1653,24576,56,185.39
1788727704,2026-09-07T04:48:24+08:00,1,98,1653,24576,63,188.71
1788727734,2026-09-07T04:48:54+08:00,0,98,1653,24576,56,182.99
1788727734,2026-09-07T04:48:54+08:00,1,96,1653,24576,63,188.17
1788727764,2026-09-07T04:49:24+08:00,0,97,1653,24576,56,185.68
1788727764,2026-09-07T04:49:24+08:00,1,97,1653,24576,63,188.35
1788727794,2026-09-07T04:49:54+08:00,0,99,1653,24576,56,184.51
1788727794,2026-09-07T04:49:54+08:00,1,98,1653,24576,63,188.11
1788727824,2026-09-07T04:50:24+08:00,0,75,1653,24576,56,185.41
1788727824,2026-09-07T04:50:24+08:00,1,93,1653,24576,63,188.49
1788727854,2026-09-07T04:50:54+08:00,0,99,1653,24576,56,184.45
1788727854,2026-09-07T04:50:54+08:00,1,98,1653,24576,63,189.55
1788727884,2026-09-07T04:51:24+08:00,0,98,1653,24576,56,183.76
1788727884,2026-09-07T04:51:24+08:00,1,99,1653,24576,63,187.99
1788727914,2026-09-07T04:51:54+08:00,0,98,1653,24576,55,184.88
1788727914,2026-09-07T04:51:54+08:00,1,71,1653,24576,63,189.02
1788727944,2026-09-07T04:52:24+08:00,0,98,1653,24576,56,184.04
