comparison,descriptive_hour_block_ci_high,descriptive_hour_block_ci_low,gain,horizon,n_hour_blocks,n_targets,protocol,seed,units,view
P_marks_state_over_P_stats_state,-1.4804801666361513,-2.4649451391149957,-1.9702393100375222,30,41,63,S-E,20260907,63.0,load
P_marks_state_over_marked_history,-1.8222901301442427,-3.10694312308269,-2.424449716295515,30,41,63,S-E,20260907,63.0,load
P_marks_state_over_fixed_marked_history,-1.4625929946211371,-2.6874938440979363,-2.069023875017015,30,41,63,S-E,20260907,63.0,load
P_marks_state_over_constant_state,-1.9351333686779253,-3.3250778172953344,-2.606478561011572,30,41,63,S-E,20260907,63.0,load
P_marks_state_over_P_stats_state,-2.5209192424228326,-7.121777287514313,-4.73555197675004,120,61,117,S-E,20260907,117.0,count
P_marks_state_over_marked_history,-2.374050592031753,-7.020160127675226,-4.699658915527865,120,61,117,S-E,20260907,117.0,count
P_marks_state_over_fixed_marked_history,-2.171297918238983,-6.107826501179766,-4.1052060881231585,120,61,117,S-E,20260907,117.0,count
P_marks_state_over_constant_state,-2.300365629896786,-7.222722291091154,-4.629538509580824,120,61,117,S-E,20260907,117.0,count
P_marks_state_over_P_stats_state,-0.698427048722903,-1.775377943727278,-1.2139217150015909,120,40,61,S-E,20260907,61.0,spatial
P_marks_state_over_marked_history,-0.3259962724229499,-1.6828481489792466,-0.9597853422164917,120,40,61,S-E,20260907,61.0,spatial
P_marks_state_over_fixed_marked_history,-0.5042460131412754,-1.8376289072950356,-1.1226650593710727,120,40,61,S-E,20260907,61.0,spatial
P_marks_state_over_constant_state,0.038774494519156266,-1.2903407401235272,-0.5993692464515811,120,40,61,S-E,20260907,61.0,spatial
P_marks_state_over_P_stats_state,-0.10276692461934278,-0.22142666138686776,-0.16087916194486762,120,40,61,S-E,20260907,5264.0,morphology
P_marks_state_over_marked_history,-0.12252324972045625,-0.26150505152273695,-0.19196746867478437,120,40,61,S-E,20260907,5264.0,morphology
P_marks_state_over_fixed_marked_history,-0.11243710887528462,-0.25919269777693504,-0.18523520303714602,120,40,61,S-E,20260907,5264.0,morphology
P_marks_state_over_constant_state,-0.0968318479380116,-0.22204207986817365,-0.15679796017411995,120,40,61,S-E,20260907,5264.0,morphology
P_marks_state_over_P_stats_state,-1.1982267413390493,-2.218523325556416,-1.7080048654900222,120,40,61,S-E,20260907,61.0,load
P_marks_state_over_marked_history,-1.2984547225492342,-2.5843891324983024,-1.9118818582081405,120,40,61,S-E,20260907,61.0,load
P_marks_state_over_fixed_marked_history,-0.8511544277353419,-2.0321848250396264,-1.458756881659148,120,40,61,S-E,20260907,61.0,load
P_marks_state_over_constant_state,-1.5533520785178183,-2.9453549874089067,-2.210729876991178,120,40,61,S-E,20260907,61.0,load
P_marks_state_over_P_stats_state,-1.488594252011908,-3.903228783077963,-2.650470886230469,1,65,125,S-E,20260908,125.0,count
P_marks_state_over_marked_history,-1.7169310448376416,-4.568290580507406,-3.0905497031211855,1,65,125,S-E,20260908,125.0,count
P_marks_state_over_fixed_marked_history,-1.71871208653322,-4.449910477014978,-2.98497038769722,1,65,125,S-E,20260908,125.0,count
P_marks_state_over_constant_state,-1.338918259889324,-4.444627791876178,-2.8239625511169435,1,65,125,S-E,20260908,125.0,count
P_marks_state_over_P_stats_state,-2.188334746104358,-4.528797268183505,-3.33113893866539,1,42,64,S-E,20260908,64.0,spatial
P_marks_state_over_marked_history,-1.9695145061916768,-4.647071627539409,-3.2111970838159323,1,42,64,S-E,20260908,64.0,spatial
P_marks_state_over_fixed_marked_history,-2.2695547303493653,-4.945395727427302,-3.512047242373228,1,42,64,S-E,20260908,64.0,spatial
P_marks_state_over_constant_state,-1.6931139907467052,-4.402409261062501,-2.916213868185878,1,42,64,S-E,20260908,64.0,spatial
P_marks_state_over_P_stats_state,-0.15404485760747896,-0.35853150929635635,-0.25051811649488365,1,42,64,S-E,20260908,5750.0,morphology
P_marks_state_over_marked_history,-0.25905819441633,-0.5171678052841635,-0.37983365796959917,1,42,64,S-E,20260908,5750.0,morphology
P_marks_state_over_fixed_marked_history,-0.2684075357063686,-0.5248965910202137,-0.3867962177110755,1,42,64,S-E,20260908,5750.0,morphology
P_marks_state_over_constant_state,-0.24828462285566136,-0.48574959008137053,-0.3552186630912449,1,42,64,S-E,20260908,5750.0,morphology
P_marks_state_over_P_stats_state,-0.37567182075409666,-0.5853910580328242,-0.48800304532051086,1,42,64,S-E,20260908,64.0,load
P_marks_state_over_marked_history,-0.810222403811557,-1.3824930877214479,-1.0955897788517177,1,42,64,S-E,20260908,64.0,load
P_marks_state_over_fixed_marked_history,-0.6255729426608677,-1.1797297273154685,-0.9062123037874699,1,42,64,S-E,20260908,64.0,load
P_marks_state_over_constant_state,-0.9359357748458638,-1.568388259811632,-1.2623396175913513,1,42,64,S-E,20260908,64.0,load
P_marks_state_over_P_stats_state,-1.3539905675773611,-3.5495328398670467,-2.4200034506859316,5,64,124,S-E,20260908,124.0,count
P_marks_state_over_marked_history,-1.394685407928498,-4.113758064050058,-2.664447687806622,5,64,124,S-E,20260908,124.0,count
P_marks_state_over_fixed_marked_history,-1.1780778021222258,-3.7134337986100627,-2.400078245228337,5,64,124,S-E,20260908,124.0,count
P_marks_state_over_constant_state,-1.1496977064505711,-4.0424928871992165,-2.588211763289667,5,64,124,S-E,20260908,124.0,count
P_marks_state_over_P_stats_state,-1.9874056028490796,-4.337441282195307,-3.1405276154714916,5,41,63,S-E,20260908,63.0,spatial
P_marks_state_over_marked_history,-1.8445592198949894,-4.420508073319965,-3.0664698320721824,5,41,63,S-E,20260908,63.0,spatial
P_marks_state_over_fixed_marked_history,-2.214390040735404,-4.723048532830655,-3.3865825846081687,5,41,63,S-E,20260908,63.0,spatial
P_marks_state_over_constant_state,-1.5568280248208066,-4.055071293795207,-2.7060684192748297,5,41,63,S-E,20260908,63.0,spatial
P_marks_state_over_P_stats_state,-0.1550627364900949,-0.35529352239922474,-0.25212712256582087,5,41,63,S-E,20260908,5633.0,morphology
P_marks_state_over_marked_history,-0.24776156727740828,-0.4850367432056019,-0.35860833100817163,5,41,63,S-E,20260908,5633.0,morphology
P_marks_state_over_fixed_marked_history,-0.25181776374128917,-0.4937348346313092,-0.3645700357871561,5,41,63,S-E,20260908,5633.0,morphology
P_marks_state_over_constant_state,-0.22734914444942686,-0.4571225277967947,-0.336645906821843,5,41,63,S-E,20260908,5633.0,morphology
P_marks_state_over_P_stats_state,-0.3606779056569656,-0.5681431866087034,-0.47524604343232657,5,41,63,S-E,20260908,63.0,load
P_marks_state_over_marked_history,-0.7412282808359908,-1.305059550168045,-1.0177360527099124,5,41,63,S-E,20260908,63.0,load
P_marks_state_over_fixed_marked_history,-0.4883161733286427,-1.0646693003760839,-0.773955175800929,5,41,63,S-E,20260908,63.0,load
P_marks_state_over_constant_state,-0.8931754917998711,-1.5454088384102358,-1.2128076245860449,5,41,63,S-E,20260908,63.0,load
P_marks_state_over_P_stats_state,-1.3337413488180594,-3.640874157802707,-2.4357722697219226,30,63,123,S-E,20260908,123.0,count
P_marks_state_over_marked_history,-1.3000871520525275,-4.0556940638846495,-2.6845705213585522,30,63,123,S-E,20260908,123.0,count
P_marks_state_over_fixed_marked_history,-1.1624549595078801,-3.6886940414908413,-2.4149880021568237,30,63,123,S-E,20260908,123.0,count
P_marks_state_over_constant_state,-1.1765313347837618,-4.15050677264609,-2.6096504916989707,30,63,123,S-E,20260908,123.0,count
P_marks_state_over_P_stats_state,-2.0009998650175844,-4.380996410885165,-3.1339222363063266,30,41,63,S-E,20260908,63.0,spatial
P_marks_state_over_marked_history,-1.856054995787045,-4.397972839682094,-3.0634356907435825,30,41,63,S-E,20260908,63.0,spatial
P_marks_state_over_fixed_marked_history,-2.1427801783849945,-4.754522638784613,-3.382560308017428,30,41,63,S-E,20260908,63.0,spatial
P_marks_state_over_constant_state,-1.537072161454144,-4.055942965531722,-2.700942639320616,30,41,63,S-E,20260908,63.0,spatial
P_marks_state_over_P_stats_state,-0.15751179933974607,-0.3511958881884809,-0.25286615514933014,30,41,63,S-E,20260908,5633.0,morphology
P_marks_state_over_marked_history,-0.24379085060175318,-0.48640697550614365,-0.3577641494401539,30,41,63,S-E,20260908,5633.0,morphology
P_marks_state_over_fixed_marked_history,-0.24899874023208418,-0.49252103387544593,-0.3636077078032532,30,41,63,S-E,20260908,5633.0,morphology
P_marks_state_over_constant_state,-0.21919282194486822,-0.4557776225246103,-0.33589895499994843,30,41,63,S-E,20260908,5633.0,morphology
P_marks_state_over_P_stats_state,-0.3526144987230362,-0.5678189641139546,-0.4661077998933338,30,41,63,S-E,20260908,63.0,load
P_marks_state_over_marked_history,-0.7259668875723962,-1.291011627995577,-1.0047215393611364,30,41,63,S-E,20260908,63.0,load
P_marks_state_over_fixed_marked_history,-0.4746866050031451,-1.0469422057041755,-0.7590275293304807,30,41,63,S-E,20260908,63.0,load
P_marks_state_over_constant_state,-0.8696718391657822,-1.5251054526664891,-1.203010717554698,30,41,63,S-E,20260908,63.0,load
P_marks_state_over_P_stats_state,-0.7167732554977231,-2.3859649702993626,-1.5114230926220233,120,61,117,S-E,20260908,117.0,count
P_marks_state_over_marked_history,-0.6978003440098579,-2.4703895536998264,-1.5392003966192913,120,61,117,S-E,20260908,117.0,count
P_marks_state_over_fixed_marked_history,-0.41037185578767643,-1.9937571935067195,-1.2034709290561514,120,61,117,S-E,20260908,117.0,count
P_marks_state_over_constant_state,-0.5556755489924327,-2.668262792083787,-1.553056890129024,120,61,117,S-E,20260908,117.0,count
P_marks_state_over_P_stats_state,-1.2988258095569356,-2.9473917814855484,-2.1254622858078753,120,40,61,S-E,20260908,61.0,spatial
P_marks_state_over_marked_history,-0.9842310334555808,-2.9095179811597096,-1.8896042401673363,120,40,61,S-E,20260908,61.0,spatial
P_marks_state_over_fixed_marked_history,-1.2884508327699256,-3.2458553813563453,-2.211883361222314,120,40,61,S-E,20260908,61.0,spatial
P_marks_state_over_constant_state,-0.6538718182919764,-2.5917814645809787,-1.5835077274041098,120,40,61,S-E,20260908,61.0,spatial
P_marks_state_over_P_stats_state,-0.15516138918340674,-0.32562619953875604,-0.23569836551295226,120,40,61,S-E,20260908,5264.0,morphology
P_marks_state_over_marked_history,-0.17836186822369554,-0.37650266595850373,-0.2730136298118754,120,40,61,S-E,20260908,5264.0,morphology
P_marks_state_over_fixed_marked_history,-0.18323193940060184,-0.37699707285255246,-0.2777375171249761,120,40,61,S-E,20260908,5264.0,morphology
P_marks_state_over_constant_state,-0.15613831819946544,-0.3368563501612739,-0.2429568392527502,120,40,61,S-E,20260908,5264.0,morphology
P_marks_state_over_P_stats_state,-0.2650860649116985,-0.530077661502929,-0.41102378876482853,120,40,61,S-E,20260908,61.0,load
P_marks_state_over_marked_history,-0.4047072674478256,-0.9883457467841632,-0.6878656227080548,120,40,61,S-E,20260908,61.0,load
P_marks_state_over_fixed_marked_history,-0.13795521452581,-0.7115148205652662,-0.4163597475309841,120,40,61,S-E,20260908,61.0,load
P_marks_state_over_constant_state,-0.6936815656548024,-1.3884475306719941,-1.0348530641344726,120,40,61,S-E,20260908,61.0,load
P_marks_state_over_P_stats_state,0.055975204457839274,-0.10027127986152966,-0.012825479110081991,1,24,24,S-ID,20260906,24.0,count
P_marks_state_over_marked_history,0.16928162736197308,-0.20515078629056613,0.019939909378687542,1,24,24,S-ID,20260906,24.0,count
P_marks_state_over_P_stats_state,0.15114915370941162,-0.10488393647330148,0.0036727700914655414,1,14,14,S-ID,20260906,14.0,spatial
P_marks_state_over_marked_history,0.33478880716221626,-0.09299795989479337,0.11237954241888863,1,14,14,S-ID,20260906,14.0,spatial
