subject,dataset,condition,seed,n_events,n_contacts,whole_participation_mae,whole_rank_wasserstein,whole_precedence_mae,whole_precedence_correlation,whole_participant_count_mean_error,whole_event_length_mean_error,suffix_participation_mae,suffix_rank_wasserstein,suffix_precedence_mae,suffix_precedence_correlation,suffix_participant_count_mean_error,suffix_event_length_mean_error,event_length_wasserstein,stop_hazard_mae,sink_distribution_mae,source_sink_distance_wasserstein,generated_zero_suffix_fraction,mode_prevalence_error,mode_margin_error,template_error,template_correlation,transition_mae,transition_correlation,signed_axis_wasserstein,axis_concentration_error,axis_side_prevalence_error,generated_axis_concentration,generated_axis_positive_fraction,generated_direction_support,mode_readback_reliable,axis_readback_reliable,axis_side_support,global_readback_eligible,suffix_participation_mae__within_empirical,suffix_rank_wasserstein__within_empirical,suffix_precedence_mae__within_empirical,n_local_endpoints_within_empirical,template_within_empirical,axis_within_empirical
yuquan_liyouran,yuquan,history_h1,20260726.0,470.0,17.0,0.0782227784730913,0.1036800589677107,0.1408227576534094,0.3631425346801104,0.1255319148936156,0.1255319148936156,0.0782227784730913,0.1211170041006861,0.1625517107018525,0.1221496467725473,0.1255319148936156,0.1255319148936156,0.0096370463078848,0.0309452762443777,0.0420525657071339,0.1299217742290609,0.0,0.18297872340425536,0.06140469835316692,0.3799019607843136,0.6200980392156864,0.0271997348323653,0.3786480407969018,0.12538348902752727,0.039780176175794046,0.1680851063829787,0.4581005395383966,0.5553191489361702,True,True,True,True,True,False,False,False,0,False,False
yuquan_liyouran,yuquan,history_h2,20260726.0,470.0,17.0,0.0819774718397997,0.1176892343550812,0.1617332537689497,0.1596243867526416,0.1255319148936156,0.1255319148936156,0.0819774718397997,0.1381347366101759,0.1862901155246291,-0.0282405140930473,0.1255319148936156,0.1255319148936156,0.0096370463078848,0.0309452762443777,0.0453066332916145,0.1528098691167041,0.0,0.17872340425531918,0.062207633809370354,0.4607843137254901,0.5392156862745099,0.027061983376667313,0.4055319163686927,0.16975402533217226,0.06126345532734262,0.18085106382978722,0.436617260386848,0.5680851063829787,True,True,True,True,True,False,False,False,0,False,False
yuquan_liyouran,yuquan,no_termination,20260726.0,470.0,17.0,0.3237797246558198,0.1446468119099053,0.2066097579163876,0.1706295964832455,5.504255319148935,5.504255319148935,0.3237797246558198,0.1564178024846329,0.2257356611672754,0.0885561677744372,5.504255319148935,5.504255319148935,0.3237797246558198,0.2026101579248288,0.0613266583229036,0.2095929676424366,0.0,0.09999999999999998,0.07196188836456886,0.6850490196078431,0.31495098039215685,0.031154973867547654,0.2216152242062453,0.21636309027940848,0.14346118423844834,0.07446808510638298,0.3544195314757423,0.46170212765957447,True,True,True,True,True,False,False,False,0,False,False
yuquan_liyouran,yuquan,static_only,20260726.0,470.0,17.0,0.0847309136420525,0.0894501439389035,0.1283821965752351,0.6114859737132189,0.1255319148936156,0.1255319148936156,0.0847309136420525,0.1036210089649982,0.1494766770377031,0.3215198070826723,0.1255319148936156,0.1255319148936156,0.0096370463078848,0.0309452762443777,0.0357947434292866,0.1057273616643315,0.0,0.20851063829787242,0.06277228548182831,0.2279411764705881,0.7720588235294119,0.02598893090165068,0.31021394900579086,0.09713504404896975,0.013877104367805315,0.12127659574468086,0.4840036113463853,0.5085106382978724,True,True,True,True,True,False,False,False,0,False,False
yuquan_liyouran,yuquan,static_shuffle,20260726.0,470.0,17.0,0.1027534418022528,0.1167120044585952,0.1627188472172726,0.092658389563026,0.1255319148936156,0.1255319148936156,0.1027534418022528,0.1395861109320408,0.1909396735758749,-0.1730322967674716,0.1255319148936156,0.1255319148936156,0.0096370463078848,0.0309452762443777,0.0473091364205256,0.1679212689451941,0.0,0.19787234042553192,0.06480460432796226,0.45833333333333326,0.5416666666666667,0.027094445750969923,0.4344408266032229,0.18279156180949102,0.07350770618388852,0.2021276595744681,0.4243730095303021,0.5893617021276596,True,True,True,True,True,False,False,False,0,False,False
yuquan_pengzihang,yuquan,constant_stop,20260726.0,4525.0,12.0,0.1669797421731123,0.1398413215074005,0.2334914043583392,0.0597403575572578,-0.9801104972375692,-0.9801104972375692,0.1669797421731123,0.1741806373685533,0.2696441760511354,-0.0233265294144007,-0.9801104972375692,-0.9801104972375692,0.2133149171270718,0.2329015992675266,0.065598526703499,0.0683007122252225,0.1215469613259668,0.07801104972375689,0.03453080688380755,0.5839160839160839,0.41608391608391615,0.04338595790793162,0.481862425272725,0.10130070862583623,0.10647417240521817,0.14206963214085938,0.5353041248111762,0.5246110686049478,True,True,True,True,True,False,False,False,0,False,False
yuquan_pengzihang,yuquan,full_constructive,20260726.0,4525.0,12.0,0.0972191528545119,0.1242749712694492,0.1947887242208137,0.2220939525006498,0.669613259668508,0.669613259668508,0.0972191528545119,0.1588470528239345,0.24011278089677,-0.0228658613669406,0.6696132596685089,0.6696132596685089,0.0562062615101289,0.0589867051228942,0.0576427255985267,0.0546633202669893,0.0002209944751381,0.04044198895027623,0.033818136727367096,0.4930069930069929,0.5069930069930071,0.03633696279897668,0.6662987191206404,0.0903260524297108,0.09242323326882385,0.07889502762430939,0.5212531856747818,0.4614364640883978,True,True,True,True,True,False,False,False,0,False,False
yuquan_pengzihang,yuquan,history_h1,20260726.0,4525.0,12.0,0.1050460405156537,0.1252150664672523,0.1830022288167887,0.2562051340756928,0.669613259668508,0.669613259668508,0.1050460405156537,0.1551560589087199,0.2216715126346562,-0.0337906213293075,0.6696132596685089,0.6696132596685089,0.0562062615101289,0.0589867051228942,0.0567219152854512,0.0585749020182843,0.0002209944751381,0.0176795580110497,0.03775041737221983,0.47902097902097895,0.520979020979021,0.0370619808247665,0.6546403205000091,0.09699003010094762,0.10078011318002089,0.09790055248618784,0.5296100655859789,0.48044198895027623,True,True,True,True,True,False,False,False,0,False,False
yuquan_pengzihang,yuquan,history_h2,20260726.0,4525.0,12.0,0.0925414364640884,0.1256995711778835,0.191393693986747,0.2310740023177474,0.669613259668508,0.669613259668508,0.0925414364640884,0.1584655335703036,0.2339401237927151,-0.0258328256624472,0.6696132596685089,0.6696132596685089,0.0562062615101289,0.0589867051228942,0.0579005524861878,0.059073491041158,0.0002209944751381,0.037569060773480656,0.035066191723229875,0.4825174825174824,0.5174825174825176,0.03710687417504382,0.6455475286178006,0.0977366091700679,0.09453556478203684,0.08928176795580112,0.5233655171879948,0.4718232044198895,True,True,True,True,True,False,False,False,0,False,False
yuquan_pengzihang,yuquan,no_termination,20260726.0,4525.0,12.0,0.3841804788213627,0.1958017713698697,0.2659182922839398,-0.0028211310490692,4.610165745856354,4.610165745856354,0.3841804788213627,0.2053229269081583,0.2883780127309028,-0.0171285302405802,4.610165745856354,4.610165745856354,0.3841804788213627,0.2445120071292716,0.1170902394106813,0.1273089738883878,0.0,0.12685082872928172,0.06650312956783166,0.7832167832167832,0.2167832167832168,0.053286575991956346,0.2889557316439038,0.29481534411991533,0.2300080098286632,0.34408839779005523,0.6588379622346212,0.7266298342541436,True,True,True,True,True,False,False,False,0,False,False
