z,alpha_G,w_ee_mult,ratio,rE_khz,rI_khz,rE_hz,rI_hz,residual_inf,stability,branch_class,leading_real_per_ms,leading_imag_per_ms,leading_frequency_hz,S_G,divisor,lut_clip_at_root,jacobian_dimension
0.84,2.0,1.1,1.0,0.008518758745511841,0.014381607742621736,8.51875874551184,14.381607742621735,8.401612738850872e-14,unstable,finite_high_root,0.04804715789650082,0.01692654589426444,2.693943448544012,0.05215930728155968,1.1043186145631194,False,9
0.83,2.0,1.1,1.0,0.00880552561371976,0.014702165574980549,8.80552561371976,14.70216557498055,1.3646202223771553e-13,unstable,finite_high_root,0.04584589263840206,0.025949670662369924,4.1300183575229115,0.06047228465177561,1.1209445693035511,False,9
0.82,2.0,1.1,1.0,0.009076711430694355,0.015006047313188728,9.076711430694354,15.006047313188729,1.1867416771504935e-13,unstable,finite_high_root,0.0438102436930461,0.030538445161568693,4.860344501804432,0.06878406277404293,1.1375681255480858,False,9
0.81,2.0,1.1,1.0,0.009337888658881958,0.015298419221941544,9.337888658881958,15.298419221941543,9.238096398966889e-14,unstable,finite_high_root,0.041709173503781324,0.03409724023100679,5.426744328556571,0.07717778727541923,1.1543555745508385,False,9
0.8,2.0,1.1,1.0,0.009591564680824415,0.01558212934219774,9.591564680824414,15.58212934219774,9.690599017675439e-13,unstable,finite_high_root,0.03955846637368161,0.036935100901575806,5.87840388208371,0.08567236236774786,1.1713447247354958,False,9
1.0,4.0,1.1,1.0,0.00027150869483261826,0.005071934141905865,0.27150869483261825,5.071934141905865,9.162662508062358e-10,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.99,4.0,1.1,1.0,0.00030154826239313837,0.005106382760687327,0.30154826239313837,5.106382760687327,3.3871939541380014e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.98,4.0,1.1,1.0,0.0003305858302933795,0.005139661122680509,0.3305858302933795,5.13966112268051,4.50083763661735e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.97,4.0,1.1,1.0,0.000358486608711163,0.005171617406488379,0.358486608711163,5.171617406488379,1.8096705774531263e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.96,4.0,1.1,1.0,0.0003851072949261168,0.005202090217052167,0.38510729492611684,5.2020902170521675,3.3762738698567274e-13,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.95,4.0,1.1,1.0,0.0004436772969647056,0.005269077325030659,0.4436772969647056,5.2690773250306595,1.505566504800271e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.94,4.0,1.1,1.0,0.000509786204876467,0.005344593368133953,0.509786204876467,5.344593368133953,2.29547283958631e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.93,4.0,1.1,1.0,0.0005776538218641997,0.005422019101567994,0.5776538218641997,5.422019101567994,2.5048539631367106e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.92,4.0,1.1,1.0,0.0006473873460128727,0.005501472733635849,0.6473873460128727,5.5014727336358495,2.801318205181147e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.91,4.0,1.1,1.0,0.0007191128073292205,0.005583093479183877,0.7191128073292204,5.583093479183877,3.205422038909944e-14,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
0.9,4.0,1.1,1.0,0.000885065603042414,0.005771564675155296,0.885065603042414,5.771564675155296,2.3522850334245504e-15,stable,low_root,-0.012499999999999999,0.0,0.0,0.0,1.0,False,9
