id,topology,noise,mode,contact,n,mean,median,variance,q05,q95
t2711_n847402,2711.0,847402.0,TB,SCL6,85,-6.848413538041988,-10.983258196087263,66.13655328733482,-11.429774862539489,6.535032757754379
t2712_n847401,2712.0,847401.0,ALL,SCL9,67,9.08843743637528,10.95142694210881,25.931515490908897,-3.6824381008445926,11.57641498515368
t2712_n847401,2712.0,847401.0,ALL,SCL8,67,1.7776216410126102,2.6336105619338923,4.911421803551925,-3.6829111397451926,2.9025309826498416
t2712_n847401,2712.0,847401.0,ALL,SCL7,67,-2.214852349280041,-2.6126254834089195,1.018322427782825,-2.7398645182577637,0.2699544024137137
t2712_n847401,2712.0,847401.0,ALL,SCL6,67,-8.65120672810726,-10.950555838746368,39.09887061473977,-11.612014768231166,7.094026269382083
t2712_n847401,2712.0,847401.0,TA,SCL9,7,-3.4047956663260783,-3.4200756608188385,0.17993314073692435,-3.985574236894172,-2.926354795741281
t2712_n847401,2712.0,847401.0,TA,SCL8,7,-3.695939719153622,-3.622825968755933,0.04144086994884307,-3.94469173034413,-3.455364197759627
t2712_n847401,2712.0,847401.0,TA,SCL7,7,0.15676997793421574,0.12027954967379628,0.05736465111553315,-0.16907617774195385,0.44182651584778787
t2712_n847401,2712.0,847401.0,TA,SCL6,7,6.943965407546524,6.84187507275783,0.0880347248740484,6.666409584737994,7.39610474697256
t2712_n847401,2712.0,847401.0,TB,SCL9,60,10.545981298357106,11.008379519507798,8.311326499499677,10.18514322241208,11.588800145102141
t2712_n847401,2712.0,847401.0,TB,SCL8,60,2.4162037996986707,2.6804528573520656,1.5206584011300237,1.845047303504362,2.9033316531009405
t2712_n847401,2712.0,847401.0,TB,SCL7,60,-2.4915416207883707,-2.6195179827882384,0.3881275916663808,-2.7410936652213422,-2.20263097053667
t2712_n847401,2712.0,847401.0,TB,SCL6,60,-10.470643477266867,-11.170240897550684,11.506957450632658,-11.616040054088808,-10.484892736724216
t2712_n847402,2712.0,847402.0,ALL,SCL9,78,10.288882472405426,10.887535262872007,9.949306376012363,8.050796911818908,11.570572500894558
t2712_n847402,2712.0,847402.0,ALL,SCL8,78,2.3100789489535103,2.6745787103836847,2.056711213814907,0.3335982744230027,2.924885658287212
t2712_n847402,2712.0,847402.0,ALL,SCL7,78,-2.4312823183267995,-2.5881025905400747,0.4043413562286432,-2.7599644734154025,-1.6691797874850796
t2712_n847402,2712.0,847402.0,ALL,SCL6,78,-10.167679103032242,-11.060417046418479,15.592016511838478,-11.635252714897797,-7.861632663461002
t2712_n847402,2712.0,847402.0,TA,SCL9,1,-3.2537266608705977,-3.2537266608705977,,-3.2537266608705977,-3.2537266608705977
t2712_n847402,2712.0,847402.0,TA,SCL8,1,-3.6166326004749862,-3.6166326004749862,,-3.6166326004749862,-3.6166326004749862
t2712_n847402,2712.0,847402.0,TA,SCL7,1,0.07359494738193462,0.07359494738193462,,0.07359494738193462,0.07359494738193462
