id,topology,noise,mode,centroid_order,n,denominator,fraction
t2511_n847402,2511.0,847402.0,TA,SCL9>SCL8>SCL6>SCL7,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL9>SCL7>SCL8>SCL6,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL9>SCL7>SCL6>SCL8,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL9>SCL6>SCL8>SCL7,6,27,0.2222222222222222
t2511_n847402,2511.0,847402.0,TA,SCL9>SCL6>SCL7>SCL8,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL8>SCL9>SCL7>SCL6,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL8>SCL9>SCL6>SCL7,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL8>SCL7>SCL9>SCL6,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL8>SCL7>SCL6>SCL9,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL8>SCL6>SCL9>SCL7,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL8>SCL6>SCL7>SCL9,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL7>SCL9>SCL8>SCL6,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL7>SCL9>SCL6>SCL8,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL7>SCL8>SCL9>SCL6,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL7>SCL8>SCL6>SCL9,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL7>SCL6>SCL9>SCL8,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL7>SCL6>SCL8>SCL9,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL6>SCL9>SCL8>SCL7,7,27,0.25925925925925924
t2511_n847402,2511.0,847402.0,TA,SCL6>SCL9>SCL7>SCL8,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL6>SCL8>SCL9>SCL7,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL6>SCL8>SCL7>SCL9,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL6>SCL7>SCL9>SCL8,0,27,0.0
t2511_n847402,2511.0,847402.0,TA,SCL6>SCL7>SCL8>SCL9,0,27,0.0
t2511_n847402,2511.0,847402.0,TB,SCL9>SCL8>SCL7>SCL6,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL9>SCL8>SCL6>SCL7,1,46,0.021739130434782608
t2511_n847402,2511.0,847402.0,TB,SCL9>SCL7>SCL8>SCL6,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL9>SCL7>SCL6>SCL8,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL9>SCL6>SCL8>SCL7,4,46,0.08695652173913043
t2511_n847402,2511.0,847402.0,TB,SCL9>SCL6>SCL7>SCL8,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL8>SCL9>SCL7>SCL6,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL8>SCL9>SCL6>SCL7,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL8>SCL7>SCL9>SCL6,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL8>SCL7>SCL6>SCL9,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL8>SCL6>SCL9>SCL7,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL8>SCL6>SCL7>SCL9,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL7>SCL9>SCL8>SCL6,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL7>SCL9>SCL6>SCL8,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL7>SCL8>SCL9>SCL6,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL7>SCL8>SCL6>SCL9,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL7>SCL6>SCL9>SCL8,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL7>SCL6>SCL8>SCL9,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL6>SCL9>SCL8>SCL7,1,46,0.021739130434782608
t2511_n847402,2511.0,847402.0,TB,SCL6>SCL9>SCL7>SCL8,3,46,0.06521739130434782
t2511_n847402,2511.0,847402.0,TB,SCL6>SCL8>SCL9>SCL7,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL6>SCL8>SCL7>SCL9,0,46,0.0
t2511_n847402,2511.0,847402.0,TB,SCL6>SCL7>SCL9>SCL8,1,46,0.021739130434782608
t2511_n847402,2511.0,847402.0,TB,SCL6>SCL7>SCL8>SCL9,36,46,0.782608695652174
t2711_n847401,2711.0,847401.0,ALL,SCL9>SCL8>SCL7>SCL6,59,131,0.45038167938931295
t2711_n847401,2711.0,847401.0,ALL,SCL9>SCL8>SCL6>SCL7,1,131,0.007633587786259542
t2711_n847401,2711.0,847401.0,ALL,SCL9>SCL7>SCL8>SCL6,0,131,0.0
t2711_n847401,2711.0,847401.0,ALL,SCL9>SCL7>SCL6>SCL8,0,131,0.0
t2711_n847401,2711.0,847401.0,ALL,SCL9>SCL6>SCL8>SCL7,0,131,0.0
t2711_n847401,2711.0,847401.0,ALL,SCL9>SCL6>SCL7>SCL8,0,131,0.0
t2711_n847401,2711.0,847401.0,ALL,SCL8>SCL9>SCL7>SCL6,5,131,0.03816793893129771
t2711_n847401,2711.0,847401.0,ALL,SCL8>SCL9>SCL6>SCL7,0,131,0.0
