id,topology,noise,mode,scope,earlier_test,later_test,p_i_before_j,n,mean,median,variance,q05,q95
patient_FIT,,,TA,pairwise_coparticipating,SCL9,SCL6,0.6056941848961196,9097,5.745929321325964,3.185546875,360.1823659729965,-17.14296875,40.02011718749999
patient_FIT,,,TA,complete4,SCL9,SCL6,0.6030299578539697,8779,5.530906541674212,3.0517578125,329.337230905293,-16.7115234375,39.08876953125
patient_FIT,,,TA,pairwise_coparticipating,SCL8,SCL7,0.3887393644729988,11518,-2.0533385030882583,-2.6669921875,136.7796422595975,-19.3929443359375,17.854174804687496
patient_FIT,,,TA,complete4,SCL8,SCL7,0.3761817974712382,8779,-2.1828403301262913,-2.767578125,109.75461320527018,-17.625,15.711987304687504
patient_FIT,,,TA,pairwise_coparticipating,SCL8,SCL6,0.43911457306251234,10142,-0.6213657448358071,-1.728515625,166.93015457789505,-19.391357421875,22.149218749999985
patient_FIT,,,TA,complete4,SCL8,SCL6,0.4274404829707256,8779,-0.9081815768923109,-1.91015625,150.21234038856326,-18.726900482177733,20.548718261718772
patient_FIT,,,TA,pairwise_coparticipating,SCL7,SCL6,0.5569782939832445,10504,1.545500572637484,1.1953125,93.98639067945541,-13.406787109375,17.54362487792969
patient_FIT,,,TA,complete4,SCL7,SCL6,0.5485248889395148,8779,1.2746587532339804,1.0390625,83.33737878725016,-13.0253173828125,16.163671875000013
patient_FIT,,,TB,pairwise_coparticipating,SCL9,SCL8,0.5963324601095499,4199,2.2510326482705145,2.001953125,271.33556311865163,-19.991094970703124,26.04453125
patient_FIT,,,TB,complete4,SCL9,SCL8,0.6194917980057897,3109,2.965383932727754,2.275390625,217.81667640036127,-14.5833984375,25.7203125
patient_FIT,,,TB,pairwise_coparticipating,SCL9,SCL7,0.6111520510930976,4071,4.293787760161791,3.123291015625,405.7484297960043,-19.78515625,36.478271484375
patient_FIT,,,TB,complete4,SCL9,SCL7,0.6143454486973303,3109,4.492171392137117,3.0419921875,309.36523457740697,-16.10390625,34.53996124267578
patient_FIT,,,TB,pairwise_coparticipating,SCL9,SCL6,0.5484347312463084,3386,2.9897449310897586,1.3447265625,395.4290589298193,-20.73046875,36.67138671875
patient_FIT,,,TB,complete4,SCL9,SCL6,0.5384367963975555,3109,2.594715769937392,1.09326171875,353.7560952292501,-19.67734375,34.97089843749999
patient_FIT,,,TB,pairwise_coparticipating,SCL8,SCL7,0.5464307019288129,5029,1.9926840174764686,1.072998046875,154.4987652469076,-14.696923828125,22.661523437499994
patient_FIT,,,TB,complete4,SCL8,SCL7,0.534577034416211,3109,1.5267874594093633,0.755615234375,112.91827304002628,-12.970703125,19.3109375
patient_FIT,,,TB,pairwise_coparticipating,SCL8,SCL6,0.4875,4000,0.546787202835083,-0.298828125,190.2120953118368,-17.790673828124998,23.268164062499984
patient_FIT,,,TB,complete4,SCL8,SCL6,0.46252814409778065,3109,-0.37066816279036163,-0.953125,153.1270150141451,-17.4585693359375,19.810546874999996
patient_FIT,,,TB,pairwise_coparticipating,SCL7,SCL6,0.4271634615384615,4160,-1.6530674182451688,-1.68505859375,122.0744225042753,-17.8123046875,15.028721618652341
patient_FIT,,,TB,complete4,SCL7,SCL6,0.4100997105178514,3109,-1.8974556221997252,-1.8955078125,100.18062232374128,-17.06640625,13.452734374999999
t2511_n847401,2511.0,847401.0,ALL,pairwise_coparticipating,SCL9,SCL8,0.5833333333333334,84,0.4187658487626945,2.489319791962771,55.92004586053756,-8.267118799212039,10.595190269056001
t2511_n847401,2511.0,847401.0,ALL,complete4,SCL9,SCL8,0.4696969696969697,66,-1.5638960764281675,-4.533594791434098,50.42842448296121,-8.270365512624267,8.821635953334408
t2511_n847401,2511.0,847401.0,ALL,pairwise_coparticipating,SCL9,SCL7,0.44285714285714284,70,-1.3375150684681751,-1.9755270880650642,152.27312706935246,-13.602216140793463,16.42418948212944
t2511_n847401,2511.0,847401.0,ALL,complete4,SCL9,SCL7,0.45454545454545453,66,-1.5165423280520345,-6.7614771716635005,157.97355304287325,-13.60628949918464,16.475386717913352
t2511_n847401,2511.0,847401.0,ALL,pairwise_coparticipating,SCL9,SCL6,0.6036036036036037,111,-3.119526672851542,2.83868995521334,167.56086146430303,-22.095037514638534,13.026499287374463
t2511_n847401,2511.0,847401.0,ALL,complete4,SCL9,SCL6,0.45454545454545453,66,-7.317936886084763,-13.514353254408434,235.098378471833,-22.118826035195298,13.766908887363115
t2511_n847401,2511.0,847401.0,ALL,pairwise_coparticipating,SCL8,SCL7,0.527027027027027,74,0.3405014847108987,1.550587709662068,32.700087921645306,-5.295416794293544,9.286127773175304
t2511_n847401,2511.0,847401.0,ALL,complete4,SCL8,SCL7,0.48484848484848486,66,0.04735374837613301,-4.693657206712942,35.25502862339759,-5.307680993424185,9.322929009098061
t2511_n847401,2511.0,847401.0,ALL,pairwise_coparticipating,SCL8,SCL6,0.3111111111111111,90,-4.680000814344887,-8.649658314277985,93.90817484403463,-13.89345582521687,10.758088729942028
