subject,dataset,mode,condition,objective,seed,cycles,updates_per_patient,offset_cycles,hidden_size,learning_rate,optimizer,weight_decay,n_contacts,n_train_events,n_eval_events,n_parameters,rollout_condition,likelihood_n_events,likelihood_n_decisions,likelihood_n_nonterminal_decisions,likelihood_event_total_nll,likelihood_contact_choice_nll,likelihood_stop_contribution_nll,whole_participation_mae,whole_rank_wasserstein,whole_precedence_mae,whole_precedence_correlation,whole_participant_count_mean_error,whole_event_length_mean_error,suffix_participation_mae,suffix_rank_wasserstein,suffix_precedence_mae,suffix_precedence_correlation,suffix_participant_count_mean_error,suffix_event_length_mean_error,transition_mae,transition_correlation,event_length_wasserstein,stop_hazard_mae,generated_zero_suffix_fraction,uniforms_sha256
epilepsiae_1150,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,9,6848,1713,5870,static_only,1713,11268,9555,1.5669012069702148,1.5841100215911863,0.2266301065683365,0.0496854122073036,0.0690168762995316,0.0976259113449393,0.6865944668586557,-0.1716287215411558,-0.1716287215411558,0.0496854122073036,0.1012061695973853,0.1394604922393926,0.7993600447118571,-0.1716287215411558,-0.1716287215411558,0.0599621620515674,0.6338791017435943,0.0190698579490173,0.0452567923493156,0.0,e3718f49806521ce36154ca051a8f0ca715505521b0e105e445576a0361ee946
epilepsiae_1150,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,9,6848,1713,5870,native_model,1713,11268,9555,1.5669012069702148,1.5841100215911863,0.2266301065683365,0.0912628916131543,0.1056327937835481,0.1494787829545142,0.1988167446237183,-0.7116170461179214,-0.7116170461179214,0.0912628916131543,0.1008922013614943,0.1340429812702149,0.7528957721021057,-0.7116170461179214,-0.7116170461179214,0.0508694736870071,0.7842180548752611,0.079068560679769,0.1010638379637782,0.0099241097489784,e3718f49806521ce36154ca051a8f0ca715505521b0e105e445576a0361ee946
epilepsiae_139,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,7,7347,1837,5870,none,1837,10308,8471,1.4724785089492798,1.49389910697937,0.2511590421199798,,,,,,,,,,,,,,,,,,
epilepsiae_139,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,7,7347,1837,5870,full_constructive,1837,10308,8471,1.4724785089492798,1.49389910697937,0.2511590421199798,0.0613578038727739,0.0451394987507213,0.0859465203716671,0.0235713080232919,0.0952640174197059,0.0952640174197059,0.0613578038727739,0.0487232830638174,0.08707999414808,-0.0044125830415421,0.0952640174197059,0.0952640174197059,0.0392717513909351,0.8723616550556255,0.0157866086009798,0.0260684481995984,0.0,8b3d1b3d4d85a82d88f68af5cdc2d3a3c32670af7f01acd9ab07a9a290b78b44
epilepsiae_139,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,7,7347,1837,5870,static_only,1837,10308,8471,1.4724785089492798,1.49389910697937,0.2511590421199798,0.105995800606579,0.0499503720177353,0.0864215544677273,-0.0025731537949334,0.0952640174197059,0.0952640174197059,0.105995800606579,0.0414300602998155,0.0678130468832662,-0.0161941296878116,0.0952640174197059,0.0952640174197059,0.0456588218734034,0.7896945197769022,0.0157866086009798,0.0260684481995984,0.0,8b3d1b3d4d85a82d88f68af5cdc2d3a3c32670af7f01acd9ab07a9a290b78b44
epilepsiae_139,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,7,7347,1837,5870,native_model,1837,10308,8471,1.4724785089492798,1.49389910697937,0.2511590421199798,0.0985302123026674,0.0464153776640428,0.0537501901835183,0.6471355502802407,-0.3739793140990741,-0.3739793140990741,0.0985302123026673,0.0530532513215454,0.0820755016141517,0.1909416631382446,-0.3739793140990746,-0.3739793140990746,0.0413723149608606,0.8392048509922759,0.063068667859087,0.0780529494735416,0.0119760479041916,8b3d1b3d4d85a82d88f68af5cdc2d3a3c32670af7f01acd9ab07a9a290b78b44
epilepsiae_253,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,8,40597,10150,5870,none,10150,62832,52682,1.6242915391921997,1.6524659395217896,0.2491777390241623,,,,,,,,,,,,,,,,,,
epilepsiae_253,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,8,40597,10150,5870,full_constructive,10150,62832,52682,1.6242915391921997,1.6524659395217896,0.2491777390241623,0.1523275862068965,0.0706736035825045,0.0963575252267655,0.6695557833337642,-0.4207881773399018,-0.4207881773399018,0.1523275862068965,0.117997665448965,0.1995410331719319,0.0473112604662372,-0.4207881773399018,-0.4207881773399018,0.055041346739389,0.6765758326451967,0.0529679802955664,0.0538571422809719,0.0,4ad8eb5a488d185962a7d4beed10c62183e6ab5a8ccf146656957e590d518c49
epilepsiae_253,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,8,40597,10150,5870,static_only,10150,62832,52682,1.6242915391921997,1.6524659395217896,0.2491777390241623,0.0928694581280788,0.0633719367284536,0.0772160469799987,0.7769488833255459,-0.4207881773399018,-0.4207881773399018,0.0928694581280788,0.113913736551715,0.1814658489056175,0.3120569767527582,-0.4207881773399018,-0.4207881773399018,0.0468184805421839,0.7470037045599169,0.0529679802955664,0.0538571422809719,0.0,4ad8eb5a488d185962a7d4beed10c62183e6ab5a8ccf146656957e590d518c49
epilepsiae_253,epilepsiae,formal,current_teacher_forced_reference,teacher_forced_one_step,20260727,1,8,4,32,0.001,adamw,0.0001,8,40597,10150,5870,native_model,10150,62832,52682,1.6242915391921997,1.6524659395217896,0.2491777390241623,0.0859605911330049,0.0490987021856605,0.072708215861021,0.7932419285826084,-0.5883743842364533,-0.5883743842364533,0.0859605911330049,0.0811887833853829,0.1395335253539395,0.7081856368795132,-0.5883743842364533,-0.5883743842364533,0.0412271185109004,0.8297645399726841,0.0735467980295566,0.0517043627051097,0.0159605911330049,4ad8eb5a488d185962a7d4beed10c62183e6ab5a8ccf146656957e590d518c49
