subject,seed_left,seed_right,lag,contact_kernel_cosine,stop_kernel_cosine
epilepsiae_253,20260726,20260727,2,0.6542276069834944,0.8032742561452731
epilepsiae_253,20260726,20260727,3,0.6551939551007904,0.7945552654754023
epilepsiae_253,20260726,20260727,4,0.6567128569040886,0.7846662643028306
epilepsiae_253,20260726,20260727,5,0.6587883204806669,0.7738661779202595
epilepsiae_384,20260725,20260726,0,0.8147040681257798,0.733906837132108
epilepsiae_384,20260725,20260726,1,0.8056886569148727,0.7469110360432415
epilepsiae_384,20260725,20260726,2,0.7961944555966568,0.7576367452208397
epilepsiae_384,20260725,20260726,3,0.7862897206187658,0.7664561963119684
epilepsiae_384,20260725,20260726,4,0.7760695529559474,0.7736741372689006
epilepsiae_384,20260725,20260726,5,0.765657501494336,0.7795399740383095
epilepsiae_384,20260725,20260727,0,0.756841065827653,0.4805458914734222
epilepsiae_384,20260725,20260727,1,0.7509229939769034,0.46855822942656744
epilepsiae_384,20260725,20260727,2,0.744675163877356,0.45508376208926027
epilepsiae_384,20260725,20260727,3,0.7381035607332311,0.44058028949557976
epilepsiae_384,20260725,20260727,4,0.7312208764049772,0.42540608932096313
epilepsiae_384,20260725,20260727,5,0.7240473820851115,0.4098328370312094
epilepsiae_384,20260726,20260727,0,0.7060014445552749,0.8819135365166678
epilepsiae_384,20260726,20260727,1,0.6977900001391855,0.8895289436747856
epilepsiae_384,20260726,20260727,2,0.6894705812742503,0.8921944271492269
epilepsiae_384,20260726,20260727,3,0.6811145240612797,0.8909582269407862
epilepsiae_384,20260726,20260727,4,0.672801745182828,0.8867044480319105
epilepsiae_384,20260726,20260727,5,0.6646184916255251,0.8801562953711688
epilepsiae_442,20260725,20260726,0,0.8289536093547376,0.6429734666261238
epilepsiae_442,20260725,20260726,1,0.8222485423184046,0.6460068257192267
epilepsiae_442,20260725,20260726,2,0.8154645703870316,0.6479937147222753
epilepsiae_442,20260725,20260726,3,0.8086618189688968,0.6493212651899062
epilepsiae_442,20260725,20260726,4,0.8019041072666759,0.6502492029842448
epilepsiae_442,20260725,20260726,5,0.7952536377221329,0.6509481017165828
epilepsiae_442,20260725,20260727,0,0.6720994282818519,0.7120121007501957
epilepsiae_442,20260725,20260727,1,0.6530161535020246,0.6737186911424063
epilepsiae_442,20260725,20260727,2,0.6323274973937214,0.637788853351806
epilepsiae_442,20260725,20260727,3,0.610073636248785,0.6047228903007799
