comparison,component,dataset,n,median_nats,median_bits,positive,sign_p_two_sided,wilcoxon_p_two_sided,ci95_low,ci95_high
history3_minus_history2,event_contact_choice_nll,yuquan,16,0.002009749412536399,0.0028994555108957706,13,0.021270751953125,0.02899169921875,0.00017499923706054688,0.003532922267913566
history3_minus_history2,event_contact_contribution_nll,all,34,0.001360774040222279,0.0019631819595991207,22,0.12144948495551944,0.10491926351096481,-0.0005047321319580078,0.003064393997192383
history3_minus_history2,event_contact_contribution_nll,epilepsiae,18,-0.0001894235610961914,-0.00027328043222100295,9,1.0,0.7337265014648438,-0.002883434295654297,0.006057858467102051
history3_minus_history2,event_contact_contribution_nll,yuquan,16,0.0019036531448364258,0.002746390951628191,13,0.021270751953125,0.02496337890625,0.0003317594528198242,0.004472613334655762
history3_minus_history2,event_continue_nll,all,34,0.00044149905443189967,0.0006369484963860682,18,0.8641662404406816,0.446560020907782,-0.001388117671012802,0.0037870891392231473
history3_minus_history2,event_continue_nll,epilepsiae,18,0.0035773999989032954,0.005161097237693968,11,0.480682373046875,0.2645263671875,-0.0014923252165317466,0.007145013660192448
history3_minus_history2,event_continue_nll,yuquan,16,-0.001140775159001347,-0.001645790664660562,7,0.803619384765625,0.899932861328125,-0.0040159337222576,0.0023073665797710002
history3_minus_history2,event_stop_contribution_nll,all,34,0.00977867841720581,0.01410765085895076,34,1.1641532182693481e-10,1.1641532182693481e-10,0.005249440670013372,0.01582770049571991
history3_minus_history2,event_stop_contribution_nll,epilepsiae,18,0.011760875582694993,0.016967356879666166,18,7.62939453125e-06,7.62939453125e-06,0.008651763200759902,0.026633277535438482
history3_minus_history2,event_stop_contribution_nll,yuquan,16,0.004993714392185183,0.007204406989221409,16,3.0517578125e-05,3.0517578125e-05,0.003441452607512489,0.014952361583709689
history3_minus_history2,event_terminal_stop_nll,all,34,0.07872936129570007,0.113582459113662,34,1.1641532182693481e-10,1.1641532182693481e-10,0.06588184833526611,0.10858190059661865
history3_minus_history2,event_terminal_stop_nll,epilepsiae,18,0.07872936129570007,0.113582459113662,18,7.62939453125e-06,7.62939453125e-06,0.06880569458007835,0.11116644740104675
