subject,dataset,comparison,component,gain_nats,gain_bits
epilepsiae_1077,epilepsiae,lag2_contribution,event_total_nll,0.003168940544128418,0.004571814807886042
epilepsiae_1077,epilepsiae,lag3plus_contribution,event_contact_choice_nll,-0.00027501583099365234,-0.0003967639755404995
epilepsiae_1077,epilepsiae,lag3plus_contribution,event_contact_contribution_nll,-0.00023603439331054688,-0.0003405256487083611
epilepsiae_1077,epilepsiae,lag3plus_contribution,event_continue_nll,-0.0013809949159622192,-0.0019923545167515647
epilepsiae_1077,epilepsiae,lag3plus_contribution,event_stop_contribution_nll,-3.758072853088379e-05,-5.4217530684500426e-05
epilepsiae_1077,epilepsiae,lag3plus_contribution,event_terminal_stop_nll,0.006043374538421631,0.008718746476815515
epilepsiae_1077,epilepsiae,lag3plus_contribution,event_total_nll,-0.00027358531951904297,-0.00039470018373014584
epilepsiae_1077,epilepsiae,linear_minus_rank_shuffle,event_contact_choice_nll,0.09999489784240723,0.1442621432314394
epilepsiae_1077,epilepsiae,linear_minus_rank_shuffle,event_contact_contribution_nll,0.07900595664978027,0.11398150185932643
epilepsiae_1077,epilepsiae,linear_minus_rank_shuffle,event_continue_nll,-0.05110220611095431,-0.07372489933475947
epilepsiae_1077,epilepsiae,linear_minus_rank_shuffle,event_stop_contribution_nll,0.03211340308189392,0.04632984737231671
epilepsiae_1077,epilepsiae,linear_minus_rank_shuffle,event_terminal_stop_nll,0.309425950050354,0.4464072836600018
epilepsiae_1077,epilepsiae,linear_minus_rank_shuffle,event_total_nll,0.11111938953399636,0.16031139222730553
epilepsiae_1077,epilepsiae,linear_minus_unordered,event_contact_choice_nll,0.02861011028289795,0.04127566422442321
epilepsiae_1077,epilepsiae,linear_minus_unordered,event_contact_contribution_nll,0.02260565757751465,0.032613070083114405
epilepsiae_1077,epilepsiae,linear_minus_unordered,event_continue_nll,-0.010088071227073697,-0.014554010331433864
epilepsiae_1077,epilepsiae,linear_minus_unordered,event_stop_contribution_nll,0.014135748147964478,0.0203935737523237
epilepsiae_1077,epilepsiae,linear_minus_unordered,event_terminal_stop_nll,0.10118257999420166,0.1459756063819856
epilepsiae_1077,epilepsiae,linear_minus_unordered,event_total_nll,0.04946339130401611,0.07136058933985433
epilepsiae_1084,epilepsiae,full_minus_history3,event_contact_choice_nll,-0.008659005165099876,-0.01249230381072151
epilepsiae_1084,epilepsiae,full_minus_history3,event_contact_contribution_nll,-0.007707715034484641,-0.011119882256836298
epilepsiae_1084,epilepsiae,full_minus_history3,event_continue_nll,0.008185788989067008,0.011809597180290454
epilepsiae_1084,epilepsiae,full_minus_history3,event_stop_contribution_nll,0.018220245838165283,0.02628625831449883
epilepsiae_1084,epilepsiae,full_minus_history3,event_terminal_stop_nll,0.08381295204162598,0.12091653027271833
epilepsiae_1084,epilepsiae,full_minus_history3,event_total_nll,0.013822197914123535,0.0199412163848918
epilepsiae_1084,epilepsiae,history2_minus_history1,event_contact_choice_nll,-0.0006967782974243164,-0.0010052385942931165
epilepsiae_1084,epilepsiae,history2_minus_history1,event_contact_contribution_nll,-0.0005742311477661133,-0.0008284404292061492
epilepsiae_1084,epilepsiae,history2_minus_history1,event_continue_nll,0.0024277195334433954,0.0035024589315680544
epilepsiae_1084,epilepsiae,history2_minus_history1,event_stop_contribution_nll,0.008865594863891602,0.01279034974466708
epilepsiae_1084,epilepsiae,history2_minus_history1,event_terminal_stop_nll,0.04040992259979248,0.05829919493742746
epilepsiae_1084,epilepsiae,history2_minus_history1,event_total_nll,0.00966584682464644,0.013944869279909754
epilepsiae_1084,epilepsiae,history3_minus_history2,event_contact_choice_nll,-0.0022536516189581857,-0.0032513320145623583
epilepsiae_1084,epilepsiae,history3_minus_history2,event_contact_contribution_nll,-0.001934051513671875,-0.0027902465275982074
epilepsiae_1084,epilepsiae,history3_minus_history2,event_continue_nll,0.0036137104034423967,0.005213482078255201
epilepsiae_1084,epilepsiae,history3_minus_history2,event_stop_contribution_nll,0.009702414274215698,0.01399762495806128
epilepsiae_1084,epilepsiae,history3_minus_history2,event_terminal_stop_nll,0.08522415161132812,0.12295246089363225
epilepsiae_1084,epilepsiae,history3_minus_history2,event_total_nll,0.005470871925354004,0.007892799796046877
epilepsiae_1084,epilepsiae,history3_minus_rank_shuffle,event_contact_choice_nll,-0.008738994598388894,-0.012607704169451096
epilepsiae_1084,epilepsiae,history3_minus_rank_shuffle,event_contact_contribution_nll,-0.007599472999572532,-0.010963722009852867
epilepsiae_1084,epilepsiae,history3_minus_rank_shuffle,event_continue_nll,0.00013704597949978914,0.00019771555499811634
epilepsiae_1084,epilepsiae,history3_minus_rank_shuffle,event_stop_contribution_nll,-0.0234601348638534,-0.03384582022666758
epilepsiae_1084,epilepsiae,history3_minus_rank_shuffle,event_terminal_stop_nll,-0.18883371353149414,-0.2724294620645338
