subject,seed,condition,decision_contract_sha256,n_decisions
epilepsiae_442,20260725,full_history,bb578e70978ada4b1130415f2f101299574b5d7146fb309954a3cc8369461b02,5766
epilepsiae_442,20260725,history_1,bb578e70978ada4b1130415f2f101299574b5d7146fb309954a3cc8369461b02,5766
epilepsiae_442,20260725,history_2,bb578e70978ada4b1130415f2f101299574b5d7146fb309954a3cc8369461b02,5766
epilepsiae_442,20260725,history_3,bb578e70978ada4b1130415f2f101299574b5d7146fb309954a3cc8369461b02,5766
epilepsiae_442,20260725,history_3_rank_shuffle,bb578e70978ada4b1130415f2f101299574b5d7146fb309954a3cc8369461b02,5766
epilepsiae_442,20260725,lag0_removed,bb578e70978ada4b1130415f2f101299574b5d7146fb309954a3cc8369461b02,5766
epilepsiae_442,20260725,lag1_removed,bb578e70978ada4b1130415f2f101299574b5d7146fb309954a3cc8369461b02,5766
epilepsiae_442,20260725,lag2_removed,bb578e70978ada4b1130415f2f101299574b5d7146fb309954a3cc8369461b02,5766
epilepsiae_442,20260725,lag3plus_removed,bb578e70978ada4b1130415f2f101299574b5d7146fb309954a3cc8369461b02,5766
epilepsiae_442,20260725,linear_state,bb578e70978ada4b1130415f2f101299574b5d7146fb309954a3cc8369461b02,5766
epilepsiae_442,20260725,linear_state_rank_shuffle,bb578e70978ada4b1130415f2f101299574b5d7146fb309954a3cc8369461b02,5766
epilepsiae_442,20260725,unordered_prefix,bb578e70978ada4b1130415f2f101299574b5d7146fb309954a3cc8369461b02,5766
epilepsiae_548,20260725,full_history,cfd700a286772c0b74ecc7213c5f8c289473782a1f74801289f8556d9190fd51,12024
epilepsiae_548,20260725,history_1,cfd700a286772c0b74ecc7213c5f8c289473782a1f74801289f8556d9190fd51,12024
epilepsiae_548,20260725,history_2,cfd700a286772c0b74ecc7213c5f8c289473782a1f74801289f8556d9190fd51,12024
epilepsiae_548,20260725,history_3,cfd700a286772c0b74ecc7213c5f8c289473782a1f74801289f8556d9190fd51,12024
epilepsiae_548,20260725,history_3_rank_shuffle,cfd700a286772c0b74ecc7213c5f8c289473782a1f74801289f8556d9190fd51,12024
epilepsiae_548,20260725,lag0_removed,cfd700a286772c0b74ecc7213c5f8c289473782a1f74801289f8556d9190fd51,12024
