subject,dataset,tolerance_ms,condition,component,gain_nats,gain_bits
epilepsiae_1096,epilepsiae,2.0,history_3,event_stop_contribution_nll,-0.03970566391944891,-0.05728316443179279
epilepsiae_1096,epilepsiae,2.0,history_3,event_total_nll,-0.03834867477416992,-0.05532544292135864
epilepsiae_1096,epilepsiae,2.0,linear_state,event_contact_choice_nll,-0.00900125503540039,-0.012986066001348955
epilepsiae_1096,epilepsiae,2.0,linear_state,event_contact_contribution_nll,-0.006247043609619141,-0.009012578835814624
epilepsiae_1096,epilepsiae,2.0,linear_state,event_stop_contribution_nll,-0.0214946568012237,-0.03101023477273566
epilepsiae_1096,epilepsiae,2.0,linear_state,event_total_nll,-0.01732492446899414,-0.024994582615193706
epilepsiae_1096,epilepsiae,5.0,history_3,event_contact_choice_nll,-0.0013587474822998047,-0.001960258254534293
epilepsiae_1096,epilepsiae,5.0,history_3,event_contact_contribution_nll,0.0006074309349060059,0.0008763375974714414
epilepsiae_1096,epilepsiae,5.0,history_3,event_stop_contribution_nll,-0.16877752542495728,-0.2434944989440968
epilepsiae_1096,epilepsiae,5.0,history_3,event_total_nll,-0.16817009449005127,-0.24261816134662537
epilepsiae_1096,epilepsiae,5.0,linear_state,event_contact_choice_nll,-0.003481268882751465,-0.005022409353146601
epilepsiae_1096,epilepsiae,5.0,linear_state,event_contact_contribution_nll,-0.0010290443897247314,-0.0014845972379104798
epilepsiae_1096,epilepsiae,5.0,linear_state,event_stop_contribution_nll,-0.15739372372627258,-0.22707114468694103
epilepsiae_1096,epilepsiae,5.0,linear_state,event_total_nll,-0.1419978141784668,-0.2048595423323466
epilepsiae_1096,epilepsiae,10.0,history_3,event_contact_choice_nll,-0.0008373856544495739,-0.0012080921309859595
epilepsiae_1096,epilepsiae,10.0,history_3,event_contact_contribution_nll,0.0015101432800292969,0.00217867622113006
epilepsiae_1096,epilepsiae,10.0,history_3,event_stop_contribution_nll,-0.3781157433986664,-0.5455057078832998
epilepsiae_1096,epilepsiae,10.0,history_3,event_total_nll,-0.35752123594284047,-0.515794114107229
epilepsiae_1096,epilepsiae,10.0,linear_state,event_contact_choice_nll,0.004791975021362194,0.006913358599383021
epilepsiae_1096,epilepsiae,10.0,linear_state,event_contact_contribution_nll,0.005903661251068115,0.008517182810004303
epilepsiae_1096,epilepsiae,10.0,linear_state,event_stop_contribution_nll,-0.31192770600318914,-0.45001655456667156
epilepsiae_1096,epilepsiae,10.0,linear_state,event_total_nll,-0.30689531564712513,-0.44275634995616053
epilepsiae_1125,epilepsiae,0.0,history_3,event_contact_choice_nll,0.008795976638793723,0.012689911876562878
epilepsiae_1125,epilepsiae,0.0,history_3,event_contact_contribution_nll,0.007706016302108543,0.011117431504061503
epilepsiae_1125,epilepsiae,0.0,history_3,event_stop_contribution_nll,0.02947309613227847,0.042520689629681835
epilepsiae_1125,epilepsiae,0.0,history_3,event_total_nll,0.049596190452575684,0.0715521780129155
epilepsiae_1125,epilepsiae,0.0,linear_state,event_contact_choice_nll,-0.004892945289611816,-0.007059027904663981
epilepsiae_1125,epilepsiae,0.0,linear_state,event_contact_contribution_nll,-0.0046024322509765625,-0.006639906184511316
epilepsiae_1125,epilepsiae,0.0,linear_state,event_stop_contribution_nll,0.03175739943981171,0.045816242683346296
epilepsiae_1125,epilepsiae,0.0,linear_state,event_total_nll,0.08298027515411377,0.1197152314564416
epilepsiae_1125,epilepsiae,1.0,history_3,event_contact_choice_nll,-0.009113073348999023,-0.01314738572785827
epilepsiae_1125,epilepsiae,1.0,history_3,event_contact_contribution_nll,-0.005551040172576904,-0.008008458128752116
epilepsiae_1125,epilepsiae,1.0,history_3,event_stop_contribution_nll,0.011691033840179388,0.016866596544091856
epilepsiae_1125,epilepsiae,1.0,history_3,event_total_nll,0.02115941047668457,0.030526576562846807
epilepsiae_1125,epilepsiae,1.0,linear_state,event_contact_choice_nll,-0.002187967300415039,-0.0031565695739359896
epilepsiae_1125,epilepsiae,1.0,linear_state,event_contact_contribution_nll,-0.0024477839469907448,-0.003531405761491161
epilepsiae_1125,epilepsiae,1.0,linear_state,event_stop_contribution_nll,0.009188294410705566,0.013255906780552702
epilepsiae_1125,epilepsiae,1.0,linear_state,event_total_nll,0.038030147552490456,0.05486590527825353
epilepsiae_1125,epilepsiae,2.0,history_3,event_contact_choice_nll,-0.015399813652038574,-0.02221723478641021
epilepsiae_1125,epilepsiae,2.0,history_3,event_contact_contribution_nll,-0.013943403959274292,-0.02011607974515656
epilepsiae_1125,epilepsiae,2.0,history_3,event_stop_contribution_nll,-0.03139472007751465,-0.04529300696592756
epilepsiae_1125,epilepsiae,2.0,history_3,event_total_nll,-0.029528617858886497,-0.04260079054932083
epilepsiae_1125,epilepsiae,2.0,linear_state,event_contact_choice_nll,0.002190232276916504,0.003159837244302383
epilepsiae_1125,epilepsiae,2.0,linear_state,event_contact_contribution_nll,0.0005909204483032227,0.0008525180003269424
epilepsiae_1125,epilepsiae,2.0,linear_state,event_stop_contribution_nll,-0.004261642694473211,-0.006148250781357181
