absolute_detector_margin,absolute_detector_threshold_mean_plus_5sd,available_neurons_in_fixed_radius,baseline_lfp_mean,baseline_lfp_sd,baseline_window_ms,contact_index,contact_name,forced_spike_collision_count,integrated_positive_lfp_excess,lfp_kernel,lfp_peak_snr,local_neuron_count,local_positive_spike_excess_per_cell,local_signed_spike_excess_per_cell,packet_max_distance_mm,packet_n_E,packet_positive_respike_excess_per_cell,packet_radius_mm,packet_signed_respike_excess_per_cell,peak_lfp_excess,peak_lfp_excess_per_packet_cell,pretrigger_lfp_bit_identical,pretrigger_spikes_bit_identical,response_window_ms,seed,shaft_id,sheet_xy_mm
1072.943293030489,19.352667554124967,243,13.480745178409254,1.1743844751431427,"[20.0, 90.0]",10,ICL5,0,27600.766604164837,"{'neuron_count': 20, 'raw_kernel_mass': 51.36735165856009, 'normalized_weight_ess': 11.956427760406658, 'nearest_distance_mm': 0.009025847932109516}",919.3335305955374,243,3.6131687242798356,3.6131687242798356,0.7712750542113244,160,3.6375,1.0,3.6375,1079.6510258099324,6.747818911312078,True,True,"[100.10000000000001, 180.0]",1004,ICL,"[11.5523022208348, 4.813958075536949]"
1334.9052982096082,18.44543003327486,261,12.95587324468394,1.0979113577181843,"[20.0, 90.0]",11,ICL4,0,34872.711623692034,"{'neuron_count': 24, 'raw_kernel_mass': 31.53408503008533, 'normalized_weight_ess': 16.557063655988568, 'nearest_distance_mm': 0.06911585588837053}",1221.299915127213,261,4.85823754789272,4.854406130268199,0.8030446963900411,160,4.96875,1.0,4.9625,1340.8790479984216,8.380494049990135,True,True,"[100.10000000000001, 180.0]",1004,ICL,"[13.010088657856063, 4.323838482365569]"
1063.5007408256413,18.483110192666032,206,13.031335290789686,1.0903549803752697,"[20.0, 90.0]",12,ICL3,0,28191.14913787264,"{'neuron_count': 9, 'raw_kernel_mass': 11.291248434012754, 'normalized_weight_ess': 7.6651582586606715, 'nearest_distance_mm': 0.1354505299749877}",978.5128755464361,206,3.320388349514563,3.320388349514563,0.8840714501312208,160,3.35625,1.0,3.35625,1066.9263872133831,6.6682899200836445,True,True,"[100.10000000000001, 180.0]",1004,ICL,"[14.899997731985414, 4.25817285688965]"
1427.2251178063102,17.64561572338429,265,13.28020939435362,0.8730812658061342,"[20.0, 90.0]",13,ICL2,0,37730.973065475344,"{'neuron_count': 23, 'raw_kernel_mass': 61.10222509284136, 'normalized_weight_ess': 17.852620763966407, 'nearest_distance_mm': 0.025767349656716412}",1639.589613968491,265,5.509433962264151,5.509433962264151,0.7593013145244785,160,5.6375,1.0,5.6375,1431.494975566201,8.946843597288757,True,True,"[100.10000000000001, 180.0]",1004,ICL,"[16.537611389323725, 3.835388567630007]"
1536.5026850677718,18.167223952719947,245,12.027198672435045,1.2280050560569804,"[20.0, 90.0]",14,ICL1,0,38720.60050279436,"{'neuron_count': 15, 'raw_kernel_mass': 39.42901727969384, 'normalized_weight_ess': 5.8282382697272945, 'nearest_distance_mm': 0.004797766517681739}",1257.635808882349,245,5.444897959183673,5.440816326530612,0.8223180876147567,160,5.6125,1.0,5.6125,1544.3831319858348,9.652394574911467,True,True,"[100.10000000000001, 180.0]",1004,ICL,"[18.0, 3.802973174501002]"
1469.0927361018082,20.774803686258547,236,13.90604311215285,1.3737521148211396,"[20.0, 90.0]",0,SCL9,0,38941.971542653104,"{'neuron_count': 17, 'raw_kernel_mass': 34.30971521860629, 'normalized_weight_ess': 10.270280803553735, 'nearest_distance_mm': 0.03410458855523324}",1073.3447869535544,236,5.3559322033898304,5.338983050847458,0.8141172751639187,160,5.46875,1.0,5.44375,1474.5096710096907,9.215685443810568,True,True,"[100.10000000000001, 180.0]",1005,SCL,"[5.497640679895003, 16.197026825498998]"
1598.6377744502463,16.350566265795216,270,12.90793674112649,0.6885259049337457,"[20.0, 90.0]",1,ICL11,0,40176.250234039486,"{'neuron_count': 15, 'raw_kernel_mass': 26.366322733755702, 'normalized_weight_ess': 10.098107120764631, 'nearest_distance_mm': 0.06835351577153946}",2324.6803339168628,270,5.485185185185185,5.481481481481482,0.7748989013843085,160,5.63125,1.0,5.625,1600.6026305917899,10.003766441198687,True,True,"[100.10000000000001, 180.0]",1005,ICL,"[2.0, 5.822438458919169]"
1622.5496701801383,18.59670818132703,280,13.224893197552067,1.0743629967549928,"[20.0, 90.0]",2,SCL8,0,42763.470497411385,"{'neuron_count': 16, 'raw_kernel_mass': 28.133463725499286, 'normalized_weight_ess': 11.788855168259865, 'nearest_distance_mm': 0.053269733810268415}",1514.1955369708758,280,6.082142857142857,6.082142857142857,0.7397704139692227,160,6.15,1.0,6.15,1626.7956547730655,10.167472842331659,True,True,"[100.10000000000001, 180.0]",1005,SCL,"[7.378345406714329, 15.215952799938329]"
1620.2039400167193,17.250305129786963,284,13.198160430326173,0.8104289398921581,"[20.0, 90.0]",3,ICL10,0,42816.75944257692,"{'neuron_count': 34, 'raw_kernel_mass': 46.42922201563633, 'normalized_weight_ess': 24.88157106554331, 'nearest_distance_mm': 0.08799895339597323}",2005.3451653199763,284,5.855633802816901,5.852112676056338,0.7308402171461312,160,5.975,1.0,5.96875,1625.189756448133,10.157435977800832,True,True,"[100.10000000000001, 180.0]",1005,ICL,"[3.4623886106762756, 5.790023065790164]"
1403.2806629115746,19.046323164066482,269,13.64020986433037,1.0812226599472223,"[20.0, 90.0]",4,SCL7,0,36559.97536667806,"{'neuron_count': 14, 'raw_kernel_mass': 25.32120112807022, 'normalized_weight_ess': 10.08599933019954, 'nearest_distance_mm': 0.060040127907048026}",1301.3035142333986,269,4.951672862453532,4.951672862453532,0.79036156699924,160,5.0625,1.0,5.0625,1406.9988470581034,8.793742794113147,True,True,"[100.10000000000001, 180.0]",1005,SCL,"[8.656304623418542, 14.658497902855213]"
