q,phase,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms,checkpoint_time_ms
0.8525,0.5,bounded_CCO,True,False,3.920941251985062e-06,0.0019996875628768463,7.213366105173706e-06,C,15,775.440591898417,9.736670771246233e-08,132.79719650745392,7.3038145423190155,False,0,0,"[657.3552809913887, 1432.795670245196, 2208.236344225029, 2983.6768010457495, 3759.1175150620356, 4534.557935569097, 5309.998689668698, 6085.43907381991, 6860.879808116608, 7636.320215803262, 8411.76091412321, 9187.201361526151, 9962.642023822405, 10738.08251099523, 11513.523137221402]",C,15,775.4405221485686,1.5205958650255498e-07,86.35149896144867,4.661458290340993,False,0,0,"[664.4036762046878, 1439.844126513015, 2215.284687855111, 2990.725281558302, 3766.1658156689987, 4541.606439441153, 5317.0469462669325, 6092.4876001669445, 6867.92807965426, 7643.368763741459, 8418.809215836853, 9194.249930172433, 9969.690354822169, 10745.131042877121, 11520.571496618139]",O_unresolved,0,,,7.692362647503614,0.9231791911603039,False,0,0,[],3759.1175150620356
0.8525,0.75,bounded_CCO,True,False,7.134847416940914e-06,0.001277756875194898,7.223034980926267e-06,C,15,775.4406056385609,1.5543256414747613e-07,132.7948421239853,7.305684803958105,False,0,0,"[655.8474278029147, 1431.2878561434868, 2206.7284791226693, 2982.1689821987557, 3757.609645158686, 4533.050111974463, 5308.4908149582325, 6083.931245471916, 6859.371988526081, 7634.8123826955825, 8410.253126893704, 9185.693523650129, 9961.134231884374, 10736.574668342299, 11512.015340565811]",C,15,775.4405326194379,1.587579489863294e-07,86.35073900222778,4.662678582698828,False,0,0,"[662.8958758772854, 1438.3362802029085, 2213.77687619514, 2989.2174316328883, 3764.658000466067, 4540.098585897283, 5315.53912751409, 6090.979742998001, 6866.420257344626, 7641.860902940216, 8417.301389963111, 9192.742065729295, 9968.182525375014, 10743.623231372714, 11519.063663587609]",O_unresolved,0,,,7.692619226872921,0.923554979063972,False,0,0,[],3757.609645158686
0.85,0.0,bounded_CCO,True,False,8.886019123718459e-06,0.002621692829837397,0.0035833565680938964,C,17,670.8173565734281,1.3189608312897553e-07,136.29375398159027,7.932187567261455,False,0,0,"[603.8501836832795, 1274.6673974939915, 1945.484868658834, 2616.3021421626945, 3287.119678902284, 3957.936896279945, 4628.7544432362965, 5299.571659859898, 5970.38915131844, 6641.20643291681, 7312.023868739073, 7982.841215466398, 8653.658595513849, 9324.476007524361, 9995.293331670662, 10666.110809118745, 11336.928077244645]",C,17,670.8173472568991,1.8062124244784907e-07,88.86132389307022,4.99287308351752,False,0,0,"[610.7375668858957, 1281.554731781846, 1952.3722437911124, 2623.189488964485, 3294.006984888013, 3964.824253356271, 4635.641707180388, 5306.4590249740095, 5977.276436544828, 6648.093803834658, 7318.911172997966, 7989.728589956646, 8660.545916558103, 9331.36338335819, 10002.180667255825, 10672.99818406993, 11343.815425128887]",O_unresolved,0,,,8.59329104423523,0.9673384833614344,False,0,0,[],3287.119678902284
0.85,0.25,bounded_CCO,True,False,8.846651127505642e-06,0.0029302388011385396,0.007156881638406177,C,18,670.8173567110456,1.3116393933234075e-07,136.2939327955246,11.909439504874346,False,0,0,"[559.9081668362171, 1230.724981056874, 1901.5423110632285, 2572.3597816474035, 3243.177055648802, 3913.9945918059652, 4584.811809682131, 5255.62935713034, 5926.446573178058, 6597.264065129682, 7268.081346150797, 7938.898782467376, 8609.71612861608, 9280.533509159053, 9951.350920589577, 10622.168245232455, 11292.985722099173, 11963.802990722714]",C,18,670.81734736213,1.8004766958536913e-07,88.86144310235977,7.440884484437308,False,0,0,"[566.7955251246668, 1237.612356854566, 1908.429645229967, 2579.247156795404, 3250.0644023493974, 3920.8818986458223, 4591.699166677123, 5262.516620875498, 5933.333938230673, 6604.151350177114, 7274.96871702696, 7945.786086567264, 8616.60350308443, 9287.420830064233, 9958.238296421277, 10629.055580698448, 11299.873097067972, 11970.690338507668]",O_unresolved,0,,,8.593225851655006,1.0998494589204961,False,0,0,[],3243.177055648802
0.85,0.5,bounded_CCO,True,False,1.1613450147730323e-05,0.0015079251755504787,0.0038175537434057983,C,18,670.817323023009,2.219300806736004e-07,136.29388809204102,12.466242899857981,False,0,0,"[550.5545987348471, 1221.371235372396, 1892.1884438364937, 2563.0059820019155, 3233.823208918135, 3904.640691563803, 4575.4579834792285, 5246.275410466645, 5917.092767535485, 6587.910138726733, 7258.727561103216, 7929.54487637447, 8600.362364213139, 9271.17962344502, 9941.99717689038, 10612.814379969299, 11283.631912815965, 11954.449145959406]",C,18,670.8173514878769,1.0112021326134654e-07,88.86145800352097,7.759970878534383,False,0,0,"[557.4420067354949, 1228.2585260626852, 1899.0758023365013, 2569.8932494708874, 3240.7105751014997, 3911.5279799581517, 4582.34535511233, 5253.162717536996, 5923.980142387409, 6594.797462226367, 7265.614936945532, 7936.43221405936, 8607.249738820052, 9278.066973073746, 9948.884458298606, 10619.70173930311, 11290.519182389427, 11961.336512762236]",O_unresolved,0,,,8.59312154352665,1.154707209230354,False,0,0,[],3233.823208918135
0.85,0.75,bounded_CCO,True,False,1.4152369623896724e-05,0.002675405003660108,0.0037089357138976953,C,18,670.8173381475881,2.314311306186646e-07,136.29400730133057,12.533421847065854,False,0,0,"[549.0451886404054, 1219.8616997780678, 1890.6789628054814, 2561.4965118026935, 3232.3137186888835, 3903.131255292776, 4573.948484037245, 5244.765965117487, 5915.583258865504, 6586.400684283591, 7257.218043189365, 7928.035412807545, 8598.85283702531, 9269.670150720147, 9940.487640404472, 10611.304898056567, 11282.122453350958, 11952.939654847236]",C,18,670.8173332059541,1.6178981016879958e-07,88.86110782623291,7.798307269840444,False,0,0,"[555.9325890827434, 1226.7490745392151, 1897.5663116957692, 2568.3837997698524, 3239.20107743584, 3910.0185233818033, 4580.835850404624, 5251.653254068513, 5922.47063061976, 6593.287991847317, 7264.105418099658, 7934.922736737326, 8605.74021286328, 9276.55748877203, 9947.375014804094, 10618.192247989207, 11289.009732029555, 11959.827014421957]",O_unresolved,0,,,8.593305945396423,1.1611541607319573,False,0,0,[],3232.3137186888835
0.8475,0.0,bounded_CCO,True,False,1.351256688714815e-06,0.002750570658258761,1.5492427388703316e-05,C,19,612.8317317798428,2.248568921472579e-07,139.07547295093536,8.729067540559322,False,0,0,"[543.816495713894, 1156.6478193166838, 1769.4795575318494, 2382.3111976844366, 2995.1430237616446, 3607.974722917247, 4220.806383812938, 4833.638230510772, 5446.469890626937, 6059.301572252947, 6672.133439554293, 7284.965060659996, 7897.796763003551, 8510.628650882336, 9123.46023300648, 9736.291956054847, 10349.123850305361, 10961.955407653899, 11574.787151394376]",C,19,612.8317288896415,9.540040802728999e-08,90.84410220384598,5.463786128682536,False,0,0,"[550.583393955175, 1163.414621421193, 1776.246462033333, 2389.0780668949783, 3001.90981508448, 3614.7416255907806, 4227.573246466083, 4840.405010522127, 5453.236790947466, 6066.068427820818, 6678.9002077236, 7291.731958102145, 7904.5636109580155, 8517.39540667871, 9130.227127044545, 9743.058795867473, 10355.890607374735, 10968.722297761846, 11581.553982536398]",O_unresolved,0,,,9.259851649403572,1.0333474878381619,False,0,0,[],2995.1430237616446
0.8475,0.25,bounded_CCO,True,False,1.3837635581413009e-05,0.002802943488228035,1.3778981342452754e-05,C,19,612.8317253628751,1.9970369433068735e-07,139.07456398010254,7.411029375717788,False,0,0,"[499.8586978599974, 1112.6879876371456, 1725.5198059995612, 2338.3515196735652, 2951.1831728605316, 3564.0150118954866, 4176.846686519238, 4789.678360441276, 5402.510220086782, 6015.341855689304, 6628.1735503336295, 7241.005430567113, 7853.837027177345, 8466.66874253121, 9079.500643324182, 9692.332200970963, 10305.16393702166, 10917.995806644674, 11530.827377059588]",C,19,612.8317239426136,1.1256564752331122e-07,90.84419161081314,4.719503367381977,False,0,0,"[506.62570624104944, 1119.4548591527719, 1732.28660139168, 2345.118423087841, 2957.950038012687, 3570.781796173261, 4183.61358777571, 4796.4452187044035, 5409.276992719756, 6022.108754262716, 6634.940401179686, 7247.772191024522, 7860.6039225421155, 8473.435585431886, 9086.267391074933, 9699.099092601182, 10311.930771448313, 10924.762592858258, 11537.594264429023]",O_unresolved,0,,,9.259712882339954,0.9065490168265574,False,0,0,[],2951.1831728605316
0.8475,0.5,bounded_CCO,True,False,1.1078852091349856e-05,0.0017095224685233894,1.4884328643065878e-05,C,19,612.8317237288102,1.8739046476703304e-07,139.07545804977417,7.3689364508898585,False,0,0,"[490.49525418924344, 1103.3232527456737, 1716.1550270906882, 2328.986824059424, 2941.818433029468, 3554.650228103088, 4167.481985956619, 4780.313615688906, 5393.1454314062585, 6005.977150175314, 6618.80880065711, 7231.640637002892, 7844.472316717852, 8457.303987936388, 9070.135844894945, 9682.967485584897, 10295.799177527388, 10908.631055077436, 11521.462656771328]",C,19,612.8317226821176,9.635776092659775e-08,90.84413200616837,4.698776038634979,False,0,0,"[497.26221179539624, 1110.0901360561597, 1722.9218443935254, 2335.753694974061, 2948.5853110986577, 3561.4170354206926, 4174.248891178042, 4787.080487993059, 5399.912228208801, 6012.744053832305, 6625.5756666688085, 7238.40742276025, 7851.239218285518, 8464.070847127907, 9076.9026190767, 9689.734384538024, 10302.566029370715, 10915.397817152867, 11528.229552584377]",O_unresolved,0,,,9.259700775146484,0.9050286700182265,False,0,0,[],2941.818433029468
0.8475,0.75,bounded_CCO,True,False,1.3322652904699757e-05,0.0027277851117816485,1.5085124420032535e-05,C,19,612.83172557959,1.8895063629269548e-07,139.07550275325775,7.36484455642757,False,0,0,"[488.98381617119685, 1101.8116239923445, 1714.643448168047, 2327.475150780794, 2940.306809840832, 3553.1386547139655, 4165.970318284711, 4778.8019980762, 5391.6338635546645, 6004.465488112385, 6617.297188622549, 7230.1290746809855, 7842.960660254591, 8455.792381470692, 9068.62427919188, 9681.455834698834, 10294.287576608172, 10907.119435135284, 11519.951011437604]",C,19,612.8317241096393,1.1818735647776191e-07,90.8440500497818,4.696959560758391,False,0,0,"[495.75089216579477, 1108.5784937615356, 1721.4102404666173, 2334.2420536373133, 2947.073673095726, 3559.905435748006, 4172.737218834716, 4785.568854292558, 5398.400632793635, 6011.232385830529, 6624.06403727226, 7236.89583159403, 7849.727554615199, 8462.559222025355, 9075.391032136462, 9688.222725175903, 10301.054408539052, 10913.886234408203, 11526.717897504821]",O_unresolved,0,,,9.259875863790512,0.9050440440440509,False,0,0,[],2940.306809840832
0.845,0.0,bounded_CCO,True,False,1.5743779545313786e-05,0.0017297320152107332,0.009420529411436594,C,21,573.5839982911106,2.3805034293196596e-07,141.3670778274536,10.868063354432516,False,0,0,"[502.78083776002643, 1076.3636009358086, 1649.947473000881, 2223.5315124799745, 2797.1156019409286, 3370.6994659160264, 3944.283497305058, 4517.867603407368, 5091.451459222591, 5665.035482517768, 6238.619605267555, 6812.203452920399, 7385.787468117932, 7959.3716075213115, 8532.955447009275, 9106.539454105365, 9680.123610168497, 10253.707441489561, 10827.291440480389, 11400.875605649495, 11974.459436362893]",C,21,573.5839940789841,1.4691924642674114e-07,92.46271103620529,6.872091301068099,False,0,0,"[509.4538919957815, 1083.0365407303511, 1656.6206410611114, 2230.204519575977, 2803.788527594315, 3377.3726408710468, 3950.9565130524707, 4524.540514825505, 5098.124640987352, 5671.708506831075, 6245.292502354313, 6818.876625760391, 7392.460500911638, 7966.044490180584, 8539.628607405866, 9113.212495293996, 9686.796478304193, 10260.380589346256, 10833.964489978487, 11407.548466725706, 11981.132571583208]",O_unresolved,0,,,9.721573442220688,0.9996601881272533,False,0,0,[],2797.1156019409286
0.845,0.25,bounded_CCO,True,False,9.607898260469977e-07,0.0015543049151801455,0.0016565605507717987,C,21,573.5839995385522,1.199155095411205e-07,141.3668543100357,13.303820082723552,False,0,0,"[458.80424228090385, 1032.3823116555277, 1605.9661981197671, 2179.5501614985947, 2753.1342913990734, 3326.718194737884, 3900.3021499907495, 4473.88627184369, 5047.470191757167, 5621.05413888083, 6194.638252682437, 6768.22218917657, 7341.806128168255, 7915.390233914731, 8488.974186995412, 9062.558117852348, 9636.142215539896, 10209.726185213007, 10783.310107932422, 11356.894197557245, 11930.478183828664]",C,21,573.5839950247009,9.705927056765785e-08,92.46248751878738,8.267687832190285,False,0,0,"[465.477573464178, 1039.0552062373417, 1612.6392898097638, 2186.2232464498793, 2759.807195664689, 3333.391273368223, 3906.975242791551, 4480.559185720601, 5054.14325723142, 5627.727239445873, 6201.311176084914, 6774.8952413983325, 7348.479236412284, 7922.063166757063, 8495.647225868304, 9069.231233690127, 9642.81515773639, 10216.399210640677, 10789.983231278733, 11363.567149022227, 11937.15119571478]",O_unresolved,0,,,9.721505455672741,1.2277194647120309,False,0,0,[],2753.1342913990734
0.845,0.5,bounded_CCO,True,False,3.7243495298005622e-06,0.001468071142516333,0.0011086290654478725,C,21,573.5839993055888,1.295778004793781e-07,141.36731624603271,13.411067205573248,False,0,0,"[449.428938310739, 1023.0038385965618, 1596.5876958546569, 2170.1716734818538, 2743.7558174932487, 3317.339691771193, 3890.9236612792047, 4464.5077972497065, 5038.091688086966, 5611.675649471911, 6185.259777397737, 6758.843684803641, 7332.427638061716, 7906.011757939073, 8479.59568192118, 9053.179627049374, 9626.763738874466, 10200.347679438677, 10773.931616434213, 11347.51572020324, 11921.099677355443]",C,21,573.5839948480825,9.175621912755982e-08,92.46253222227097,8.32670003985763,False,0,0,"[456.1023910218147, 1029.6767159637607, 1603.2608102258323, 2176.8447444543563, 2750.428704687799, 3324.012793251937, 3897.5967402509114, 4471.180694206036, 5044.764776580829, 5618.348736357499, 6191.932684030068, 6765.516760214177, 7339.100732775891, 7912.684674161658, 8486.26874415197, 9059.852729506867, 9633.43666460158, 10207.020728393321, 10780.60472654977, 11354.188655349179, 11927.772712937569]",O_unresolved,0,,,9.721588343381882,1.2370589432750871,False,0,0,[],2743.7558174932487
0.845,0.75,bounded_CCO,True,False,1.5056065104483222e-05,0.0011487380696920072,0.0010487650561417968,C,21,573.5839983485257,2.3043913643566127e-07,141.36725664138794,13.423796919520253,False,0,0,"[447.9152601290667, 1021.4894755340798, 1595.0733435959262, 2168.6573795411637, 2742.2414762714593, 3315.825336682067, 3889.4093645356106, 4462.993477909938, 5036.577330159576, 5610.161349917609, 6183.745479942085, 6757.329324028252, 7330.9133356869825, 7904.497482367721, 8478.08131828795, 9051.665321843571, 9625.249485186838, 10198.833312939736, 10772.417308388423, 11346.001470049512, 11919.585307985313]",C,21,573.5839941223494,1.416564813203052e-07,92.46232360601425,8.333577448804258,False,0,0,"[454.5886817314111, 1028.1624091769518, 1601.746514678742, 2175.330390427221, 2748.91439571773, 3322.4985146225135, 3896.0823840357166, 4469.66638307896, 5043.250509964354, 5616.834377946256, 6190.41837073774, 6764.002491443976, 7337.586372158685, 7911.170358693911, 8484.754473218118, 9058.338366672862, 9631.922346947475, 10205.506455287854, 10779.090361489858, 11352.674335499654, 11926.258437654902]",O_unresolved,0,,,9.721565991640091,1.2381094371474268,False,0,0,[],2742.2414762714593
0.84,0.0,bounded_CCO,True,False,1.1505445816561223e-05,0.002135533356231346,0.001419021381823115,C,23,520.5862258253916,1.7635488950728392e-07,144.95359361171722,13.729980016757406,False,0,0,"[447.2475134021237, 967.8287782764461, 1488.4150298131458, 2009.0014304816768, 2529.5875175855635, 3050.1737363797597, 3570.7601038028633, 4091.3462652973035, 4611.932450494528, 5132.518784595127, 5653.10502058299, 6173.6911721553815, 6694.277472859354, 7214.8637834433575, 7735.449901362406, 8256.036168595712, 8776.62255389457, 9297.20863813072, 9817.79487182514, 10338.381254010845, 10858.967382480394, 11379.553582590004, 11900.13993148702]",C,23,520.5862373292015,1.718240130506675e-07,94.94909644126892,8.513289017062784,False,0,0,"[453.78449627621626, 974.3658526742263, 1494.9519906361193, 2015.5382462331945, 2536.1246131779276, 3056.7107254979132, 3577.2969549574022, 4097.883299896441, 4618.469466313291, 5139.055669550178, 5659.641988663156, 6180.22821308191, 6700.8143900141185, 7221.400683198428, 7741.986965805631, 8262.573116351121, 8783.159383519971, 9303.745724501296, 9824.331848583932, 10344.91808965283, 10865.504446018966, 11386.090586756802, 11906.676801640435]",O_unresolved,0,,,10.148090310394764,1.2271908172750157,False,0,0,[],2529.5875175855635
0.84,0.25,bounded_CCO,True,False,3.6030270017733543e-06,0.0022709096698058998,0.0003976590674670753,C,23,520.5862507664982,1.3120647489354018e-07,144.95429396629333,13.766966271725392,False,0,0,"[403.225341827211, 923.7904638614381, 1444.3768593035177, 1964.962950083245, 2485.5491672163266, 3006.135532993038, 3526.7216981696747, 4047.307881704422, 4567.89421415491, 5088.480453829945, 5609.066603738466, 6129.652902788663, 6650.239217065324, 7170.825333319065, 7691.411598895034, 8211.997987892562, 8732.584070461919, 9253.170302495819, 9773.756683036836, 10294.342815186363, 10814.929013634102, 11335.515360882622, 11856.101567485857]",C,23,520.5862288310424,1.4710047037579726e-07,94.94827687740326,8.529431535165289,False,0,0,"[409.763002658752, 930.3274262467287, 1450.9136768438464, 1971.5000462353821, 2492.0861576926054, 3012.6723858570613, 3533.25872952116, 4053.8448988024843, 4574.431100740226, 5095.017418573087, 5615.603645865555, 6136.1898214945595, 6656.776113394077, 7177.362398884199, 7697.948548122529, 8218.534814002429, 8739.12115787584, 9259.707280647743, 9780.293520423487, 10300.87987551697, 10821.466019115169, 11342.052232701446, 11862.638562010097]",O_unresolved,0,,,10.148231871426105,1.2287934653590176,False,0,0,[],2485.5491672163266
0.84,0.5,bounded_CCO,True,False,7.418876169479124e-06,0.001578977778956682,0.0003169490480525321,C,23,520.586239088083,1.5634331143636049e-07,144.95429396629333,13.766914735522173,False,0,0,"[393.8208234723183, 914.3752316131198, 1434.9613029685356, 1955.547526426865, 2476.1338984730237, 2996.7200496269334, 3517.3062394930453, 4037.8925782271986, 4558.478803860548, 5079.064960105736, 5599.6512654535445, 6120.237565667913, 6640.823688263769, 7161.4099601510225, 7681.99633506335, 8202.582423980472, 8723.168662338008, 9243.755049141984, 9764.341167277234, 10284.927372054022, 10805.513725580055, 11326.099918150006, 11846.686089318271]",C,23,520.5862477666391,1.1939198388085816e-07,94.94833648204803,8.529075954788869,False,0,0,"[400.35888763045557, 920.9120425141335, 1441.4983957076756, 1962.0845117097101, 2482.6707448053203, 3003.257093323801, 3523.843251697912, 4044.429458582522, 4565.015781289479, 5085.601997639538, 5606.188178230859, 6126.774475022557, 6647.360749535192, 7167.946903751014, 7688.533174538924, 8209.11950739993, 8729.705635163165, 9250.29187986291, 9770.878239802063, 10291.4643725087, 10812.05059103503, 11332.63692520901, 11853.223115808618]",O_unresolved,0,,,10.148233734071255,1.228503696178969,False,0,0,[],2476.1338984730237
