q,phase,additive_mv,outcome,contained_local_cycle,bounded_ceiling_cycle,core_poincare_closure_scaled,core_recent_peak_drift,final_fast_rhs_max_per_ms,core_status,core_returns,core_period_ms,core_period_cv,core_peak_hz,core_tail_mean_hz,core_sustained_ceiling,core_support_violations,core_bound_violations,core_return_times_ms,annulus_status,annulus_returns,annulus_period_ms,annulus_period_cv,annulus_peak_hz,annulus_tail_mean_hz,annulus_sustained_ceiling,annulus_support_violations,annulus_bound_violations,annulus_return_times_ms,bath_status,bath_returns,bath_period_ms,bath_period_cv,bath_peak_hz,bath_tail_mean_hz,bath_sustained_ceiling,bath_support_violations,bath_bound_violations,bath_return_times_ms
0.855,0.75,0.0,bounded_CCO,True,False,1.8322266889773736e-06,0.00040069946620358444,4.787468476432147e-06,C,10,1146.0910946849874,4.074640996417314e-08,128.1779259443283,7.550224759072221,False,0,0,"[1146.090905205179, 2292.18199060171, 3438.2731891486137, 4584.364369825478, 5730.455376720028, 6876.5464972833, 8022.6377307678695, 9168.72881694588, 10314.819859166351, 11460.911014822832]",C,11,1146.0911167795537,6.856940829513094e-08,83.02541077136993,4.766318491407245,False,0,0,"[7.27558997519941, 1153.3666975992985, 2299.4577290833436, 3445.548844966772, 4591.640044392167, 5737.731155464666, 6883.822213213464, 8029.913355094746, 9176.004580247916, 10322.095621505368, 11468.186705433407]",O_unresolved,0,,,6.547768134623766,0.931147990263571,False,0,0,[]
0.855,0.75,0.012776645604,LLL,False,False,,,1.1842943752407575e-09,L,0,,,128.07652354240417,3.224703449358097,False,0,0,[],L,1,,,82.93292671442032,2.2070470889714247,False,0,0,[7.278306539989621],L,0,,,6.498761009424925,0.8664192696206063,False,0,0,[]
0.855,0.75,0.022776645604,LLL,False,False,,,3.469446951953614e-18,L,0,,,127.99839675426483,2.6948670856654644,False,0,0,[],L,1,,,82.86044746637344,1.9491284620016813,False,0,0,[7.280436485079245],L,0,,,6.484221667051315,0.8552900981158018,False,0,0,[]
0.855,0.75,0.037776645604,LLL,False,False,,,3.469446951953614e-18,L,0,,,127.88096070289612,2.413172274827957,False,0,0,[],L,1,,,82.75157958269119,1.805099076591432,False,0,0,[7.28363759471313],L,0,,,6.4624520018696785,0.8492434280924499,False,0,0,[]
0.855,0.75,0.062776645604,LLL,False,False,,,3.4212601887320364e-18,L,0,,,127.68462300300598,2.1234231535345316,False,0,0,[],L,1,,,82.56970345973969,1.6505472594872117,False,0,0,[7.288989356063668],L,0,,,6.426275707781315,0.8428919245488942,False,0,0,[]
0.855,0.75,0.112776645604,LLL,False,False,,,3.4212601887320364e-18,L,0,,,127.28962302207947,1.7604667227715254,False,0,0,[],L,1,,,82.20437914133072,1.4453982003033161,False,0,0,[7.299755501951311],L,0,,,6.354323588311672,0.834682781714946,False,0,0,[]
0.855,0.75,0.212776645604,LLL,False,False,,,3.469446951953614e-18,L,0,,,126.49014592170715,1.3318689307197928,False,0,0,[],L,1,,,81.46734535694122,1.180961960926652,False,0,0,[7.32154186601041],L,0,,,6.212032865732908,0.8244763012044132,False,0,0,[]
0.8525,0.0,0.0,bounded_CCO,True,False,5.949604862687662e-06,0.002276736577054717,2.9846173352513227e-05,C,15,775.4405932558669,7.813081372833032e-08,132.7972114086151,7.179929734023656,False,0,0,"[775.440262792657, 1550.8809901268164, 2326.3214054994874, 3101.762096847888, 3877.202551947239, 4652.643207262828, 5428.083702142427, 6203.52432137937, 6978.964856092641, 7754.405439207759, 8529.846013806211, 9305.286560756102, 10080.727175283544, 10856.16768602456, 11631.608340523702]",C,16,775.4405751379157,2.7712441934019133e-08,86.35152131319046,4.572862885871943,False,0,0,"[7.048256264869003, 782.4887933893425, 1557.9292675769111, 2333.369957516281, 3108.8104043016137, 3884.2511140741813, 4659.691543830452, 5435.13222666598, 6210.572686171888, 6986.0133420236125, 7761.453831336901, 8536.894460156012, 9312.334979334324, 10087.775581064254, 10863.21613016501, 11638.656704748071]",O_unresolved,0,,,7.692379876971245,0.8897978256288321,False,0,0,[]
0.8525,0.0,0.050909912931,LLL,False,False,,,1.1612697824181506e-09,L,0,,,132.40499794483185,3.1442831139342333,False,0,0,[],L,1,,,85.98436415195465,2.160820364580302,False,0,0,[7.057970946669506],L,0,,,7.590244058519602,0.8644923642593735,False,0,0,[]
0.8525,0.0,0.060909912931,LLL,False,False,,,3.469446951953614e-18,L,0,,,132.331982254982,2.6283615734428167,False,0,0,[],L,1,,,85.91483533382416,1.909955171868205,False,0,0,[7.059887523924558],L,0,,,7.57219921797514,0.8536961977370083,False,0,0,[]
