candidate_id,unit,event_id,window_start_ms,mode,local_width_ms,contact_overlap,centroid_span_ms,simultaneous_secondary_fraction,largest_family_fraction,unknown_or_collision_fraction,core2_minus_core1_peak_ms,absolute_core_lag_ms,outside_peak_density_share,native_active_cell_frames,disconnected_mass_010,disconnected_mass_020,disconnected_mass_030,recruitment_span_ms
tshape_anchor3_B_minus,topo_6101_dyn_842901,13,6188.0,1,16.200030568179955,0.25,36.44517670586356,0.27421210135330215,0.3401494910795712,0.017753784250734393,18.0,18.0,0.302227183902635,218207.0,0.22857448819484213,0.2842502414585524,0.29954871172370584,36.23728710409705
tshape_anchor3_B_minus,topo_6101_dyn_842901,14,6482.0,1,22.2017320226023,0.08695652173913043,58.670892175564404,0.4227022062805134,0.40199964477714095,0.03989325986284932,24.0,24.0,1.0,230841.0,0.22134855191713676,0.23364653725690798,0.280692929954823,58.824099214542
tshape_anchor3_B_minus,topo_6101_dyn_842901,15,6798.0,0,19.51778292471863,0.0,118.46423923032944,0.19662686031303694,0.5049323405964969,0.02910251916945197,-24.0,24.0,0.536854582604384,233966.0,0.13593925490995348,0.14793074641643203,0.16166363475523174,118.618489292714
tshape_anchor3_B_minus,topo_6101_dyn_842901,16,7346.0,1,21.17136832831693,0.0,137.1558258533969,0.17842057876259132,0.5407605247415267,0.012254442839791891,-16.0,16.0,0.9966582358771761,165491.0,0.17850224165605802,0.17985765572841217,0.18116258030083116,137.88287444175148
tshape_anchor3_B_minus,topo_6101_dyn_842901,17,7624.0,0,20.966318892678828,0.0,111.37204429621852,0.11254572597463276,0.3907590796686078,0.027036728926166084,12.0,12.0,0.8401124406652463,175502.0,0.13105782303086402,0.13558239770127176,0.1562123666595348,111.19320256946685
tshape_anchor3_B_minus,topo_6101_dyn_842901,18,7924.0,1,21.179620195707685,0.3125,27.3688452604938,0.17919249962195674,0.7157338799558669,0.008154532878561308,2.0,2.0,0.3215308168298131,178551.0,0.2205955955955956,0.24256069820342602,0.26303114120845056,27.29729914377458
tshape_anchor3_B_minus,topo_6101_dyn_842901,19,8176.0,0,23.85414678856887,0.27046783625730997,25.766044828953454,0.2840113476522371,0.3269562056485389,0.055959888103930586,-14.0,14.0,0.3629901977981883,253092.0,0.13397666875957304,0.1363906360610918,0.1531158186431624,30.438864838803056
tshape_anchor3_B_minus,topo_6101_dyn_842901,20,8468.0,0,19.866234660621558,0.0,51.648327859182245,0.20336959061291243,0.6329729238597129,0.0037057708782222685,-18.0,18.0,0.9885100763691507,154084.0,0.3262242140644566,0.33897906374970593,0.33880811033603725,51.754789222926775
tshape_anchor3_B_minus,topo_6101_dyn_842901,21,8838.0,0,22.034981132628673,0.09917355371900827,120.56417736147887,0.09236493337195828,0.4402656068945539,0.016281322421784473,-12.0,12.0,0.9938720720625858,220928.0,0.14028894224368657,0.1504060669250658,0.1486469628634488,223.9191750989794
tshape_anchor3_B_minus,topo_6101_dyn_842901,22,9302.0,0,20.839018089569436,0.2222222222222222,42.47465159068997,0.41387588587567664,0.5056826799864014,0.01353591882632914,76.0,76.0,1.0,191195.0,0.3255109765329296,0.34673604287148757,0.3457720203832312,42.31883698423189
tshape_anchor3_B_minus,topo_6101_dyn_842901,23,10164.0,0,22.0708967994251,0.0,103.63885765190571,0.0042282531878008855,0.6293150833871932,0.0034430061672092926,12.0,12.0,0.1875367551231678,165553.0,0.08795537801667802,0.08772051236882503,0.0951130306213766,104.07441242502864
