condition_index,candidate_id,name,placement,unit,N,observation_loss,R_unsupported,total_loss,node_gain,E_to_E_weight_scale,E_to_I_weight_scale,I_to_E_weight_scale,tau_d_GABA_ms,participation,centroid_structure,local_shape,recruitment,joint_envelope
6,tshape_anchor2_A_plus,Place 2: timing A +,2,topo_6101_dyn_7101,29,0.7301666099040368,0.9156640581116801,0.9924406115565458,0.8835950509250055,0.8946324292756024,0.858985081471505,1.0868722845962038,23.354598503525622,0.37558057045629034,0.15537376109436443,1.4874247295538479,0.5616906009314883,1.070763387484193
6,tshape_anchor2_A_plus,Place 2: timing A +,2,topo_6102_dyn_7101,37,0.7436793649379358,0.9604532062233986,1.0187823391833983,0.8835950509250055,0.8946324292756024,0.858985081471505,1.0868722845962038,23.354598503525622,0.3607068376107212,0.16975058642591226,1.4293937703819621,0.5693843359424868,1.1891612943285965
7,tshape_anchor2_A_minus,Place 2: timing A -,2,topo_6101_dyn_7101,15,,0.9116430993435458,,1.1164049490749945,1.1053675707243975,1.141014918528495,0.9131277154037962,12.645401496474378,,,,,
7,tshape_anchor2_A_minus,Place 2: timing A -,2,topo_6102_dyn_7101,10,,0.8342492959354105,,1.1164049490749945,1.1053675707243975,1.141014918528495,0.9131277154037962,12.645401496474378,,,,,
8,tshape_anchor3_A_plus,Place 3: timing A +,3,topo_6101_dyn_7101,26,0.4384134212358111,0.9600903043807102,0.7134124493695465,0.8073091281904243,1.088244503121446,1.114756824215474,0.9157965313386124,14.949828795467033,0.13108897072540804,0.2162638352610699,1.2573051443755658,0.25328900565059365,0.33412015016641816
8,tshape_anchor3_A_plus,Place 3: timing A +,3,topo_6102_dyn_7101,51,0.4014584678164475,0.9103398540024269,0.6622074556770771,0.8073091281904243,1.088244503121446,1.114756824215474,0.9157965313386124,14.949828795467033,0.0774625930319863,0.1385872833275227,1.2161804685443514,0.15950091147048334,0.4155610827078938
9,tshape_anchor3_A_minus,Place 3: timing A -,3,topo_6101_dyn_7101,30,0.5362401914220694,0.9217126574756696,0.8002466956725921,0.5926908718095756,0.9117554968785538,0.885243175784526,1.0842034686613877,21.05017120453297,0.1714437014984232,0.18772754803009975,1.3503905436425885,0.36861989493025266,0.6030192690089824
9,tshape_anchor3_A_minus,Place 3: timing A -,3,topo_6102_dyn_7101,31,0.49831265700865607,0.9574345154319638,0.772550986511751,0.5926908718095756,0.9117554968785538,0.885243175784526,1.0842034686613877,21.05017120453297,0.11386636170242011,0.2693121247291419,1.3640772432958443,0.24183643375642605,0.502471121559448
10,tshape_anchor1_B_plus,Place 1: timing B +,1,topo_6101_dyn_7101,30,0.3738166008796603,0.8305356441373781,0.6117072387978592,0.7979111862778727,1.145714138771858,1.0813985185763955,1.1039010928337039,15.227585880300282,0.05692525841398878,0.17624513870963085,1.3517725730180983,0.12362962833831088,0.16051040591827265
10,tshape_anchor1_B_plus,Place 1: timing B +,1,topo_6102_dyn_7101,34,0.465037305877674,0.8945754649721469,0.7212708938403268,0.7979111862778727,1.145714138771858,1.0813985185763955,1.1039010928337039,15.227585880300282,0.13220690488207087,0.22118361930346958,1.3172644112368395,0.2164406067444043,0.4380909872215858
