candidate,stage,topology,noise,comparison,description,layer,mode,n,SCL_any,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,rank_correlation,rank_shared_contacts,lag_joint_n,SCL_minus_ICL_lag_median_ms,SCL_minus_ICL_lag_q05_ms,SCL_minus_ICL_lag_q95_ms,mean_contacts_per_event,pair_order_probability_mae,pair_order_supported_pairs,local_width_ms_n,local_width_ms_mean,local_width_ms_median,local_width_ms_variance,local_width_ms_q05,local_width_ms_q95,recruitment_span_ms_n,recruitment_span_ms_mean,recruitment_span_ms_median,recruitment_span_ms_variance,recruitment_span_ms_q05,recruitment_span_ms_q95,B_minus_A_t10_ms_n,B_minus_A_t10_ms_mean,B_minus_A_t10_ms_median,B_minus_A_t10_ms_variance,B_minus_A_t10_ms_q05,B_minus_A_t10_ms_q95,B_minus_A_t50_ms_n,B_minus_A_t50_ms_mean,B_minus_A_t50_ms_median,B_minus_A_t50_ms_variance,B_minus_A_t50_ms_q05,B_minus_A_t50_ms_q95,first_10pct_mass_core_share_n,first_10pct_mass_core_share_mean,first_10pct_mass_core_share_median,first_10pct_mass_core_share_variance,first_10pct_mass_core_share_q05,first_10pct_mass_core_share_q95,peak_active_components_n,peak_active_components_mean,peak_active_components_median,peak_active_components_variance,peak_active_components_q05,peak_active_components_q95,peak_largest_component_fraction_n,peak_largest_component_fraction_mean,peak_largest_component_fraction_median,peak_largest_component_fraction_variance,peak_largest_component_fraction_q05,peak_largest_component_fraction_q95,union_active_area_mm2_n,union_active_area_mm2_mean,union_active_area_mm2_median,union_active_area_mm2_variance,union_active_area_mm2_q05,union_active_area_mm2_q95,peak_active_area_mm2_n,peak_active_area_mm2_mean,peak_active_area_mm2_median,peak_active_area_mm2_variance,peak_active_area_mm2_q05,peak_active_area_mm2_q95,native_spatial_rms_mm_n,native_spatial_rms_mm_mean,native_spatial_rms_mm_median,native_spatial_rms_mm_variance,native_spatial_rms_mm_q05,native_spatial_rms_mm_q95
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2612,847302,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,primary,ALL,163,1.0,0.7699386503067485,0.966536530953709,1.0,0.14333919832677017,-0.807142857142857,15,163,31.248247272887966,-25.776643169292946,38.14530806684052,14.036809815950921,0.37141516578407874,105,163,16.957055214723926,16.0,0.9672801635991819,16.0,18.0,163,64.06134969325153,72.0,388.0702870559721,34.0,87.80000000000001,163,-2.5472942345764915,-10.020540540539514,3204.7441798829013,-64.382577317291,67.38238216702302,163,-3.9853636045481404,-14.16377552528138,3006.971342507521,-62.864770443254656,65.23907377683045,163,0.1765015714796872,0.18858606182549845,0.00396818249793998,0.08510463643054056,0.264458522979105,163,1.705521472392638,2.0,0.5176853745360903,1.0,3.0,163,0.9226271628175894,0.9723557692307693,0.01364823564704754,0.6687799710362159,1.0,163,369.2638036809816,368.0,250.9484965538135,335.3,395.0,163,105.33742331288343,100.0,218.4965538135272,86.1,132.9,163,7.683622063939983,7.667603804199801,0.023627765745063496,7.415468561705913,7.993682444940205
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2612,847302,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,primary,TA,63,1.0,0.5476190476190477,0.9206349206349206,1.0,0.203706959088653,0.5928571428571427,15,63,-19.729266181944695,-27.392993803902208,17.046246308114128,13.015873015873016,0.23497368116831024,105,63,16.0,16.0,0.0,16.0,16.0,63,50.98412698412698,48.0,473.27393753200204,30.2,117.8,63,62.19340362492462,64.7084855769208,73.63591451067286,42.02035072778362,68.47692481202903,63,59.416122754598504,63.35336113663652,70.6408636240002,43.937250197742834,66.30868590499213,63,0.11666477673420354,0.10705690551975779,0.0012152957592689816,0.08158693194023448,0.16927037837997277,63,1.9523809523809523,2.0,0.49769585253456217,1.0,3.0,63,0.8979037184493719,0.9124674710196357,0.007464924226529951,0.7550759194866038,1.0,63,367.7936507936508,368.0,465.1664106502817,329.2,395.9,63,104.82539682539682,105.0,190.53353814644137,84.1,129.0,63,7.689669825585324,7.687454304518575,0.03407158331908877,7.381916234283664,7.95357282212001
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2612,847302,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,primary,TB,100,1.0,0.9099999999999999,0.9954545454545456,1.0,0.21057178904870047,0.5392857142857141,15,100,35.77534414662114,-4.687461908506111,38.1831682142553,14.68,0.3676273651297655,105,100,17.56,18.0,0.6327272727272729,16.0,18.0,100,72.3,74.0,161.24242424242422,51.9,86.0,100,-43.333933886062184,-60.71565095511687,850.4301171437916,-65.24169019742912,16.2487113572705,100,-43.928300010810524,-59.438312571239294,706.6833666208856,-63.12373678084532,13.357318491231851,100,0.21419875216934184,0.21960163614998007,0.0020184003844012604,0.11590825282897663,0.27708357860931787,100,1.55,1.0,0.4722222222222224,1.0,3.0,100,0.9382029327695665,1.0,0.017024441854819872,0.5724824688025829,1.0,100,370.19,368.0,117.08474747474749,357.9,394.05,100,105.66,97.0,237.9438383838384,89.0,135.0,100,7.679811974103418,7.660365356199502,0.017287918736794184,7.520052575614238,8.003152996555631
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2612,847302,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,all_detected,ALL,185,1.0,0.7621621621621621,0.9631449631449631,1.0,0.1444902869485571,-0.7285714285714285,15,185,29.471880188943032,-26.189724393128564,38.10848046425744,13.978378378378379,0.3526049348928278,105,185,16.90810810810811,16.0,0.9643360752056404,16.0,18.0,185,63.78378378378378,66.0,382.47473560517034,34.800000000000004,87.59999999999997,185,0.2519566479377084,-5.808545454543491,3313.0923090607034,-64.31396849810153,67.71789473684184,185,-1.185088901362612,-9.451168984905962,3110.1691974713567,-62.75211598966125,65.7171618664899,185,0.17441847663514665,0.18348756506651243,0.003990685365818492,0.0846079771341702,0.2629361079152837,185,1.681081081081081,2.0,0.522737955346651,1.0,3.0,185,0.9257072648529457,0.9857667584940312,0.012784989508265765,0.7059551640612064,1.0,185,368.9027027027027,368.0,249.62091656874267,335.6,395.0,185,104.21621621621621,99.0,212.82256169212692,85.0,132.0,185,7.682127913003315,7.669596420534979,0.023268894907198547,7.420118447613033,7.9935778581837384
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2612,847302,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,all_detected,TA,77,1.0,0.5454545454545454,0.9173553719008264,1.0,0.20736256274425663,0.5928571428571427,15,77,-20.800731043498672,-27.43894748925377,22.084662269188335,12.96103896103896,0.23133770922836291,105,77,16.0,16.0,0.0,16.0,16.0,77,51.48051948051948,48.0,450.14764183185235,31.6,118.0,77,62.93775796567533,65.21630552545685,63.077940103728,42.59946486117078,68.59104761904746,77,60.11369592544694,63.78470165044564,62.80607283960705,45.57460574060387,66.35974951878015,77,0.11791264884878243,0.106879812520924,0.001363246244387683,0.08080539881114918,0.19179438132682916,77,1.922077922077922,2.0,0.5201640464798359,1.0,3.0,77,0.9017603989719263,0.9136745607333843,0.00740911890230436,0.7554609123781866,1.0,77,367.24675324675326,363.0,444.2409432672592,330.6,395.2,77,103.02597402597402,105.0,191.57826384142172,82.8,129.0,77,7.687158467363249,7.687454304518575,0.03326194650053466,7.385157364787772,7.961672797653593
up3__circle__EE_core_to_out_scale_1.25__x_minus075,confirmation,2612,847302,up3__circle__EE_core_to_out_scale_1.25,圆核｜离核EE×1.25，同核EI×1｜x_minus075,all_detected,TB,108,1.0,0.9166666666666666,0.9957912457912457,1.0,0.21215203596228077,0.5071428571428571,15,108,35.77156303323136,-3.9530868945381816,38.053239060382836,14.703703703703704,0.37087531703160137,105,108,17.555555555555557,18.0,0.6417445482866045,16.0,18.0,108,72.55555555555556,74.0,151.38940809968847,52.0,86.0,108,-44.44069799526411,-60.77428181603409,808.5982298502197,-65.21683749916102,14.162819681407994,108,-44.88885215751387,-59.48732820128771,671.8240047308507,-63.100479767648,12.58085824347998,108,0.21470503903838775,0.22025116427784436,0.0019583239686321377,0.11984616488568034,0.27452991502775015,108,1.5092592592592593,1.0,0.45785739010038085,1.0,3.0,108,0.9427804933051541,1.0,0.01601596004901006,0.5863000440136709,1.0,108,370.0833333333333,368.0,110.33878504672896,358.35,394.0,108,105.06481481481481,97.0,228.15463828314293,89.0,135.0,108,7.678541314061509,7.662654960339071,0.01635729767672198,7.519062504306442,7.999801213106588
up3__ellipse4__EI_same_core_scale_0.75__radius205,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜radius205,primary,ALL,149,1.0,0.9966442953020134,0.9908480780964003,1.0,0.17853666154060288,-0.9607142857142855,15,149,35.06918998262154,-24.060622775646515,35.92852258030471,14.89261744966443,0.5380236975997346,105,149,16.7248322147651,16.0,0.9170143297660074,16.0,18.0,149,69.55704697986577,74.0,109.50516959912933,42.400000000000006,76.0,149,-42.80809960913261,-59.77649307214597,1544.64393472439,-61.1166711648264,59.76581531751599,149,-43.085905013544874,-59.8138239875334,1504.5059767374505,-60.9856714220663,57.851911277770704,149,0.2826548503412124,0.2807707129094412,0.0002734014847339273,0.2663740369815255,0.3023028100033332,149,2.040268456375839,2.0,0.3767458733901687,1.0,3.0,149,0.9407661781815289,0.935952380952381,0.0027779693886888237,0.9081025429043618,1.0,149,372.09395973154363,374.0,125.05867948485397,346.2,395.6,149,99.63758389261746,97.0,141.2596589878469,88.0,131.0,149,7.762680844864685,7.775611966358662,0.01068892533345685,7.611816559553314,8.017063598437005
up3__ellipse4__EI_same_core_scale_0.75__radius205,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜radius205,primary,TA,19,1.0,0.9736842105263157,0.937799043062201,1.0,0.19118742545691988,0.8178571428571428,15,19,-23.161725674304762,-30.63232956050583,-17.204022437566806,14.263157894736842,0.2313886654193776,105,19,16.105263157894736,16.0,0.09941520467836258,16.0,17.0,19,48.31578947368421,52.0,76.11695906432749,35.2,58.199999999999996,19,54.510395521651674,59.641666666662786,105.34412262099569,34.75502375824472,61.76819015626565,19,53.017076575316615,57.785285285281134,99.83948509444832,34.01394250374979,60.74727441470168,19,0.287109663736925,0.2849834723752558,0.00010956232052252545,0.2721425040431945,0.3039609251434319,19,2.0,2.0,0.0,2.0,2.0,19,0.9409334345228473,0.939742721733243,0.0009050421483355512,0.8996725188325367,0.9795450477317246,19,372.10526315789474,373.0,35.98830409356725,362.9,381.0,19,110.84210526315789,107.0,132.80701754385964,99.8,131.2,19,7.654412251986595,7.645106361631254,0.001801160485406703,7.602794894953814,7.7170177554808514
up3__ellipse4__EI_same_core_scale_0.75__radius205,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜radius205,primary,TB,130,1.0,1.0,0.9986013986013986,1.0,0.23087948135639283,0.5071428571428571,15,130,35.16873364869389,26.1312293955863,35.958157647468035,14.984615384615385,0.3940735901986748,105,130,16.815384615384616,16.0,0.9734048896839594,16.0,18.0,130,72.66153846153846,74.0,38.8457960644007,64.9,76.0,130,-57.03157197440109,-59.85707306693439,158.6377995334905,-61.1221971120498,-36.77742442389424,130,-57.131725399609245,-59.96265770307491,153.0452430158531,-61.008693188766756,-38.3635696884359,130,0.2820037622295313,0.28023961971815564,0.00029503199256590367,0.2661218773974058,0.29932037671251904,130,2.046153846153846,2.0,0.43196183661299936,1.0,3.0,130,0.9407417330239515,0.9358672449489541,0.0030608379973129513,0.9126922288125299,1.0,130,372.0923076923077,374.0,138.45652951699464,343.9,396.0,130,98.0,96.0,122.34108527131782,88.0,121.19999999999999,130,7.778504716131483,7.777288950496021,0.010033093391466677,7.621209294150093,8.018261027099399
up3__ellipse4__EI_same_core_scale_0.75__radius205,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜radius205,all_detected,ALL,159,1.0,0.9968553459119497,0.9914236706689536,1.0,0.17898690284180024,-0.9607142857142855,15,159,35.10129753594447,-23.90110328628534,35.93660345091048,14.89937106918239,0.5454321934377164,105,159,16.71698113207547,16.0,0.9130642464771912,16.0,18.0,159,69.81132075471699,74.0,103.63506090279436,45.400000000000006,76.0,159,-43.883061385441245,-59.78557278208609,1464.2352065536547,-61.11517656107462,59.74604364808356,159,-44.15205282489072,-59.84494915254618,1426.3585736833759,-60.997675913014064,57.81248548830481,159,0.2826431031870686,0.28108847674065063,0.00025840033694940744,0.26650349073126184,0.3003517133602013,159,2.0440251572327046,2.0,0.38412546771753836,1.0,3.0,159,0.9412666322379302,0.935952380952381,0.0026771301005092214,0.9082329068494992,1.0,159,371.8050314465409,374.0,128.70225300533394,345.9,395.1,159,99.40880503144655,97.0,134.59764349972133,88.0,131.0,159,7.761743303925517,7.7759239838317455,0.010375030703652744,7.615707864916074,8.015606264742965
up3__ellipse4__EI_same_core_scale_0.75__radius205,response,2511,847101,up3__ellipse4__EI_same_core_scale_0.75,椭圆4:1｜离核EE×1，同核EI×0.75｜radius205,all_detected,TA,19,1.0,0.9736842105263157,0.937799043062201,1.0,0.19118742545691988,0.8178571428571428,15,19,-23.161725674304762,-30.63232956050583,-17.204022437566806,14.263157894736842,0.2313886654193776,105,19,16.105263157894736,16.0,0.09941520467836258,16.0,17.0,19,48.31578947368421,52.0,76.11695906432749,35.2,58.199999999999996,19,54.510395521651674,59.641666666662786,105.34412262099569,34.75502375824472,61.76819015626565,19,53.017076575316615,57.785285285281134,99.83948509444832,34.01394250374979,60.74727441470168,19,0.287109663736925,0.2849834723752558,0.00010956232052252545,0.2721425040431945,0.3039609251434319,19,2.0,2.0,0.0,2.0,2.0,19,0.9409334345228473,0.939742721733243,0.0009050421483355512,0.8996725188325367,0.9795450477317246,19,372.10526315789474,373.0,35.98830409356725,362.9,381.0,19,110.84210526315789,107.0,132.80701754385964,99.8,131.2,19,7.654412251986595,7.645106361631254,0.001801160485406703,7.602794894953814,7.7170177554808514
