candidate,reference,axis,shape,EE_out,EI,noise,mode,n,reference_n,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
up3__circle__EI_same_core_scale_0.75,up3__circle,EI,circle,1.0,0.75,847101,TA,60.0,22,-0.6513303769401331,0.05150171336424114,0.0,0.03293063283151565,-0.03180818751568815,-110.95961559137686,0.0,-72.0,-8.288243381364282,0.21150964184674614,1.0,-17.0,18.0,-0.3068836145439189,-0.05352280889304617
up3__circle__EI_same_core_scale_0.75,up3__circle,EI,circle,1.0,0.75,847101,TB,-18.0,105,-0.19376026272577995,0.03463203463203468,0.0,0.015965762117319204,0.013823210395010943,-2.1308039753712364,0.0,-16.0,-1.2086436269019032,0.20096618767275687,1.0,88.0,21.0,0.7120557521190003,-0.05837995621503289
up3__circle__EE_core_to_out_scale_1.25,up3__circle,EE_out,circle,1.25,1.0,847102,ALL,3.0,127,-0.33370684433676556,0.041550575408843216,0.0,0.048022970806716164,-0.15895849643947452,-5.1922789357586225,0.0,-18.0,31.529399509801806,0.007593340118690631,1.0,67.0,18.5,0.25490157399085156,-0.057139573869781524
up3__circle__EE_core_to_out_scale_1.25,up3__circle,EE_out,circle,1.25,1.0,847102,TA,31.0,22,-0.6470840480274442,0.0850615936379231,0.0,0.024051736361964338,-0.17725226657311852,-108.53420531650727,0.0,-73.0,-1.0426104676080286,0.01224105431276934,0.0,-32.5,10.5,-0.8295907522435186,0.04283856812174869
up3__circle__EE_core_to_out_scale_1.25,up3__circle,EE_out,circle,1.25,1.0,847102,TB,-28.0,105,-0.12597402597402585,0.03258559622195989,0.0,0.01603603898834785,0.05118924600583108,-0.9306384966184851,0.0,-8.0,3.111440616172331,0.021038732221653242,1.0,83.0,22.0,0.5444156427805584,-0.062469966362325824
follow_ellipse4_out1_EI0.875,up3__ellipse4,EI,ellipse4,1.0,0.875,847101,ALL,35.0,111,-0.19344687152906315,0.025159032008347126,0.0,0.027151543003705897,-0.08757898770397243,-0.9460018994786878,0.0,-12.0,6.807319731012285,0.1250773131903418,0.0,26.5,6.0,0.3659699938008947,0.0
follow_ellipse4_out1_EI0.875,follow_circle_out1_EI0.875,shape,ellipse4,1.0,0.875,847101,ALL,-10.0,156,0.23300842992623821,-0.0007024938531786651,0.0,-0.04844764670777521,0.06114398643210339,29.318869713656568,0.0,20.0,-64.80801202789326,0.0003067278278045815,-1.0,-17.5,-5.0,0.043042136921857654,0.008289384304771996
follow_ellipse4_out1_EI0.875,up3__ellipse4,EI,ellipse4,1.0,0.875,847101,TA,23.0,16,-0.3389423076923077,0.010052447552447608,0.0,0.01026545067373022,-0.142983131066465,-84.21465320758398,0.0,-64.0,-9.703054329893348,0.12239154717002285,0.0,-25.0,11.5,-0.4012786081903341,-0.015401414584583883
follow_ellipse4_out1_EI0.875,follow_circle_out1_EI0.875,shape,ellipse4,1.0,0.875,847101,TA,-29.0,68,0.1776018099547511,-0.004319210201563117,0.0,-0.05899949723479139,-0.0669191499777492,-0.362102211718593,0.0,8.0,0.6227940633616527,-0.028480585372937295,0.0,13.0,5.5,0.14575505987247883,-0.040102525526045874
follow_ellipse4_out1_EI0.875,up3__ellipse4,EI,ellipse4,1.0,0.875,847101,TB,12.0,95,-0.07235612395474678,0.028708133971291905,0.0,0.025676340383669505,0.018558559121709062,-0.5464871989679523,0.0,-12.0,7.941784756319976,0.13168937439321124,0.0,23.0,4.0,0.35475499675627287,0.0
follow_ellipse4_out1_EI0.875,follow_circle_out1_EI0.875,shape,ellipse4,1.0,0.875,847101,TB,19.0,88,0.07471325403568385,0.0,0.0,0.010383113682617795,0.00029220675758678816,0.17190132981249917,0.0,-2.0,-0.7747259227635368,-0.002137227657794838,0.0,1.0,-0.5,0.007578541984440079,0.0
follow_ellipse4_out1.25_EI0.75,up3__ellipse4__EI_same_core_scale_0.75,EE_out,ellipse4,1.25,0.75,847101,ALL,0.0,156,0.054487179487179516,0.0034965034965034336,0.0,0.009829059829059822,-0.022531909357858204,-0.9859895446916198,2.0,0.0,1.453813482719852,-0.02421867324916599,-1.0,13.0,3.0,0.11491700590034437,0.06724377485243294
follow_ellipse4_out1.25_EI0.75,up3__ellipse4__EE_core_to_out_scale_1.25,EI,ellipse4,1.25,0.75,847101,ALL,23.0,133,0.12406015037593987,0.0013670539986331276,0.0,0.018456358397257705,0.0033512429361265417,-1.1438183766404109,2.0,-6.0,4.805595053614525,0.1393761168405472,-1.0,20.0,6.0,0.30352697727548694,0.057149689143950244
follow_ellipse4_out1.25_EI0.75,follow_circle_out1.25_EI0.75,shape,ellipse4,1.25,0.75,847101,ALL,-13.0,169,0.0,0.007530930607853703,0.0,0.005522682445759375,0.22914317291075728,50.05677179009399,2.0,20.0,-97.90246547113202,-0.0070154304030998205,-1.0,6.0,-1.0,0.17572027632209064,0.03166783954961294
follow_ellipse4_out1.25_EI0.75,up3__ellipse4__EI_same_core_scale_0.75,EE_out,ellipse4,1.25,0.75,847101,TA,-2.0,39,0.15384615384615385,0.011655011655011593,0.0,0.020951045409837665,-0.013985675430379818,3.2956607669284494,0.0,-2.0,-2.311040965844086,-0.0076586875474891625,-1.0,16.0,2.0,0.08329027656747723,0.0754275005856172
follow_ellipse4_out1.25_EI0.75,up3__ellipse4__EE_core_to_out_scale_1.25,EI,ellipse4,1.25,0.75,847101,TA,2.0,35,0.30000000000000004,0.0025974025974025983,0.0,0.002375707594089671,0.010943042611796433,1.5849396572839396,0.0,2.0,-1.5774798622799153,0.04755495732135556,-1.0,19.0,3.0,0.13927765706193806,0.03528670447385007
follow_ellipse4_out1.25_EI0.75,follow_circle_out1.25_EI0.75,shape,ellipse4,1.25,0.75,847101,TA,-52.0,89,0.0,0.01430030643513791,0.0,0.0029426566582884117,0.00037499935740431534,1.4042787557145857,0.0,0.0,-1.061898886309109,-0.04310277663646214,-1.0,9.0,4.0,0.06011062913827203,0.041122295994859726
follow_ellipse4_out1.25_EI0.75,up3__ellipse4__EI_same_core_scale_0.75,EE_out,ellipse4,1.25,0.75,847101,TB,2.0,117,0.021367521367521403,0.0007770007770008247,0.0,0.003418803418803462,-0.016115696697096393,-0.8429108822747367,2.0,-2.0,1.463077258780686,-0.025014569393114583,-1.0,13.0,4.0,0.10509400758920329,0.06252117926126732
follow_ellipse4_out1.25_EI0.75,up3__ellipse4__EE_core_to_out_scale_1.25,EI,ellipse4,1.25,0.75,847101,TB,21.0,98,0.061224489795918324,0.0009276437847866026,0.0,0.010204081632653073,-0.004692116685168002,-1.2532759362484285,2.0,-10.0,5.725795160698908,0.165099235824044,-1.0,20.5,6.0,0.33785286280511073,0.06401312455782437
