candidate,comparison,stage,topology,noise,layer,mode,description,n_condition,n_reference,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,n,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847101,primary,TB,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,128,117,0.009648771367521403,0.0007770007770008247,0.0,0.0013354700854701362,-0.023483991731645726,-0.3279847005396732,0.0,0.0,2.9786997639116635,-0.0004592813279630237,0.0,11,0.0,-3.0,0.008545082024264516,0.0006598306762483075
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847101,all_detected,ALL,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,163,166,0.026664941976494827,0.003285870755750264,0.0,0.004737970286052162,0.0314430822727268,-0.2429102012192743,0.0,2.0,3.118495356357016,0.00010574984334632553,0.0,-3,0.0,-2.0,0.024124055504146646,-0.001514089451916334
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847101,all_detected,TA,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,29,39,0.06763925729442966,0.011655011655011593,0.0,0.01536936985946244,0.004813390883875779,-2.7620682731230772,0.0,-2.0,-2.936143783431362,0.012535976646614183,0.0,-10,4.0,0.0,0.12576473573406677,-0.024055436332686808
up3__ellipse4__EI_same_core_scale_0.75__x_plus075,up3__ellipse4__EI_same_core_scale_0.75,response,2511,847101,all_detected,TB,椭圆4:1｜离核EE×1，同核EI×0.75｜x_plus075,134,127,0.00849100951933246,0.0007158196134574579,0.0,0.0011595565479687597,-0.02372633277096764,-0.311339846194187,0.0,0.0,3.025468600415479,-0.00040919271878703256,0.0,7,0.0,-1.5,0.00956915321814833,0.0002778744540390399
follow_ellipse4_out1.25_EI0.875,up3__ellipse4__EE_core_to_out_scale_1.25,response,2511,847101,primary,ALL,椭圆4:1｜离核EE×1.25，同核EI×0.875,157,133,0.12406015037593987,0.0013670539986331276,0.0,0.018456358397257705,0.006311198762324444,-0.887922010209877,2.0,-6.0,3.6458837036552723,0.09561873331435838,0.0,24,16.0,3.0,0.24232326442981833,0.03841802586252396
follow_ellipse4_out1.25_EI0.875,up3__ellipse4__EE_core_to_out_scale_1.25,response,2511,847101,primary,TA,椭圆4:1｜离核EE×1.25，同核EI×0.875,39,35,0.30000000000000004,0.0025974025974025983,0.0,0.002375707594089671,0.011088242756996575,1.1784632424096344,0.0,2.0,-1.2930551650460984,0.0350719972038184,0.0,4,13.0,1.0,0.10272714708318276,0.008872225426075686
follow_ellipse4_out1.25_EI0.875,up3__ellipse4__EE_core_to_out_scale_1.25,response,2511,847101,primary,TB,椭圆4:1｜离核EE×1.25，同核EI×0.875,118,98,0.061224489795918324,0.0009276437847866026,0.0,0.010204081632653073,0.01098873192546268,-1.0363777106122143,2.0,-8.0,4.5441445522155846,0.12357704891337791,0.0,20,16.5,3.0,0.27960379512610345,0.04650958824593898
follow_ellipse4_out1.25_EI0.875,up3__ellipse4__EE_core_to_out_scale_1.25,response,2511,847101,all_detected,ALL,椭圆4:1｜离核EE×1.25，同核EI×0.875,165,169,0.0976331360946745,0.0010758472296934496,0.0,0.014595660749506911,-0.027140675716249008,-1.0566171041718917,2.0,-4.0,3.89467205373694,0.0982934945551768,0.0,-4,15.0,4.0,0.24285513774267198,0.041712865869222626
follow_ellipse4_out1.25_EI0.875,up3__ellipse4__EE_core_to_out_scale_1.25,response,2511,847101,all_detected,TA,椭圆4:1｜离核EE×1.25，同核EI×0.875,39,37,0.28378378378378377,0.002457002457002533,0.0,0.004434909653291741,0.01068259926183901,1.1784632424096344,0.0,2.0,-1.2930551650460984,0.0350719972038184,0.0,2,13.0,1.0,0.09339032432905725,0.008872225426075686
follow_ellipse4_out1.25_EI0.875,up3__ellipse4__EE_core_to_out_scale_1.25,response,2511,847101,all_detected,TB,椭圆4:1｜离核EE×1.25，同核EI×0.875,126,132,0.045454545454545414,0.0006887052341597588,0.0,0.007575757575757569,0.0019070759991916542,-1.0749142257591302,2.0,-6.0,4.326454398860733,0.12163146525783197,0.0,-6,16.0,4.0,0.2744548329512275,0.04801416082094134
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,confirmation,2611,847301,primary,ALL,圆核｜离核EE×1.125，同核EI×0.875,174,150,-0.15517241379310343,-0.03467084639498441,0.0,0.024521003029087357,-0.01410828323595259,-2.4934295687216945,2.0,-14.0,-6.323667680533163,0.15555791960586063,-1.0,24,-6.5,5.0,0.033471457686726325,0.05226569502450551
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,confirmation,2611,847301,primary,TA,圆核｜离核EE×1.125，同核EI×0.875,51,43,-0.32558139534883723,-0.11478671806989182,0.0,0.11820000188194474,-0.036986733626623525,-110.62323058759102,0.0,-66.0,-7.225388896822551,0.1672692324789885,-1.0,8,-18.0,1.0,-0.4454675780070714,0.07485260189694953
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,confirmation,2611,847301,primary,TB,圆核｜离核EE×1.125，同核EI×0.875,123,107,-0.08335232885039134,-0.001298602620690703,0.0,-0.004589316921206565,-0.002904693270598613,-1.3136667098515318,2.0,-10.0,4.683935201300301,0.15372510581980486,-1.0,16,-8.0,4.0,0.1169492996407282,0.045841339555311555
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,confirmation,2611,847301,all_detected,ALL,圆核｜离核EE×1.125，同核EI×0.875,184,186,-0.15305049088359057,-0.03476560839814691,0.0,0.024663265231319564,-0.025355686723755877,-2.2014072010092605,2.0,-13.0,3.8889118528113613,0.15595841576781322,-1.0,-2,-5.5,5.5,0.08010116741721163,0.04738284798047532
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,confirmation,2611,847301,all_detected,TA,圆核｜离核EE×1.125，同核EI×0.875,53,49,-0.3265306122448979,-0.11240242237546816,0.0,0.12237577194132149,-0.026481475723432346,-63.853960324895525,0.0,-66.0,-6.142057123790437,0.1672926324608377,-1.0,4,-17.0,1.0,-0.3673519664371723,0.0708081073966833
follow_circle_out1.125_EI0.875,follow_circle_out1.125_EI1,confirmation,2611,847301,all_detected,TB,圆核｜离核EE×1.125，同核EI×0.875,131,137,-0.07850894299882982,-0.002568167888276962,0.0,-0.005538530116454027,-0.00625941764078497,-1.2849399000006088,2.0,-8.0,4.689122107506591,0.1537160588842718,-1.0,-6,-7.0,4.0,0.13956163535935762,0.04134640869334749
follow_circle_out1_EI0.875,up3__circle,response,2511,847102,primary,ALL,圆核｜离核EE×1，同核EI×0.875,146,127,-0.4537806061913493,0.041703846794991284,0.0,0.06760849943334071,-0.07944636092291946,-2.4593709415239573,0.0,-19.0,23.83856549156826,0.13184911301673657,1.0,19,35.0,12.0,0.10035425836814937,-0.01407498006128649
follow_circle_out1_EI0.875,up3__circle,response,2511,847102,primary,TA,圆核｜离核EE×1，同核EI×0.875,57,22,-0.9158692185007975,0.08358706684065531,0.0,0.06516395086047472,-0.02795272115343589,-108.62110867401861,0.0,-73.0,-6.407763867275207,0.1386862101221234,0.0,35,-41.5,7.5,-0.8666362850147911,0.0537370110853399
follow_circle_out1_EI0.875,up3__circle,response,2511,847102,primary,TB,圆核｜离核EE×1，同核EI×0.875,89,105,-0.16500802568218287,0.03376623376623378,0.0,0.011678853363651237,0.06195443653718591,-0.6092265865117952,0.0,-12.0,3.7746733053791104,0.13902890830759007,0.0,-16,24.0,8.0,0.31186586322458076,0.0
follow_circle_out1_EI0.875,up3__circle,response,2511,847102,all_detected,ALL,圆核｜离核EE×1，同核EI×0.875,189,169,-0.4380420149650919,0.03686342147880617,0.0,0.06217402258023247,-0.10891041436617155,-1.6306919136909528,0.0,-10.0,42.717015193757106,0.13005540167808044,1.0,20,44.0,12.0,0.2971382963740128,-0.011058451816745696
follow_circle_out1_EI0.875,up3__circle,response,2511,847102,all_detected,TA,圆核｜离核EE×1，同核EI×0.875,73,23,-0.8594401429422275,0.08863501001678498,0.0,0.06113890367377123,-0.031723248277258254,-108.39790267024546,0.0,-72.0,-6.090888649032422,0.1383468320153483,0.0,50,-41.0,6.0,-0.8629168364129525,0.04194424952046738
follow_circle_out1_EI0.875,up3__circle,response,2511,847102,all_detected,TB,圆核｜离核EE×1，同核EI×0.875,116,146,-0.15883325460557396,0.030510585305105753,0.0,0.010427052503012374,0.045042901279261416,-0.6018406899138427,0.0,-10.0,5.218031453296362,0.136783552501983,0.0,-30,24.0,7.0,0.3473662056835103,0.0
follow_ellipse4_out1.125_EI0.875,follow_ellipse4_out1.125_EI1,response,2511,847102,primary,ALL,椭圆4:1｜离核EE×1.125，同核EI×0.875,159,137,0.13733186429784694,-0.004574042309891335,0.0,0.006838933276451853,-0.05033216430605436,-0.7944596072848071,0.0,-8.0,5.219587446452351,0.11347761111418608,1.0,22,74.0,12.0,0.5381839461549989,-0.05393691307488557
follow_ellipse4_out1.125_EI0.875,follow_ellipse4_out1.125_EI1,response,2511,847102,primary,TA,椭圆4:1｜离核EE×1.125，同核EI×0.875,32,28,0.359375,-0.017045454545454586,0.0,-0.07791752572658386,-0.048800004080824244,-4.161453272786957,0.0,0.0,-6.4695169547472915,0.09975313584654602,0.0,4,25.0,7.0,0.1790833692591871,0.01606044297860798
follow_ellipse4_out1.125_EI0.875,follow_ellipse4_out1.125_EI1,response,2511,847102,primary,TB,椭圆4:1｜离核EE×1.125，同核EI×0.875,127,109,0.07928194755472084,-0.0014316392269148048,0.0,0.01319078234486748,-0.004139938088484119,-0.6820551871933276,0.0,-8.0,6.794630006101215,0.11720996087193807,1.0,18,81.0,12.0,0.6426075384706715,-0.058578431372549034
