count,arm,seed,status,n_returned_readable,n_distribution_events,mode_A_count,mode_B_count,ood_fraction_returned_readable,multishaft_fraction_distribution,scl_recruitment_fraction_distribution,mode_b_fraction,mode_proportion_js,natural_alignment,weak_mode_score,mean_mode_score,recruitment,precedence,profile,event_cloud
6,hand_dual_core,1571,OK,80,52,21,31,0.35,0.5192307692307693,0.42788461538461536,0.5961538461538461,0.0031693623465243632,0.7583333333333333,3.198193965856708,3.1401846561237527,3.0890155045654284,3.544147518908727,2.150201721720527,3.7773738793003284
6,hand_dual_core,1572,OK,85,51,20,31,0.4,0.7058823529411765,0.5588235294117647,0.6078431372549019,0.002131300273887072,0.5523809523809524,3.5017377444355877,2.5471456908283057,2.372437208517101,3.304069779068663,1.705710274351362,2.806365501376097
6,continuous_free_field,1561,OK,84,45,13,32,0.4642857142857143,0.8,0.7,0.7111111111111111,0.0021710132751744556,0.8236363636363637,1.7481749970419411,1.3593539633947267,0.9166784831191945,1.8949276102223014,1.034547391392965,1.5912623688444456
6,continuous_free_field,1562,OK,81,49,14,35,0.3950617283950617,0.8571428571428571,0.7193877551020408,0.7142857142857143,0.0024572011375393332,0.575,1.3508547400203863,1.2495431497815326,1.0134769077578705,1.6174912331610636,1.1627932301739832,1.2044112280332135
6,continuous_free_field,1563,OK,74,47,18,29,0.36486486486486486,0.8085106382978723,0.6968085106382979,0.6170212765957447,0.0014570586684391606,0.6282051282051282,2.1383699951161175,1.6331510621437146,0.9155285736354446,2.725851164267821,1.3546514330675383,1.5365730776040547
6,continuous_free_field,1564,OK,74,46,18,28,0.3783783783783784,0.6956521739130435,0.625,0.6086956521739131,0.002063427310268248,0.548582995951417,1.6872316061830652,1.555357438303577,1.047088121283443,1.6781594693178992,1.8477130010040321,1.6484691616089338
6,continuous_free_field,1565,OK,82,52,9,43,0.36585365853658536,0.8269230769230769,0.6730769230769231,0.8269230769230769,0.02666486657020494,0.6349206349206349,1.8228207208877703,1.7426147378762924,1.56663467621767,2.1100064845784248,1.8421037955376924,1.4517139951713824
6,continuous_free_field,1566,OK,95,44,14,30,0.5368421052631579,0.9090909090909091,0.7613636363636364,0.6818181818181818,0.00038205382358591066,0.8276353276353277,3.978387601990358,3.244383867222874,3.461364532719855,4.050262742436772,2.2388401063251155,3.227068087409755
6,continuous_free_field,1567,OK,76,50,19,31,0.34210526315789475,0.8,0.665,0.62,0.0012651356834099316,0.5467032967032968,1.1583277895899302,1.1571296723930788,0.752426530382555,1.1770005503771703,1.5461949364967333,1.1528966723158565
6,continuous_free_field,1568,OK,76,49,19,30,0.35526315789473684,0.7346938775510204,0.6581632653061225,0.6122448979591837,0.0017923766761086812,0.5836120401337793,1.9836936940835639,1.8273417215782577,1.9223843595218129,1.9077796914691802,1.5543631140064935,1.9248397213155441
