w_ee_mult,q,source_root_index,source_rE_hz,source_stability,source_branch_class,source_lut_clipped,exact_converged,exact_residual_inf,exact_rE_hz,exact_rI_hz,exact_stability,exact_rate_class,exact_leading_real_per_ms,exact_leading_imag_per_ms,exact_leading_frequency_hz,audit_scope
1.1,0.92,1,9.258955861872145,unstable,finite_high_root,False,True,5.551115123125783e-17,9.220481747228703,15.159924944413381,unstable,finite_high,0.0821268446876781,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.92,2,303.37658899354574,stable,saturation_cliff_root,True,True,1.3988810110276972e-14,326.3771297578492,349.73786459727097,stable,over_100hz,-0.033938281123519126,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.91,0,0.7191128073292211,stable,low_root,False,True,7.199189161477548e-14,0.6852912380258821,5.536439650491242,stable,low,-0.03550267862499091,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.91,1,7.310180622843823,unstable,finite_high_root,False,True,7.672742649567077e-13,7.299864115031872,13.007468633722658,unstable,finite_high,0.07210339869735158,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.91,2,303.3341428132651,stable,saturation_cliff_root,True,True,1.0255685189974884e-12,337.97654260446745,361.5252679511486,stable,over_100hz,-0.034865506339083245,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.9,0,0.8850656030424138,stable,low_root,False,True,3.329210930373694e-12,0.8108933238449955,5.678646357026025,stable,low,-0.032009295241198936,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.9,1,5.781865346899193,unstable,finite_high_root,False,True,5.629177679544739e-16,5.752868607657844,11.267773949505754,unstable,finite_high,0.06006362502557359,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.9,2,303.2919485944627,stable,saturation_cliff_root,True,True,5.92554338929574e-11,347.9778411341098,371.65799094335773,stable,over_100hz,-0.03566265355473801,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.89,0,1.1188419976001753,stable,low_root,False,True,1.675786245880495e-13,0.9933423455516667,5.885281014679924,stable,low,-0.026962046812550704,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.89,1,4.51171044450264,unstable,low_root,False,True,3.687328220536301e-14,4.433698915457377,9.779959164582916,unstable,low,0.04520983945012483,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.89,2,303.2503151023913,stable,saturation_cliff_root,True,True,3.7192471324942744e-15,356.7127244771058,380.4836044363992,stable,over_100hz,-0.03635960872034814,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.88,0,1.4332769641995562,stable,low_root,False,True,4.416816738739282e-12,1.3231437528218002,6.2589387113312025,stable,low,-0.01801097512464055,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.88,1,3.0167554816740663,unstable,low_root,False,True,6.722053469410127e-16,3.174245031632996,8.355994723008251,unstable,low,0.024969704757497064,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.88,2,303.2089346300858,stable,saturation_cliff_root,True,True,1.8207657603852567e-14,364.4223974256271,388.2541403371621,stable,over_100hz,-0.036977011972651345,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.87,0,303.1681172332303,stable,saturation_cliff_root,True,True,5.3290705182007514e-14,371.2876272399504,395.15797311636493,stable,over_100hz,-0.037529729776641235,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.86,0,303.12756125157574,stable,saturation_cliff_root,True,True,1.0663692151524629e-13,377.4472213353898,401.33938328578256,stable,over_100hz,-0.03802883310134782,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.85,0,303.08756293166397,stable,saturation_cliff_root,True,True,1.6819878823071122e-13,383.0099330888238,406.9111392366161,stable,over_100hz,-0.03848279297817215,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.84,0,303.0478423098803,stable,saturation_cliff_root,True,True,2.1516122217235534e-13,388.0624279169343,411.9628998963739,stable,over_100hz,-0.03889823830797672,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.83,0,303.0086655864543,stable,saturation_cliff_root,True,True,2.393085729579525e-13,392.67478199372,416.5670040403094,stable,over_100hz,-0.03928045546971051,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.82,0,302.96979131342533,stable,saturation_cliff_root,True,True,2.254862963013693e-13,396.90437866223544,420.7825651199839,stable,over_100hz,-0.039633728772863155,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.81,0,302.93143820349883,stable,saturation_cliff_root,True,True,1.8818280267396403e-13,400.79873206713546,424.6584333626396,stable,over_100hz,-0.039961579076934775,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.1,0.8,0,302.89342138070356,stable,saturation_cliff_root,True,True,1.316169395693123e-13,404.3975735390447,428.2353806309098,stable,over_100hz,-0.040266935148131386,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,1.0,0,0.3004255871085487,stable,low_root,False,True,5.337570663233038e-14,0.26225533546887103,5.057867244273845,stable,low,-0.042450279988556244,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,1.0,1,9.995023600044046,unstable,finite_high_root,False,True,7.580342603619172e-13,9.95227830633386,15.978022782675277,unstable,finite_high,0.10160731608668658,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,1.0,2,303.8631499022543,stable,saturation_cliff_root,True,True,5.948402881372772e-11,345.754203521593,369.4076426384059,stable,over_100hz,-0.03580215232482881,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.99,0,0.33444340035902204,stable,low_root,False,True,8.339509638410902e-14,0.29253430288635385,5.0920964563542395,stable,low,-0.04128790057517483,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.99,1,8.477022816628729,unstable,finite_high_root,False,True,6.071532165918825e-17,8.4160897062452,14.259398795506245,unstable,finite_high,0.09537815958219514,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.99,2,303.8176141581699,stable,saturation_cliff_root,True,True,5.10702591327572e-15,354.84155468289606,378.59492345544646,stable,over_100hz,-0.036500278859598626,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.98,0,0.36751140185702436,stable,low_root,False,True,8.71212824105072e-14,0.3279977074095377,5.13219206216629,stable,low,-0.03991551837780049,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.98,1,7.202050479505942,unstable,finite_high_root,False,True,1.5720081486536586e-12,7.155773364375188,12.845659258964911,unstable,finite_high,0.08856406754191082,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.98,2,303.7725629335173,stable,saturation_cliff_root,True,True,2.930988785010413e-14,362.8273575810884,386.6480132401839,stable,over_100hz,-0.037115968072384306,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.97,0,0.3994708765087845,stable,low_root,False,True,4.425886740433427e-14,0.3701435532040829,5.179850475722564,stable,low,-0.038275555168159406,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.97,1,6.128631456828489,unstable,finite_high_root,False,True,1.4807816431372522e-12,6.09822790632892,11.656627546646964,unstable,finite_high,0.0811200709986277,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.97,2,303.7278032373649,stable,saturation_cliff_root,True,True,9.814371537686384e-14,369.9130287019214,393.77684021271574,stable,over_100hz,-0.03766535218988134,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.96,0,0.4656242138359484,stable,low_root,False,True,9.396303179975973e-14,0.42121426134912276,5.237611484906727,stable,low,-0.036283198352153254,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.96,1,5.178532344103614,unstable,finite_high_root,False,True,1.8185453143360064e-13,5.191679306485449,10.63532396143414,unstable,finite_high,0.07294896994651322,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.96,2,303.6835365730733,stable,saturation_cliff_root,True,True,2.123301534595612e-13,376.25141356197986,400.1403023337059,stable,over_100hz,-0.03816023799676095,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.95,0,0.5528618689211297,stable,low_root,False,True,2.2511593283924825e-13,0.4848082261048649,5.309551228213094,stable,low,-0.033804602664878176,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.95,1,4.388017283288859,unstable,low_root,False,True,2.804614179785503e-14,4.397255048641452,9.738800893849753,unstable,low,0.0638856585273541,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.95,2,303.6395632812789,stable,saturation_cliff_root,True,True,4.250488849777412e-13,381.9611089990341,405.8613938768222,stable,over_100hz,-0.03860953581304908,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.94,0,0.6461907610938031,stable,low_root,False,True,9.680824935090482e-12,0.5673151134953911,5.402908654553757,stable,low,-0.030606238368870987,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.94,1,3.638989159346499,unstable,low_root,False,True,3.920792510103688e-12,3.6828148350691334,8.931372345577865,unstable,low,0.05364942419401819,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.94,2,303.5960850840382,stable,saturation_cliff_root,True,True,9.028888747764086e-13,387.1358630036564,411.03711516931367,stable,over_100hz,-0.03902014120448722,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.93,0,0.7470422751948094,stable,low_root,False,True,9.70924729504219e-15,0.6821004906596045,5.532827648102187,stable,low,-0.026208959323252838,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.93,1,2.994652933155822,unstable,low_root,False,True,1.7304356732250614e-12,3.0157879988637815,8.17662877210438,unstable,low,0.041700621099278655,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.93,2,303.5529086716741,stable,saturation_cliff_root,True,True,1.486033518460772e-12,391.8509606862019,415.7451928323815,stable,over_100hz,-0.039397503532442195,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.92,0,0.9753938424208256,stable,low_root,False,True,2.926370083755625e-12,0.8679291713794981,5.743235355652394,stable,low,-0.019255405017706704,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.92,1,2.3191494802999633,unstable,low_root,False,True,1.4432899320127035e-15,2.34281540832747,7.414447283065365,unstable,low,0.026614231266496046,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.92,2,303.5102224849888,stable,saturation_cliff_root,True,True,1.8450241334733164e-12,396.16768937025773,420.0487702135115,stable,over_100hz,-0.03974600626131214,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.91,0,303.46785354249556,stable,saturation_cliff_root,True,True,1.823374784493126e-12,400.136537752775,423.99976209557985,stable,over_100hz,-0.04006922937085808,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.9,0,303.42596251636684,stable,saturation_cliff_root,True,True,1.404876215360673e-12,403.7995367200946,427.6413051012395,stable,over_100hz,-0.04037013529721928,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.89,0,303.38441174499843,stable,saturation_cliff_root,True,True,8.337219803422613e-13,407.19200376273756,431.00958070073347,stable,over_100hz,-0.040651203761569804,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.88,0,303.3433186030388,stable,saturation_cliff_root,True,True,3.7386760354252146e-13,410.3438640644283,434.13519355327145,stable,over_100hz,-0.04091453152083127,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.87,0,303.30259680906755,stable,saturation_cliff_root,True,True,1.800781745942004e-13,413.28066541930974,437.0442287126735,stable,over_100hz,-0.04116190749261575,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.86,0,303.262303812794,stable,saturation_cliff_root,True,True,8.060219158778636e-14,416.02436798622045,439.75907300588415,stable,over_100hz,-0.0413948702374571,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.85,0,303.2224219002769,stable,saturation_cliff_root,True,True,2.425837308805967e-14,418.59396596583827,442.2990606233836,stable,over_100hz,-0.041614752556377414,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.84,0,303.18293081031123,stable,saturation_cliff_root,True,True,3.175237850427948e-14,421.00598211523504,444.68098589812104,stable,over_100hz,-0.041822716546774004,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.83,0,303.14389977220276,stable,saturation_cliff_root,True,True,1.6497914145929826e-13,423.27486487528716,446.9195145098496,stable,over_100hz,-0.04201978146427736,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.82,0,303.1052118060759,stable,saturation_cliff_root,True,True,1.3354872763216008e-12,425.41331008107096,449.0275161348181,stable,over_100hz,-0.04220684610909168,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.81,0,303.0670427134299,stable,saturation_cliff_root,True,True,1.0085654533753541e-11,427.432523669936,451.0163357190229,stable,over_100hz,-0.04238470697409406,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.2,0.8,0,303.02915849966286,stable,saturation_cliff_root,True,True,5.246836298766766e-11,429.34243779053935,452.8960163399991,stable,over_100hz,-0.042554073096409926,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.3,1.0,0,0.3382309266814574,stable,low_root,False,True,2.524716546936645e-14,0.2927521802560277,5.0923427745207634,stable,low,-0.036611610899216634,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.3,1.0,1,3.884791459559234,unstable,low_root,False,True,2.1364351260322323e-12,3.847990399145419,9.118139941493366,unstable,low,0.07133635455748649,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
1.3,1.0,2,304.00593796716726,stable,saturation_cliff_root,True,True,1.2002510096920105e-11,403.1975161715784,427.0431417908951,stable,over_100hz,-0.040479120218007474,0.0,0.0,local_refinement_of_lut_discovered_root_not_dense_exact_continuation
