name,tau_Z_s,threshold,seed,observed,onset_s,confirmation_s,restricted_time_s,horizon_s,pre_observation_s,pre_E_mean_Hz,pre_quiet_fraction,Z_at_endpoint,adaptation_current_at_endpoint,reference_prefix_qa,source
y3_x1_s9108402,3.1498026247371813,95.19851312666987,9108402,True,134.69,134.89000000000001,134.89000000000001,180.0,20.0,18.378271875,0.5875,0.7479681377920264,2.105520543118168,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x1_s9108402/result.json
y3_x1_s9108403,3.1498026247371813,95.19851312666987,9108403,True,102.15,102.35000000000001,102.35000000000001,180.0,20.0,18.365198437500002,0.6105,0.7190096113560321,2.506486176308273,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x1_s9108403/result.json
y3_x2_s9108401,3.9685026299204997,95.19851312666987,9108401,False,,,180.0,180.0,20.0,13.1358859375,0.655,0.8331767038244476,0.5726237733593501,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x2_s9108401/result.json
y3_x2_s9108402,3.9685026299204997,95.19851312666987,9108402,False,,,180.0,180.0,20.0,13.186467187499998,0.6455,0.8320091676042866,0.5777275822322966,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x2_s9108402/result.json
y3_x2_s9108403,3.9685026299204997,95.19851312666987,9108403,False,,,180.0,180.0,20.0,14.2279203125,0.632,0.8228598752171858,0.6208981254836344,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x2_s9108403/result.json
y3_x3_s9108401,5.0,95.19851312666987,9108401,True,73.48,73.68,73.68,180.0,20.0,18.6782734375,0.5905,0.7475291336794375,2.6273747811110613,"{'status': 'PASS', 'duration_s': 74.18, 'counts_Z_M_bitwise': True}",/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x3_s9108401/result.json
y3_x3_s9108402,5.0,95.19851312666987,9108402,True,136.6,136.8,136.8,180.0,20.0,20.309689062500002,0.5755,0.7374880085378769,2.9010487848680913,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x3_s9108402/result.json
y3_x3_s9108403,5.0,95.19851312666987,9108403,False,,,180.0,180.0,20.0,14.356793750000001,0.615,0.8248625100660426,0.6390271315214183,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x3_s9108403/result.json
y3_x4_s9108401,6.2996052494743635,95.19851312666987,9108401,False,,,180.0,180.0,20.0,13.1102421875,0.6425,0.8391713871277211,0.561914918978029,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x4_s9108401/result.json
y3_x4_s9108402,6.2996052494743635,95.19851312666987,9108402,False,,,180.0,180.0,20.0,13.014665625000001,0.6725,0.8413048370574285,0.5438095601336749,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x4_s9108402/result.json
y3_x4_s9108403,6.2996052494743635,95.19851312666987,9108403,False,,,180.0,180.0,20.0,14.19486875,0.627,0.8298744585027807,0.5934366828405806,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x4_s9108403/result.json
y3_x5_s9108401,7.937005259841,95.19851312666987,9108401,False,,,180.0,180.0,20.0,13.590965625,0.6445,0.8325828045038121,0.6159353875697458,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x5_s9108401/result.json
y3_x5_s9108402,7.937005259841,95.19851312666987,9108402,False,,,180.0,180.0,20.0,13.2724625,0.6555,0.841381538561004,0.5651545935194257,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x5_s9108402/result.json
y3_x5_s9108403,7.937005259841,95.19851312666987,9108403,False,,,180.0,180.0,20.0,14.645760937499999,0.6135,0.8296685942437385,0.6464425703380708,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x5_s9108403/result.json
y3_x6_s9108401,10.0,95.19851312666987,9108401,False,,,180.0,180.0,20.0,13.6194703125,0.6425,0.8383270510265215,0.5645381490711503,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x6_s9108401/result.json
y3_x6_s9108402,10.0,95.19851312666987,9108402,False,,,180.0,180.0,20.0,13.559275,0.6685,0.8401383835222219,0.5499375117736982,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x6_s9108402/result.json
y3_x6_s9108403,10.0,95.19851312666987,9108403,False,,,180.0,180.0,20.0,14.3117578125,0.6465,0.8316649394376768,0.6589211421041199,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y3_x6_s9108403/result.json
y4_x0_s9108401,2.5,103.4656754177799,9108401,False,,,180.0,180.0,20.0,12.813260937499999,0.658,0.8514236811305254,0.5054314798881892,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x0_s9108401/result.json
y4_x0_s9108402,2.5,103.4656754177799,9108402,True,152.11,152.31,152.31,180.0,20.0,17.096625,0.598,0.717680759037011,2.3937963135798332,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x0_s9108402/result.json
y4_x0_s9108403,2.5,103.4656754177799,9108403,True,103.27,103.47,103.47,180.0,20.0,17.6688625,0.602,0.7311143557274886,2.1479019875250027,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x0_s9108403/result.json
y4_x1_s9108401,3.1498026247371813,103.4656754177799,9108401,False,,,180.0,180.0,20.0,13.1766171875,0.639,0.8404122620983562,0.5441912685328238,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x1_s9108401/result.json
y4_x1_s9108402,3.1498026247371813,103.4656754177799,9108402,True,61.51,61.71,61.71,180.0,20.0,18.086378124999996,0.582,0.7283043474210031,2.4217065831455766,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x1_s9108402/result.json
y4_x1_s9108403,3.1498026247371813,103.4656754177799,9108403,False,,,180.0,180.0,20.0,14.184821874999999,0.6145,0.8337049792239912,0.5972058664249434,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x1_s9108403/result.json
y4_x2_s9108401,3.9685026299204997,103.4656754177799,9108401,False,,,180.0,180.0,20.0,12.5462953125,0.658,0.8415405886553801,0.5578078073424135,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x2_s9108401/result.json
y4_x2_s9108402,3.9685026299204997,103.4656754177799,9108402,False,,,180.0,180.0,20.0,13.288967187499999,0.6375,0.8393351233718654,0.5931595693171223,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x2_s9108402/result.json
y4_x2_s9108403,3.9685026299204997,103.4656754177799,9108403,True,103.08,103.28,103.28,180.0,20.0,18.968378125,0.581,0.7393781297781097,2.5195728532048918,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x2_s9108403/result.json
y4_x3_s9108401,5.0,103.4656754177799,9108401,False,,,180.0,180.0,20.0,13.425225,0.659,0.8393166001399464,0.5771021207304053,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x3_s9108401/result.json
y4_x3_s9108402,5.0,103.4656754177799,9108402,False,,,180.0,180.0,20.0,12.7063890625,0.6665,0.8414844644063557,0.5628136911025527,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x3_s9108402/result.json
y4_x3_s9108403,5.0,103.4656754177799,9108403,False,,,180.0,180.0,20.0,13.8743203125,0.6305,0.8283858566438159,0.6645203775318477,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x3_s9108403/result.json
y4_x4_s9108401,6.2996052494743635,103.4656754177799,9108401,False,,,180.0,180.0,20.0,13.403862499999999,0.636,0.8428593567467114,0.5368147237179504,,/home/honglab/leijiaxin/HFOsp/results/topic4_sef_hfo/m_on_z_kinetics_20260912/runs/y4_x4_s9108401/result.json
