subject,producer,horizon_seconds,endpoint,n_seeds,median_gain,seed_spread_range,seed_spread_std,effect_exceeds_seed_spread,gain_seed1,gain_seed2,gain_seed3
epilepsiae_1077,P_local,1800.0,continuous,3,-0.005081346819005406,0.002135343963152625,0.0010948892454284533,True,-0.005081346819005406,-0.00656922946029348,-0.004433885497140855
epilepsiae_1077,P_local,1800.0,continuous:size,3,-0.004073860807033203,0.005606955200686103,0.0028051484245211486,False,-0.004073860807033203,-0.006709668839759653,-0.0011027136390735492
epilepsiae_1077,P_local,1800.0,continuous:span,3,-0.0018753494964123263,0.0030062897422657997,0.0015039522629633128,False,-0.00045754932035757534,-0.003463839062623375,-0.0018753494964123263
epilepsiae_1077,P_local,1800.0,continuous:band_energy,3,-0.012296443202240548,0.0009056460083365359,0.00045504454045806333,True,-0.012827051694066505,-0.012296443202240548,-0.011921405685729969
epilepsiae_1077,P_local,1800.0,continuous:band_peak,3,0.0009352719450204106,0.0008821949572039856,0.0004930386745628179,True,0.0009352719450204106,0.00011265061794119013,0.0009948455751451757
epilepsiae_1077,P_local,1800.0,continuous:embedding,3,-0.004704578438436302,0.0036531590159438743,0.0019165872878082679,True,-0.004704578438436302,-0.007536514797747973,-0.0038833557818040987
epilepsiae_1077,P_local,300.0,count,3,0.02828373775415738,0.033088237877301196,0.01655490984376865,False,0.010704483347429239,0.043792721224730435,0.02828373775415738
epilepsiae_1077,P_local,300.0,participation,3,-0.008344834752952779,0.006998418074848578,0.0036194013256888465,True,-0.008344834752952779,-0.010241918262704819,-0.003243500187856241
epilepsiae_1077,P_local,300.0,continuous,3,-0.007055718586893356,0.0026509022406508986,0.0013421449216875557,True,-0.007055718586893356,-0.008746678879906877,-0.006095776639255979
epilepsiae_1077,P_local,300.0,continuous:size,3,-0.005352836432169328,0.015176019627712645,0.008043718476508876,False,-0.005352836432169328,-0.017563674599150092,-0.0023876549714374473
epilepsiae_1077,P_local,300.0,continuous:span,3,-0.002024749222917732,0.0011018218786296163,0.0005898145697056916,True,-0.001108961467757963,-0.0022107833463875792,-0.002024749222917732
epilepsiae_1077,P_local,300.0,continuous:band_energy,3,-0.016377399199271503,0.006333203778830843,0.0032208609440858506,True,-0.01852432806008175,-0.012191124281250909,-0.016377399199271503
epilepsiae_1077,P_local,300.0,continuous:band_peak,3,0.0007410198800419376,0.0017659178126561148,0.0010187711347453905,False,0.0007437318981737828,-0.001022185914482332,0.0007410198800419376
epilepsiae_1077,P_local,300.0,continuous:embedding,3,-0.005718699128549165,0.006221417084917524,0.0033839092739879704,False,-0.005718699128549165,-0.011136571084242375,-0.0049151539993248505
epilepsiae_1077,P_local,7200.0,count,3,0.20602518317424945,0.09460272729517882,0.04762199714757335,True,0.26288200747038815,0.16827928017520932,0.20602518317424945
epilepsiae_1077,P_local,7200.0,participation,3,-0.008276643213223744,0.009514098209837951,0.005036351549799902,False,-0.006384199183997463,-0.015898297393835414,-0.008276643213223744
epilepsiae_1077,P_local,7200.0,continuous,3,-0.004868785988875635,0.003459572660735377,0.0019956632939711802,True,-0.0048628133672743434,-0.00832238602800972,-0.004868785988875635
epilepsiae_1077,P_local,7200.0,continuous:size,3,-0.0032613860685215545,0.0074493594297666554,0.003812813458457455,False,-0.0032613860685215545,-0.008397774843938555,-0.0009484154141718992
epilepsiae_1077,P_local,7200.0,continuous:span,3,-0.00036556720543523546,0.001949207524767571,0.001056900238594192,False,0.0013172433502395275,-0.0006319641745280435,-0.00036556720543523546
epilepsiae_1077,P_local,7200.0,continuous:band_energy,3,-0.008489902000882621,0.004222987985943671,0.0021611792768249137,True,-0.007176447450961021,-0.011399435436904692,-0.008489902000882621
epilepsiae_1077,P_local,7200.0,continuous:band_peak,3,-0.0003921752878932594,0.0006040100518842628,0.0003087654863738162,False,-0.0002014683735436229,-0.0008054784254278857,-0.0003921752878932594
epilepsiae_1077,P_local,7200.0,continuous:embedding,3,-0.007302818188086313,0.005592757689505623,0.003014499624849218,True,-0.007302818188086313,-0.012049176528758254,-0.006456418839252631
epilepsiae_1096,P_local,1800.0,count,3,3.3463955317003524e-05,2.2549639103530694e-05,1.2217450901155182e-05,True,3.3463955317003524e-05,1.4038451634945659e-05,3.658809073847635e-05
epilepsiae_1096,P_local,1800.0,participation,3,-0.004885168840879861,0.004789168149550993,0.0024123359337534897,True,-0.004885168840879861,-0.0019846249867446764,-0.006773793136295669
epilepsiae_1096,P_local,1800.0,continuous,3,-0.0038886072529726867,0.008909871312303252,0.0045233001863415785,False,-0.0038886072529726867,-0.0007906456665511818,-0.009700516978854434
epilepsiae_1096,P_local,1800.0,continuous:size,3,-0.0011377706958513034,0.0011732846619270099,0.0006729357799682652,False,-0.0011377706958513034,1.9905800858532885e-05,-0.001153378861068477
epilepsiae_1096,P_local,1800.0,continuous:span,3,-0.005172162656957191,0.0039219570077981825,0.0021047719922099328,True,-0.005172162656957191,-0.004535527514619275,-0.008457484522417458
epilepsiae_1096,P_local,1800.0,continuous:band_energy,3,-0.005463584288649681,0.019138466553159317,0.009729594988666776,False,-0.005463584288649681,0.0010586210219161174,-0.0180798455312432
epilepsiae_1096,P_local,1800.0,continuous:band_peak,3,-0.0012735036339244221,0.0016417342577057514,0.0008219185083824555,False,-0.0012735036339244221,-0.0005246196529009595,-0.002166353910606711
epilepsiae_1096,P_local,1800.0,continuous:embedding,3,-0.004722096511721174,0.008650147565249844,0.00439462902381843,False,-0.004722096511721174,-0.0017459123077918637,-0.010396059873041708
epilepsiae_1096,P_local,300.0,participation,3,-0.0035623732413972986,0.003885896657131571,0.0019438025444913935,False,-0.0035623732413972986,-0.0015196232420844336,-0.005405519899216005
epilepsiae_1096,P_local,300.0,continuous,3,-0.002513022614853977,0.006580636173181276,0.003386460965538624,False,-0.002513022614853977,-0.0006104272240905484,-0.007191063397271824
epilepsiae_1096,P_local,300.0,continuous:size,3,-0.0009106792170991973,0.003108016366302202,0.0015884361657620622,False,-0.0009106792170991973,7.362372805519435e-05,-0.0030343926382470077
epilepsiae_1096,P_local,300.0,continuous:span,3,-0.0030239104592577615,0.0010259956807059378,0.0005358707320500639,True,-0.0030239104592577615,-0.0027791885436225794,-0.0038051842243285172
epilepsiae_1096,P_local,300.0,continuous:band_energy,3,-0.0028466864801304226,0.01422356860742724,0.007369053099170665,False,-0.0028466864801304226,0.0009219850843014132,-0.013301583523125826
epilepsiae_1096,P_local,300.0,continuous:band_peak,3,-0.0013441812924464003,0.0018050848481223625,0.0009054295707328512,False,-0.0013441812924464003,-0.0005667773555972921,-0.0023718622037196546
epilepsiae_1096,P_local,300.0,continuous:embedding,3,-0.0031714404697311682,0.005916930517355645,0.0030380983440269948,False,-0.0031714404697311682,-0.0014098772887221056,-0.007326807806077751
epilepsiae_1096,P_local,7200.0,count,3,5.115251651766073e-05,3.455680517205906e-05,1.874859643623635e-05,True,5.115251651766073e-05,2.1268558917597602e-05,5.582536408965666e-05
epilepsiae_1096,P_local,7200.0,participation,3,-0.004425908402796663,0.0031560258910161565,0.0015842656462967178,True,-0.004425908402796663,-0.003091449035654059,-0.006247474926670216
epilepsiae_1096,P_local,7200.0,continuous,3,-0.0020608687692613703,0.010034646202054631,0.0057296652317634774,False,-0.0018358934961708595,-0.0020608687692613703,-0.01187053969822549
epilepsiae_1096,P_local,7200.0,continuous:size,3,-0.00024337601091972694,0.007430107344662984,0.003757154432336508,False,-0.0049299012064398795,-0.00024337601091972694,0.0025002061382231044
epilepsiae_1096,P_local,7200.0,continuous:span,3,-0.011550347771139613,0.006424928863966839,0.0033461033489877155,True,-0.011550347771139613,-0.0067163286265286,-0.01314125749049544
epilepsiae_1096,P_local,7200.0,continuous:band_energy,3,-0.006903821883823769,0.026475391488881117,0.014066896565589735,False,-0.006903821883823769,-0.0019076655037169044,-0.02838305699259802
