horizon_seconds,arm,endpoint,n_subjects,n_positive,median_gain,p_sign,n_dropped_not_estimable,n_dropped_missing,seed_spread_median
300.0,B+shift25(S(P_slow_seed3)),continuous:band_peak,0,0,nan,nan,0,27,
300.0,B+shift25(S(P_slow_seed3)),continuous:embedding,0,0,nan,nan,0,27,
300.0,B+shift28(S(P_slow_seed1)),count,0,0,nan,nan,0,27,
300.0,B+shift28(S(P_slow_seed1)),participation,0,0,nan,nan,0,27,
300.0,B+shift28(S(P_slow_seed1)),continuous,0,0,nan,nan,0,27,
300.0,B+shift28(S(P_slow_seed1)),continuous:size,0,0,nan,nan,0,27,
300.0,B+shift28(S(P_slow_seed1)),continuous:span,0,0,nan,nan,0,27,
300.0,B+shift28(S(P_slow_seed1)),continuous:band_energy,0,0,nan,nan,0,27,
300.0,B+shift28(S(P_slow_seed1)),continuous:band_peak,0,0,nan,nan,0,27,
300.0,B+shift28(S(P_slow_seed1)),continuous:embedding,0,0,nan,nan,0,27,
300.0,B+shift5(S(P_slow_seed1)),count,25,7,-0.0116504343913717,0.043285250663757324,2,0,
300.0,B+shift5(S(P_slow_seed1)),participation,27,8,-0.0017810785669041262,0.052238985896110535,0,0,
300.0,B+shift5(S(P_slow_seed1)),continuous,27,8,-0.0005075032732715368,0.052238985896110535,0,0,
300.0,B+shift5(S(P_slow_seed1)),continuous:size,27,12,-0.00023405371340778913,0.7011080384254456,0,0,
300.0,B+shift5(S(P_slow_seed1)),continuous:span,27,7,-0.0012565901463164053,0.0191572904586792,0,0,
300.0,B+shift5(S(P_slow_seed1)),continuous:band_energy,26,11,-0.0008939087815235114,0.557197093963623,1,0,
300.0,B+shift5(S(P_slow_seed1)),continuous:band_peak,27,8,-0.0004498214204702311,0.052238985896110535,0,0,
300.0,B+shift5(S(P_slow_seed1)),continuous:embedding,27,7,-0.0014312471309816388,0.0191572904586792,0,0,
300.0,B+shift7(S(P_local_seed1)),count,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_local_seed1)),participation,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_local_seed1)),continuous,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_local_seed1)),continuous:size,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_local_seed1)),continuous:span,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_local_seed1)),continuous:band_energy,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_local_seed1)),continuous:band_peak,0,0,nan,nan,0,27,
300.0,B+shift7(S(P_local_seed1)),continuous:embedding,0,0,nan,nan,0,27,
