phase,candidate_id,family,level,n_units,n_pooled_events,D_support,D_order,D_lag,D_cover,E_D_support,E_D_order,E_D_lag,E_D_cover,Z_D_support,Z_D_order,Z_D_lag,Z_D_cover,JK_D_support,JK_D_order,JK_D_lag,JK_D_cover,D_cloud_composite,J_fit_minimax,D_order_status,D_lag_status
screen,dc_g_EtoI_0p0,g_EtoI,0.0,4,187,0.3732906102630784,,,11.674216079557088,8.661886791467813,,,10.934047789700763,8.661886791467813,,,10.934047789700763,0.00997064263752167,,,0.12861135571793147,2.148962189054919,,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT
screen,dc_g_EtoI_0p5,g_EtoI,0.5,4,155,0.3864034144108195,0.1668322655478157,14.353748697429301,10.976587243629544,8.735092501770263,16.489110189305205,13.057014965156194,9.368619498255438,8.735092501770263,16.489110189305205,13.057014965156194,9.368619498255438,0.0213781348799661,0.017427488085208737,2.3022510605313857,0.7481958470157373,2.1504286725556976,16.489110189305205,NOT_ESTIMABLE_LOW_JOINT_SUPPORT,NOT_ESTIMABLE_LOW_JOINT_SUPPORT
screen,dc_g_EtoI_1p25,g_EtoI,1.25,4,124,0.29342550371719534,0.12617741254496784,29.39498249690871,9.454154273276773,6.078337042803637,22.023700332097977,31.317076349790053,5.366331651615691,6.078337042803637,22.023700332097977,31.317076349790053,5.366331651615691,0.006522503125814153,0.00828754293602696,3.519106931856175,0.265000314429564,1.7394197380436325,31.317076349790053,OK,OK
screen,dc_g_EtoI_1p5,g_EtoI,1.5,4,117,0.2934332085406626,0.12463130912563564,29.92188223231214,9.230700906407828,6.921768685484265,23.896459447222565,29.119540213285113,4.546799699797814,6.921768685484265,23.896459447222565,29.119540213285113,4.546799699797814,0.017150958278262126,0.010416300852409986,3.105230611431637,0.1275414204374174,1.8077191799508259,29.119540213285113,OK,OK
screen,dc_node_gain_0p75,node_gain,0.75,4,143,0.3185022098722903,0.08426552120128915,24.11629053732091,9.024264606308193,7.818089008380047,17.295020506435137,24.160664146766837,5.296752533359681,7.818089008380047,17.295020506435137,24.160664146766837,5.296752533359681,0.00996297046541361,0.010084465857446611,1.4490950437674317,0.21273967306315392,1.836187222213543,24.160664146766837,OK,OK
screen,dc_node_gain_0p875,node_gain,0.875,4,117,0.33038146680105557,0.0930730550469926,30.75364098883023,10.136464510930228,7.938214162607213,15.096297306056444,28.256983360645535,6.461586703017289,7.938214162607213,15.096297306056444,28.256983360645535,6.461586703017289,0.02513603091026157,0.026585516760412986,3.348738926588989,0.1078693531806951,1.8608520793895817,28.256983360645535,OK,OK
screen,dc_node_gain_1p125,node_gain,1.125,4,130,0.2755146158839294,0.15251520426070772,32.2122893934667,9.517898447186973,5.682531131609267,20.342125713424874,33.56622411986227,6.162481333749313,5.682531131609267,20.342125713424874,33.56622411986227,6.162481333749313,0.020439013628439327,0.02072991964086957,2.0225031996993583,0.05496137303124015,1.6802236588294226,33.56622411986227,OK,OK
screen,dc_node_gain_1p25,node_gain,1.25,4,126,0.3118961053643203,0.15110859935835205,30.677207263170022,9.394156931425043,7.384174233704836,22.367187804848623,28.052329529965945,5.845730826013639,7.384174233704836,22.367187804848623,28.052329529965945,5.845730826013639,0.01608032049711638,0.011793933123317502,2.3755976859244003,0.2667456652021733,1.8230844013132064,28.052329529965945,OK,OK
screen,dc_signed_depth_shrinkage_0p0,signed_depth_shrinkage,0.0,4,139,0.31465601791295245,0.10001281502078803,27.037738532974487,9.231228311802072,7.4377696577317725,17.582167118531572,28.564258010720255,5.633919372526853,7.4377696577317725,17.582167118531572,28.564258010720255,5.633919372526853,0.03054177091317551,0.007725067656415055,0.5899143862569849,0.1649429775691267,1.8165841575131743,28.564258010720255,OK,OK
screen,dc_signed_depth_shrinkage_0p5,signed_depth_shrinkage,0.5,4,140,0.31340317170507026,0.11129085622731405,27.08068868988016,9.20907156828426,7.103937212365904,20.300985072513786,28.667609285704483,5.115363068083633,7.103937212365904,20.300985072513786,28.667609285704483,5.115363068083633,0.03415989062112329,0.002904967509874098,2.667388151082123,0.22731607864025227,1.9497531403001074,28.667609285704483,OK,OK
screen,dualcore_s39_reference,reference,reference,4,143,0.3251849588041384,0.12180778780673186,28.849800353532274,9.687935072670806,8.00500061423515,18.849574790034737,31.171705217489095,6.952072386694805,8.00500061423515,18.849574790034737,31.171705217489095,6.952072386694805,0.015444820075166944,0.01115409992429012,3.5542971477976226,0.1965587162530139,1.8622870970476093,31.171705217489095,OK,OK
confirmation,dc_both_scale_1p25,both_scale,1.25,12,332,0.2046412247650501,0.13583338686359026,31.240492215389548,8.370355756646703,4.817013069065439,39.789643803633886,32.99284925340743,6.257875707591489,4.817013069065439,39.789643803633886,32.99284925340743,6.257875707591489,0.01712431130142201,0.004353773287280625,1.0026308368848227,0.17956677736792911,1.355095517480024,39.789643803633886,OK,OK
confirmation,dc_core_budget_scale_0p75,core_budget_scale,0.75,12,436,0.34572088245168003,0.09001512913733574,31.411288432294942,8.734606496302606,8.807349787649517,25.93259686575663,29.63646215393649,8.35025024687088,8.807349787649517,25.93259686575663,29.63646215393649,8.35025024687088,0.014460764697603075,0.012473910556048417,1.9366190177863374,0.16062319118218465,2.0010345330291672,29.63646215393649,OK,OK
confirmation,dc_ellipse_angle_deg_67p5,ellipse_angle_deg,67.5,12,515,0.4572172428371026,0.09886289235188932,13.836478122090362,9.291356741385261,11.532676340054742,30.086578614969657,14.181422744932794,10.544415292237767,11.532676340054742,30.086578614969657,14.181422744932794,10.544415292237767,0.008883237888151308,0.01326173055948896,0.5618053544899351,0.21160204069116167,2.347949391107815,30.086578614969657,OK,OK
confirmation,dc_ellipse_aspect_ratio_3p0,ellipse_aspect_ratio,3.0,12,264,0.15549254851653735,0.1310474552668597,28.720312504472556,8.63065946009291,3.433286752012223,45.281388101999525,29.57596113084122,6.70093436418077,3.433286752012223,45.281388101999525,29.57596113084122,6.70093436418077,0.00960780646660079,0.0028999720696026112,1.1293304961217159,0.1590830868088632,1.2853473870676992,45.281388101999525,OK,OK
confirmation,dc_g_EE_0p75,g_EE,0.75,12,293,0.11022589565903973,0.14306519292626627,31.989014364978317,8.286554381486173,2.1082482283795128,39.2277536175189,26.047258768237718,5.66125915424657,2.1082482283795128,39.2277536175189,26.047258768237718,5.66125915424657,0.012537144023066483,0.00748923581119703,1.0739811105876402,0.20652867587162668,1.073243329667781,39.2277536175189,OK,OK
confirmation,dc_g_EtoI_1p5,g_EtoI,1.5,12,410,0.33927582096186587,0.12084923792881248,35.44250666571353,8.878985189630763,8.185865066879675,39.20513465820175,36.631503084417616,8.057111973398303,8.185865066879675,39.20513465820175,36.631503084417616,8.057111973398303,0.009754202818993587,0.00868348548026633,1.6750383219907894,0.2250716787324149,1.9263661081877623,39.20513465820175,OK,OK
confirmation,dc_node_gain_1p125,node_gain,1.125,12,400,0.325782288921081,0.1543288215767472,33.72954305861866,8.70420060789445,8.055340689975242,49.417741677090376,37.16689806930914,7.603506135024424,8.055340689975242,49.417741677090376,37.16689806930914,7.603506135024424,0.009096265508841477,0.010034668670326949,1.2013350221376013,0.15705585521994028,1.8804172020679601,49.417741677090376,OK,OK
confirmation,dc_signed_depth_shrinkage_0p0,signed_depth_shrinkage,0.0,12,422,0.3491477222659715,0.10306350241849804,28.788674882395767,8.673598890475871,8.382204069793776,31.99163038070311,30.208864334157802,7.295315715909956,8.382204069793776,31.99163038070311,30.208864334157802,7.295315715909956,0.013133449645542661,0.005905866179118644,1.2217772823875968,0.28907904640794874,2.0131468908245576,31.99163038070311,OK,OK
confirmation,dualcore_s39_reference,reference,reference,12,412,0.33581658139563686,0.11476033128873712,30.06212200533007,8.859519443939384,8.432378449993891,33.25062720319678,39.42498886430907,7.7279441841741345,8.432378449993891,33.25062720319678,39.42498886430907,7.7279441841741345,0.0087350209475173,0.01590912730930877,1.1043331719357896,0.12542606864895592,1.8964710079931546,39.42498886430907,OK,OK
