relpath,size_bytes,mtime,md5
inv/pat_108402/adm_1084102/rec_108401102/108401102_0006_gpu.npz,530907,1618836550.24,54bd508854023b09baacf3f5319df362
inv/pat_108402/adm_1084102/rec_108401102/108401102_0007.head,668,1618043556.0,f1e9608e0319e9095ab5cf2130a0f59f
inv/pat_108402/adm_1084102/rec_108401102/108401102_0007_gpu.npz,221631,1618836643.33,984db7ef18943a2a5490a7a7b3e7128d
inv/pat_108402/adm_1084102/rec_108401102/108401102_0008.head,668,1618043766.0,9e28a30d695fc69909824bdf7f71afc7
inv/pat_108402/adm_1084102/rec_108401102/108401102_0008_gpu.npz,222905,1618836739.96,610aeb05479342d1af1953aa84de7269
inv/pat_108402/adm_1084102/rec_108401102/108401102_0009.head,668,1618043970.0,cf671f4c0fc8d9fd39bb6563a903d7b7
inv/pat_108402/adm_1084102/rec_108401102/108401102_0009_gpu.npz,236940,1618836829.13,e384ef36c8fc3121502d9e172e0fea62
inv/pat_108402/adm_1084102/rec_108401102/108401102_0010.head,668,1618044178.0,3f8935af67862e09166381796dd1f040
inv/pat_108402/adm_1084102/rec_108401102/108401102_0010_gpu.npz,172491,1618836931.26,b19b29f86fbc7424019355a627529647
inv/pat_108402/adm_1084102/rec_108401102/108401102_0011.head,668,1618044378.0,2843d15d66343b3b6ebe40ff07323d6f
inv/pat_108402/adm_1084102/rec_108401102/108401102_0011_gpu.npz,234267,1618837035.83,4a44b4aab699dfe41255dab1172b84ae
inv/pat_108402/adm_1084102/rec_108401102/108401102_0012.head,668,1618044578.0,34f61142cfdde02f87d305fa116f3459
inv/pat_108402/adm_1084102/rec_108401102/108401102_0012_gpu.npz,603217,1618837124.33,39dcb1d31956b6b4c8c9410a46629668
inv/pat_108402/adm_1084102/rec_108401102/108401102_0013.head,668,1618044778.0,b839fe486db50cb6924490e217e09b87
inv/pat_108402/adm_1084102/rec_108401102/108401102_0013_gpu.npz,364631,1618837220.91,0f74572f16c6efe9126e2e5ae4ee9e23
inv/pat_108402/adm_1084102/rec_108401102/108401102_0014.head,668,1618045136.0,c9dfbaff3a585ae347e307be3d524894
inv/pat_108402/adm_1084102/rec_108401102/108401102_0014_gpu.npz,183333,1618837314.94,9d46a403d21e4a5fc2a124ef8c1bcb5f
inv/pat_108402/adm_1084102/rec_108401102/108401102_0015.head,668,1618045338.0,f9de6099224df7b4ff12f9032854bdb3
inv/pat_108402/adm_1084102/rec_108401102/108401102_0015_gpu.npz,99402,1618837355.52,acd937f036d9d1b00c52122397a27413
inv/pat_108402/adm_1084102/rec_108401102/108401102_0016.head,668,1618045666.0,3a9fe4f15b23c20ed46505811c305645
inv/pat_108402/adm_1084102/rec_108401102/108401102_0016_gpu.npz,216925,1618837453.54,69fc4224a13d21bd1a99525a760fc787
inv/pat_108402/adm_1084102/rec_108401102/108401102_0017.head,668,1618045864.0,3aa5b699a0ba6a77aabc737d1c62b9ba
inv/pat_108402/adm_1084102/rec_108401102/108401102_0017_gpu.npz,201663,1618837549.87,d9f3ad512e99717b443f92fcb393e368
