candidate,stage,topology,noise,comparison,description,layer,mode,contact_i,contact_j,model_joint_n,patient_joint_n,model_i_precedes_j,patient_i_precedes_j,absolute_probability_error,lag_n,lag_mean,lag_median,lag_variance,lag_q05,lag_q95
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL10,ICL4,48,15948,0.5,0.7371143717080512,0.23711437170805116,48,-9.401657870014034,-1.484628100176451,917.9326649383677,-44.38298886692191,25.64872779932157
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL10,ICL3,48,16115,0.4583333333333333,0.7441824387216879,0.28584910538835456,48,-13.397632547789675,-11.984845003587907,1336.7604638645973,-55.06561127875075,31.133234562405505
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL10,ICL2,47,14459,0.3829787234042553,0.7500518708071098,0.36707314740285446,47,-19.94997837635196,-24.43791828905887,1708.0040181149845,-66.88703621732603,35.34521845831549
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL10,ICL1,48,13164,0.4583333333333333,0.7175630507444546,0.2592297174111213,48,-9.241839471151485,-10.673174302647567,1538.3568979648321,-53.686216986705496,41.86010656045086
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL7,ICL9,50,16312,0.68,0.5205676802354096,0.1594323197645905,50,3.9164852436251567,13.942451060308485,445.48048029999717,-36.924755451524376,22.78789657873085
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL7,ICL8,50,15903,0.66,0.5734767025089605,0.08652329749103949,50,0.7414227258144092,10.757032589739765,633.9658774141976,-45.455725342752245,29.645848544403542
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL7,SCL6,50,14664,0.82,0.5201513911620295,0.2998486088379705,50,3.6478738906663786,6.9838396486729835,52.87137651682915,-12.611571481100237,7.63180050726105
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL7,ICL7,50,12648,0.62,0.665994623655914,0.045994623655914,50,-0.024290461906762175,14.720454178863292,881.9575698923767,-52.675793985923974,36.40829302124816
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL7,ICL6,50,9494,0.62,0.7211923319991573,0.10119233199915734,50,-2.5389528728170854,18.09386340319452,1022.1876352802152,-58.82950474512209,27.138294325897952
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL7,ICL5,50,12064,0.6,0.7434930371352785,0.1434930371352785,50,-4.509262302639758,19.794971016072395,1312.8078784251227,-66.16072569242388,26.818090629308426
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL7,ICL4,50,16396,0.56,0.7421017321297878,0.18210173212978775,50,-5.165208924893445,15.611307826669872,1725.1939893182473,-73.07600192698155,33.29747691131735
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL7,ICL3,50,16611,0.52,0.7458611763289387,0.22586117632893865,50,-8.82673306961723,7.9635787137781335,2251.8239780732224,-83.69609120344231,37.974254752584784
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL7,ICL2,49,14938,0.4897959183673469,0.7579327888606239,0.26813687049327695,49,-15.495271084849316,-2.204935614445276,2659.238732797851,-92.39997980339322,43.51393572144771
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,SCL7,ICL1,50,13601,0.52,0.7284758473641644,0.20847584736416436,50,-4.660427092926129,9.099141270400196,2470.6373245611103,-79.5108202676607,50.369889130266436
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL9,ICL8,50,15955,0.3,0.5502977123158884,0.25029771231588843,50,-3.1750625178107477,-5.712706830429852,39.79536835159632,-8.75229529018245,8.089669697124133
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL9,SCL6,50,14110,0.32,0.5054571226080794,0.1854571226080794,50,-0.2686113529587783,-7.416919080931621,229.80280326172968,-15.542241372992203,24.220412590928568
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL9,ICL7,50,12572,0.36,0.6443684377982819,0.2843684377982819,50,-3.940775705531919,-3.9319686555045337,122.36615529545175,-15.810122954663257,14.996159230809415
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL9,ICL6,50,9326,0.46,0.6914003860175852,0.23140038601758522,50,-6.455438116442242,-1.6665718981087139,179.38127456975323,-22.11853941742629,10.311963673571356
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL9,ICL5,50,11699,0.52,0.6937345072228396,0.17373450722283956,50,-8.425747546264915,0.3918095337212435,330.50953708664434,-29.37353727681907,13.964236593778693
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL9,ICL4,50,16011,0.48,0.6908375491849353,0.21083754918493536,50,-9.081694168518602,-5.8395492055697105,583.5506488538964,-36.39260146417355,19.597955414823947
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL9,ICL3,50,16249,0.48,0.6938888546987507,0.21388885469875074,50,-12.743218313242387,-13.487278318461449,939.573134019379,-47.1404050052101,24.572913698710085
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL9,ICL2,49,14551,0.42857142857142855,0.7057246924609992,0.2771532638895707,49,-19.061814708666184,-24.04302506469321,1249.7855553053128,-58.77245301561707,28.09653365372696
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL9,ICL1,50,13229,0.48,0.677602237508504,0.19760223750850403,50,-8.576912336551286,-12.351715761839387,1108.8965514674667,-46.396485019882036,34.92138629501011
global_axis_+15,response,2511,847101,global_axis_+0,左移圆核｜全局EE轴偏移+15°,primary,ALL,ICL8,SCL6,50,14358,0.38,0.4489483214932442,0.0689483214932442,50,2.906451164851969,-4.287743455411828,382.6603838154748,-22.345792327701748,32.75029713888743
