z,alpha_G,trace,crossing_index,crossing_time_ms,period_ms,transversality_per_ms,crossing_clean,finite_full_rhs,transfer_support,natural_bounds,below_100hz,section_rE,section_rI,section_sEE,section_sEI,section_sIE,section_sII,section_rE_fast,section_mu_G,section_S_G
0.85,16.0,scout,1,941.9356424809614,608.5184855299246,0.00612435714812593,True,True,True,True,True,0.025610723133533433,0.017349328182808103,0.031029391145171607,0.06975284672034936,0.031029391145171607,0.06975284672034936,0.04522752217799715,0.6399485718500745,0.15
0.85,16.0,scout,2,1550.4541174471126,608.5184749661512,0.006124357292772542,True,True,True,True,True,0.02561068987660848,0.017349282343155505,0.031029351016450758,0.0697527717572508,0.031029351016450758,0.0697527717572508,0.045227484014369074,0.6399485834218034,0.15
0.85,16.0,scout,3,2158.972540631317,608.5184231842043,0.006124360645634446,True,True,True,True,True,0.025610664430042396,0.017349205705226533,0.031029320725394563,0.06975276207742638,0.031029320725394563,0.06975276207742638,0.0452274922671709,0.6399488516507557,0.15
0.85,16.0,scout,4,2767.4909532123647,608.5184125810479,0.006124366901414348,True,True,True,True,True,0.02561063251395079,0.017349072846659666,0.0310292829927174,0.06975275748075278,0.0310292829927174,0.06975275748075278,0.04522752709248069,0.6399493521131479,0.15
0.85,16.0,scout,5,3376.0094188812873,608.5184656689225,0.006124366659504209,True,True,True,True,True,0.02561062898128329,0.017349068297997556,0.03102927870900019,0.0697527411026019,0.03102927870900019,0.0697527411026019,0.04522752060602077,0.6399493327603367,0.15
0.85,16.0,scout,6,3984.5278592526615,608.5184403713743,0.0061243617603232645,True,True,True,True,True,0.025610698116536115,0.017349225301416176,0.03102936153270916,0.06975283370504742,0.03102936153270916,0.06975283370504742,0.045227546355001175,0.6399489408258612,0.15
0.85,16.0,scout,7,4593.0463333656435,608.518474112982,0.006124358463036451,True,True,True,True,True,0.02561072678177098,0.017349313106033278,0.031029395715930743,0.0697528689171096,0.031029395715930743,0.0697528689171096,0.045227542111010245,0.6399486770429161,0.15
0.85,16.0,scout,8,5201.564816329006,608.5184829633627,0.00612435710088845,True,True,True,True,True,0.02561072089642224,0.01734932650116943,0.031029388437104538,0.06975284332251791,0.031029388437104538,0.06975284332251791,0.04522751905740843,0.639948568071076,0.15
0.85,16.0,scout,9,5810.083288202516,608.51847187351,0.006124357712512708,True,True,True,True,True,0.02561068161436685,0.017349265953192573,0.031029341096068204,0.06975275824545123,0.031029341096068204,0.06975275824545123,0.04522747894982789,0.6399486170010167,0.15
0.85,16.0,scout,10,6418.601704953,608.518416750484,0.006124361742911017,True,True,True,True,True,0.025610656313767886,0.017349179261910517,0.031029311068383584,0.06975275505782405,0.031029311068383584,0.06975275505782405,0.04522749524108722,0.6399489394328813,0.15
0.85,16.0,scout,11,7027.120121634572,608.5184166815716,0.006124368426775216,True,True,True,True,True,0.025610615531126896,0.01734902816444355,0.03102926268912691,0.06975273564112176,0.03102926268912691,0.06975273564112176,0.045227524693256194,0.6399494741420173,0.15
0.85,16.0,scout,12,7635.638582493658,608.5184608590862,0.006124365317529525,True,True,True,True,True,0.025610644475789996,0.0173491082921037,0.031029297240059404,0.06975276445866534,0.031029297240059404,0.06975276445866534,0.04522752375465499,0.639949225402362,0.15
0.85,16.0,scout,13,8244.157022661442,608.5184401677843,0.006124360816105856,True,True,True,True,True,0.02561070527429913,0.01734924982726513,0.031029370053018333,0.06975284425376391,0.031029370053018333,0.06975284425376391,0.04522754422181304,0.6399488652884685,0.15
0.85,16.0,scout,14,8852.67549935424,608.5184766927978,0.006124357828243107,True,True,True,True,True,0.02561072381364423,0.017349319874562247,0.031029392054304633,0.06975285894602136,0.031029392054304633,0.06975285894602136,0.045227531162283494,0.6399486262594486,0.15
0.85,16.0,scout,15,9461.193976195169,608.518476840929,0.006124357020712061,True,True,True,True,True,0.025610713264330284,0.01734931688489782,0.031029379213459062,0.06975282315105025,0.031029379213459062,0.06975282315105025,0.04522750899446046,0.6399485616569649,0.15
0.85,16.0,scout,16,10069.712434411196,608.5184582160273,0.006124358354424086,True,True,True,True,True,0.02561067584995706,0.01734924978757797,0.031029334219176686,0.06975275310967378,0.031029334219176686,0.06975275310967378,0.0452274794128675,0.6399486683539269,0.15
0.85,16.0,scout,17,10678.230846976341,608.5184125651449,0.00612436306807008,True,True,True,True,True,0.025610649920310452,0.01734915044194644,0.03102930351813367,0.06975275192807384,0.03102930351813367,0.06975275192807384,0.04522750305885389,0.6399490454456064,0.15
0.85,16.0,scout,18,11286.74927399606,608.5184270197187,0.006124370103050269,True,True,True,True,True,0.02561059879318693,0.01734898348932602,0.031029242700935728,0.06975272075650296,0.031029242700935728,0.06975272075650296,0.045227524340370535,0.6399496082440216,0.15
0.85,16.0,scout,19,11895.267732085915,608.5184580898549,0.006124364170403955,True,True,True,True,True,0.025610661693896468,0.0173491450518498,0.031029317876980135,0.06975278527305948,0.031029317876980135,0.06975278527305948,0.04522753112336357,0.6399491336323164,0.15
