candidate,stage,topology,noise,comparison,description,layer,mode,contact,events,participation,patient_participation,rank_n,rank_mean,rank_median,rank_variance,rank_q05,rank_q95
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,ICL2,182,1.0,0.843247344461305,182,0.39644703587011276,0.0,0.19272620758418818,0.0,0.9166666666666666
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,ALL,ICL1,182,1.0,0.7710672736469398,182,0.5281517932616835,0.18181818181818182,0.17583197331145603,0.07142857142857142,1.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,TA,SCL9,83,0.03614457831325301,0.7913406760349412,3,0.9743589743589745,1.0,0.0019723865877712007,0.9307692307692308,1.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,TA,ICL11,83,0.963855421686747,0.8876566654006837,80,0.43723047785547775,0.3333333333333333,0.056007644156530485,0.18181818181818182,0.8333333333333334
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,TA,SCL8,83,0.024096385542168676,0.9051272312951006,2,0.5,0.5,0.5,0.05,0.95
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,TA,ICL10,83,0.963855421686747,0.8992783896695784,80,0.5738126456876456,0.5454545454545454,0.004433467457873828,0.45454545454545453,0.6666666666666666
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,TA,SCL7,83,0.3373493975903614,0.9323205469046715,28,0.0027472527472527475,0.0,0.0002113271344040574,0.0,0.0
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,TA,ICL9,83,0.9879518072289156,0.9011773642233194,82,0.3112243447609301,0.2727272727272727,0.024937074475063457,0.09090909090909091,0.6318181818181821
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,TA,ICL8,83,1.0,0.8823395366502089,83,0.12779439436065945,0.09090909090909091,0.0019285573220676586,0.09090909090909091,0.18181818181818182
follow_circle_out1_EI0.875,response,2511,847101,up3__circle,圆核｜离核EE×1，同核EI×0.875,all_detected,TA,SCL6,83,1.0,0.8318268135206989,83,0.028962001853568113,0.0,0.0017262005157301166,0.0,0.08333333333333333
