name,seed,eta_m,population,phase,window_s,count,event_frequency_Hz,median_duration_ms,median_onset_interval_ms,median_quiet_gap_ms,active_fraction,mean_rate_Hz,mean_Z
eta0_s9108402,9108402,0.0,All E,early,"[0.5, 3.5]",15,5.0,90.0,170.00000000000014,90.0,0.4666666666666667,16.16834375,0.9314078302512888
eta0_s9108402,9108402,0.0,All E,late,"[7.970000000000001, 10.97]",11,3.6666666666666665,110.0,279.9999999999994,150.0,0.4633333333333333,32.163604166666666,0.7815963569139001
eta0_s9108402,9108402,0.0,Core A,early,"[0.5, 3.5]",10,3.3333333333333335,40.0,270.0,230.0,0.14333333333333334,25.732979664014145,0.9176950715530711
eta0_s9108402,9108402,0.0,Core A,late,"[7.970000000000001, 10.97]",13,4.333333333333333,50.0,250.0,200.0,0.23,48.49160035366932,0.7423748741192441
eta0_s9108402,9108402,0.0,Core B,early,"[0.5, 3.5]",12,4.0,40.0,255.0,220.0,0.15666666666666668,27.264631043256994,0.911331508559512
eta0_s9108402,9108402,0.0,Core B,late,"[7.970000000000001, 10.97]",11,3.6666666666666665,70.0,279.9999999999994,200.0,0.25,60.022476675148425,0.7370741554671576
eta0.0005_s9108401,9108401,0.0005,All E,early,"[0.5, 3.5]",14,4.666666666666667,95.0,250.0,130.0,0.4533333333333333,18.312124999999998,0.9276712700815509
eta0.0005_s9108401,9108401,0.0005,All E,late,"[6.370000000000001, 9.370000000000001]",12,4.0,125.0,275.00000000000034,125.0,0.51,27.547447916666666,0.7995592366379987
eta0.0005_s9108401,9108401,0.0005,Core A,early,"[0.5, 3.5]",13,4.333333333333333,40.0,250.0,210.0,0.17,29.403183023872675,0.9037777204830625
eta0.0005_s9108401,9108401,0.0005,Core A,late,"[6.370000000000001, 9.370000000000001]",11,3.6666666666666665,50.0,269.99999999999955,220.0,0.22333333333333333,41.56189213085764,0.7578717327587747
eta0.0005_s9108401,9108401,0.0005,Core B,early,"[0.5, 3.5]",11,3.6666666666666665,40.0,250.0,210.0,0.14333333333333334,26.069550466497027,0.9085135476128406
eta0.0005_s9108401,9108401,0.0005,Core B,late,"[6.370000000000001, 9.370000000000001]",13,4.333333333333333,50.0,260.0000000000016,200.0,0.23,40.478371501272264,0.7582605921261564
eta0.0005_s9108402,9108402,0.0005,All E,early,"[0.5, 3.5]",18,6.0,84.99999999999999,160.00000000000014,80.0,0.49,16.795979166666662,0.9302493057952915
eta0.0005_s9108402,9108402,0.0005,All E,late,"[6.370000000000001, 9.370000000000001]",13,4.333333333333333,100.0,199.9999999999993,90.0,0.5033333333333333,28.96279166666667,0.7983324928260697
eta0.0005_s9108402,9108402,0.0005,Core A,early,"[0.5, 3.5]",11,3.6666666666666665,40.0,269.9999999999999,220.0,0.14333333333333334,23.499557913351016,0.9144141522730409
eta0.0005_s9108402,9108402,0.0005,Core A,late,"[6.370000000000001, 9.370000000000001]",11,3.6666666666666665,50.0,270.00000000000045,220.0,0.20666666666666667,46.29752431476569,0.7626020826302969
eta0.0005_s9108402,9108402,0.0005,Core B,early,"[0.5, 3.5]",12,4.0,40.0,250.0,210.0,0.15333333333333332,27.870229007633583,0.9128710849680727
eta0.0005_s9108402,9108402,0.0005,Core B,late,"[6.370000000000001, 9.370000000000001]",11,3.6666666666666665,60.0,259.9999999999998,220.0,0.24,52.27523324851569,0.7484742517433083
