tau_recovery_s,q_hold,phase,source_dt_ms,q_min,q_max,q_mean,q_mean_minus_hold,per_return_multiplier,closure_error,periodic_pass
80.0,0.845,0.25,0.0625,0.8448465135131034,0.8451538550692622,0.844999909573133,-9.042686699434199e-08,0.6506527931490473,1.1102230246251565e-16,True
80.0,0.845,0.5,0.0625,0.8448465091198935,0.8451538457502991,0.8449999056773726,-9.43226273752984e-08,0.6506516160957235,0.0,True
80.0,0.845,0.75,0.0625,0.8448465170518676,0.8451538561361575,0.8449999116745338,-8.832546616321935e-08,0.65065343273503,1.1102230246251565e-16,True
90.0,0.84,0.0,0.125,0.8398683228330537,0.8401325728396062,0.8400000000000002,2.220446049250313e-16,0.7096003083595281,0.0,True
90.0,0.84,0.25,0.125,0.8398683230763375,0.8401325728069865,0.8399999996782253,-3.2177471798178203e-10,0.7096002262693454,1.1102230246251565e-16,True
90.0,0.84,0.5,0.125,0.8398683244143529,0.8401325742386855,0.8400000021633467,2.163346723982329e-09,0.7096008319003078,0.0,True
90.0,0.84,0.75,0.125,0.8398683230230779,0.8401325729195156,0.8400000003436761,3.436760875885625e-10,0.7096003987205713,0.0,True
90.0,0.84,0.0,0.0625,0.8398681144325569,0.8401320724919358,0.8399996407565643,-3.592434356658458e-07,0.7097814128684505,0.0,True
90.0,0.84,0.25,0.0625,0.8398681134341094,0.840132073756396,0.8399996398765469,-3.6012345305813653e-07,0.7097812032696057,1.1102230246251565e-16,True
90.0,0.84,0.5,0.0625,0.8398681356598022,0.8401320943051453,0.8399996543349203,-3.456650796707095e-07,0.7097846360008754,0.0,True
90.0,0.84,0.75,0.0625,0.8398681145340372,0.8401320724062962,0.839999640848045,-3.5915195495395125e-07,0.7097814346376127,0.0,True
90.0,0.8425,0.0,0.125,0.8423664748785554,0.8426342279242628,0.8424999999999999,-1.1102230246251565e-16,0.6846242918279422,1.1102230246251565e-16,True
90.0,0.8425,0.25,0.125,0.8423664748412704,0.8426342278844747,0.8424999999678408,-3.21592752428046e-11,0.6846242810067893,1.1102230246251565e-16,True
90.0,0.8425,0.5,0.125,0.8423664740839507,0.8426342273872303,0.8424999988317894,-1.1682106393351432e-09,0.6846239704824619,1.1102230246251565e-16,True
90.0,0.8425,0.75,0.125,0.8423664754179097,0.8426342278532262,0.8425000002334279,2.334278326188155e-10,0.6846243714240183,0.0,True
90.0,0.8425,0.0,0.0625,0.8423663819840597,0.8426338825649793,0.8424997736259286,-2.2637407137704457e-07,0.6848224288455941,0.0,True
90.0,0.8425,0.25,0.0625,0.8423663818183962,0.842633882630765,0.8424997737484728,-2.262515271800325e-07,0.6848224647982925,0.0,True
90.0,0.8425,0.5,0.0625,0.8423663810424236,0.8426338818316729,0.8424997729164737,-2.2708352631628514e-07,0.6848222293307311,1.1102230246251565e-16,True
90.0,0.8425,0.75,0.0625,0.8423663818818102,0.8426338822567138,0.8424997733600414,-2.2663995857818975e-07,0.6848223546767759,0.0,True
90.0,0.845,0.0,0.125,0.8448635280048316,0.845136938066502,0.8450000000000002,2.220446049250313e-16,0.6534501735107157,0.0,True
90.0,0.845,0.25,0.125,0.8448635283897197,0.8451369379757946,0.8449999999915137,-8.486322755629772e-12,0.6534501725084954,0.0,True
90.0,0.845,0.5,0.125,0.8448635275735541,0.8451369371889949,0.8449999992552886,-7.447114036551739e-10,0.6534499271721326,0.0,True
90.0,0.845,0.75,0.125,0.8448635275875566,0.8451369383812587,0.8449999996740184,-3.259815750666917e-10,0.6534500649489146,0.0,True
90.0,0.845,0.0,0.0625,0.8448635629767107,0.8451367574514612,0.8449999189341272,-8.106587279232969e-08,0.6536675553838662,1.1102230246251565e-16,True
90.0,0.845,0.25,0.0625,0.8448635630833674,0.8451367575189142,0.8449999190095049,-8.099049508825118e-08,0.653667580045152,1.1102230246251565e-16,True
90.0,0.845,0.5,0.0625,0.8448635590975361,0.8451367492193609,0.8449999155083713,-8.449162869350602e-08,0.6536664082432414,1.1102230246251565e-16,True
90.0,0.845,0.75,0.0625,0.8448635662680152,0.8451367583727295,0.8449999208980477,-7.91019523216363e-08,0.6536682167699116,0.0,True
100.0,0.84,0.0,0.125,0.8398814891894296,0.8401193150290643,0.8400000000000004,4.440892098500626e-16,0.7114787907918825,0.0,True
100.0,0.84,0.25,0.125,0.8398814893822161,0.8401193150205905,0.8399999997081325,-2.918674191221271e-10,0.7114787089971821,1.1102230246251565e-16,True
100.0,0.84,0.5,0.125,0.8398814906649517,0.8401193163285259,0.8400000019622467,1.962246698461456e-09,0.7114793124887892,0.0,True
100.0,0.84,0.75,0.125,0.8398814893784818,0.8401193150886007,0.8400000003117346,3.1173463810318935e-10,0.7114788808236767,0.0,True
100.0,0.84,0.0,0.0625,0.839881299419928,0.8401188621193421,0.8399996743189343,-3.2568106567154587e-07,0.7116588448503653,0.0,True
100.0,0.84,0.25,0.0625,0.8398812984964967,0.8401188632794937,0.8399996735206864,-3.264793135837607e-07,0.7116586359840097,0.0,True
100.0,0.84,0.5,0.0625,0.8398813183920167,0.8401188820705319,0.8399996866349481,-3.1336505190715513e-07,0.711662056718695,0.0,True
100.0,0.84,0.75,0.0625,0.8398812995142394,0.8401188620408337,0.8399996744019065,-3.255980934868674e-07,0.7116588665434466,1.1102230246251565e-16,True
100.0,0.8425,0.0,0.125,0.8423798255485105,0.8426208043640061,0.8425,0.0,0.6867239772971444,1.1102230246251565e-16,True
100.0,0.8425,0.25,0.125,0.8423798255092133,0.842620804333057,0.8424999999708177,-2.91823232245747e-11,0.6867239665170571,0.0,True
100.0,0.8425,0.5,0.125,0.8423798248264914,0.8426208038699444,0.84249999893996,-1.0600400557336798e-09,0.6867236570827474,0.0,True
100.0,0.8425,0.75,0.125,0.8423798259953683,0.8426208043405604,0.8425000002118214,2.1182133824737548e-10,0.6867240565898671,0.0,True
100.0,0.8425,0.0,0.0625,0.8423797405217488,0.8426204919126701,0.8424997947700799,-2.052299201693586e-07,0.6869210266002213,1.1102230246251565e-16,True
100.0,0.8425,0.25,0.0625,0.8423797403578028,0.8426204919878699,0.8424997948812809,-2.051187191209891e-07,0.6869210624229669,1.1102230246251565e-16,True
100.0,0.8425,0.5,0.0625,0.8423797396735893,0.8426204912752183,0.8424997941263156,-2.0587368443347742e-07,0.6869208277946937,1.1102230246251565e-16,True
100.0,0.8425,0.75,0.0625,0.8423797403367197,0.8426204916089894,0.8424997945288066,-2.0547119339298092e-07,0.6869209526940402,0.0,True
