tau_recovery_s,q_hold,q_start,additive_start_mv,time_to_entry_ms,time_to_qsafe_ms,time_to_qreport_ms,persistence_off_bound_ms,reset_time_ms,reset_horizon_pass,minimum_zero_margin_mv,minimum_registered_margin_mv,zero_margin_pass,protected_margin_pass,release_after_reset_ms,time_to_additive_release_ms,q_at_reset,q_at_additive_release,q_never_decreases,post_reset_release_pass,handoff_pass
60.0,0.8425,0.8422996008093259,0.3687824964523316,16035.248120689566,80832.83344622872,146749.5707663153,2629.9184229899865,80832.83344622872,True,0.1662200848709417,0.1412200848709417,True,True,34973.69707427517,115806.53052050389,0.885,0.8916258025197649,True,True,True
60.0,0.845,0.8447953172803159,0.3651994466781616,13382.269502130115,78179.85482766926,144096.59214775584,2629.9184229899865,78179.85482766926,True,0.19920221071179225,0.17420221071179226,True,True,34856.536320547624,113036.39114821688,0.885,0.8916094344226666,True,True,True
70.0,0.84,0.8398304466543544,0.3718643665313721,21640.955662901764,97238.13854269743,174140.99874946513,2629.9184229899865,97238.13854269743,True,0.13344294832348602,0.10844294832348603,True,True,35073.56289762875,132311.70144032617,0.885,0.8909115961149814,True,True,True
70.0,0.8425,0.8423282181621059,0.3687824964523316,18673.063343144615,94270.24622294029,171173.10642970796,2629.9184229899865,94270.24622294029,True,0.1666359329236375,0.1416359329236375,True,True,34973.69707427517,129243.94329721546,0.885,0.8908986208481849,True,True,True
70.0,0.845,0.8448245476128633,0.3651994466781616,15575.573629968989,91172.75650976466,168075.61671653236,2629.9184229899865,91172.75650976466,True,0.19963077525087425,0.17463077525087425,True,True,34856.536320547624,126029.29283031228,0.885,0.8908833748866647,True,True,True
80.0,0.84,0.8398516333305571,0.3718643665313721,24704.346498713105,111101.1269327653,198990.11002621407,2629.9184229899865,111101.1269327653,True,0.13374818538492986,0.10874818538492986,True,True,35073.56289762875,146174.68983039405,0.885,0.8903241734684758,True,True,True
80.0,0.8425,0.8423496839157572,0.3687824964523316,21310.861838915804,107707.642272968,195596.6253664168,2629.9184229899865,107707.642272968,True,0.16694785876542073,0.14194785876542074,True,True,34973.69707427517,142681.3393472432,0.885,0.8903120873715802,True,True,True
80.0,0.845,0.8448464730296072,0.3651994466781616,17768.859155662736,104165.63958971495,192054.6226831637,2629.9184229899865,104165.63958971495,True,0.19995223776266086,0.17495223776266086,True,True,34856.536320547624,139022.17591026257,0.885,0.890297888937928,True,True,True
90.0,0.84,0.8398681134341094,0.3718643665313721,27767.72725358185,124964.10524189057,223839.21122202047,2629.9184229899865,124964.10524189057,False,0.13398561471704595,0.10898561471704596,True,True,35073.56289762875,160037.66813951932,0.885,0.8898411632073446,True,True,False
90.0,0.8425,0.8423663810424236,0.3687824964523316,23948.64930305002,121145.02729135875,220020.13327148862,2629.9184229899865,121145.02729135875,False,0.16719049013888185,0.14219049013888185,True,True,34973.69707427517,156118.7243656339,0.885,0.8898298844998427,True,True,False
90.0,0.845,0.8448635275735541,0.3651994466781616,19962.132494887202,117158.51048319593,216033.6164633258,2629.9184229899865,117158.51048319593,True,0.2002022853033098,0.1752022853033098,True,True,34856.536320547624,152015.04680374355,0.885,0.8898166365631957,True,True,True
100.0,0.84,0.8398812984964967,0.3718643665313721,30831.100971220556,138827.0765137858,248688.30538059678,2629.9184229899865,138827.0765137858,False,0.1341755722950799,0.1091755722950799,True,True,35073.56289762875,173900.63941141457,0.885,0.8894374516295265,True,True,False
100.0,0.8425,0.8423797396735893,0.3687824964523316,26586.42911053099,134582.40465309622,244443.63351990722,2629.9184229899865,134582.40465309622,False,0.16738460874934993,0.14238460874934994,True,True,34973.69707427517,169556.1017273714,0.885,0.8894268979847642,True,True,False
100.0,0.845,0.8448771720185939,0.3651994466781616,22155.39747650309,130151.37301906834,240012.6018858793,2629.9184229899865,130151.37301906834,False,0.20040233521003023,0.17540233521003024,True,True,34856.536320547624,165007.90933961596,0.885,0.8894145031992565,True,True,False
120.0,0.84,0.8399010776777672,0.3718643665313721,36957.83441305113,166553.00506412942,298386.4797043026,2629.9184229899865,166553.00506412942,False,0.1344605315360194,0.1094605315360194,True,True,35073.56289762875,201626.56796175818,0.885,0.8888016044868005,True,True,False
120.0,0.8425,0.8423997791070084,0.3687824964523316,31861.97353372806,161457.14418480636,293290.6188249795,2629.9184229899865,161457.14418480636,False,0.16767580826834513,0.14267580826834514,True,True,34973.69707427517,196430.84125908153,0.885,0.8887922811329189,True,True,False
120.0,0.845,0.8448976400427911,0.3651994466781616,26541.910698380576,156137.08134945887,287970.55598963203,2629.9184229899865,156137.08134945887,False,0.2007024299606376,0.17570242996063762,True,True,34856.536320547624,190993.6176700065,0.885,0.8887813332494453,True,True,False
160.0,0.84,0.8399258042427723,0.3718643665313721,49211.27003087898,222004.83089898337,397782.79708588094,2629.9184229899865,222004.83089898337,False,0.13481676787859223,0.10981676787859224,True,True,35073.56289762875,257078.39379661213,0.885,0.8879527016317822,True,True,False
160.0,0.8425,0.842424830780527,0.3687824964523316,42413.02852612748,215206.58939423185,390984.55558112945,2629.9184229899865,215206.58939423185,False,0.168039842276996,0.143039842276996,True,True,34973.69707427517,250180.28646850702,0.885,0.8879451798260489,True,True,False
160.0,0.845,0.8449232271713613,0.3651994466781616,35314.8999993411,208108.4608674455,383886.42705434305,2629.9184229899865,208108.4608674455,False,0.20107757916375757,0.17607757916375757,True,True,34856.536320547624,242964.99718799314,0.885,0.8879363493945208,True,True,False
