tau_recovery_s,q_hold,substeps,outcome,entered,entry_event_index,first_crossing_ms,minimum_q_before_last,minimum_q_after_last,minimum_q_full,final_q,pre_last_margin_pass,last_event_crosses_fold,last_event_target_reached,entry_pass
50.0,0.84,2,target_entry_event_6,True,6,10997.5,0.8570956856612965,0.8549863131139022,0.8549863131139022,0.8549999993146751,True,True,True,True
50.0,0.8425,1,entry_event_6,True,6,10997.0,0.8568160054162257,0.8549862661916072,0.8549862661916072,0.8550000001569201,False,True,True,False
50.0,0.8425,2,entry_event_6,True,6,10996.5,0.8568160054162158,0.854986266191592,0.854986266191592,0.8550000001569052,False,True,True,False
50.0,0.845,1,entry_event_6,True,6,10995.0,0.856483502561426,0.8549862090706233,0.8549862090706233,0.8549999993125437,False,True,True,False
50.0,0.845,2,entry_event_6,True,6,10995.0,0.8564835025614239,0.8549862090706133,0.8549862090706133,0.854999999312534,False,True,True,False
60.0,0.84,1,target_entry_event_6,True,6,10997.0,0.8573913670506892,0.8549886907672813,0.8549886907672813,0.8550000007712204,True,True,True,True
60.0,0.84,2,target_entry_event_6,True,6,10997.0,0.8573913670506865,0.8549886907672728,0.8549886907672728,0.8550000007712112,True,True,True,True
60.0,0.8425,1,target_entry_event_6,True,6,10996.0,0.85711074271135,0.854988642190639,0.854988642190639,0.854999999955136,True,True,True,True
60.0,0.8425,2,target_entry_event_6,True,6,10996.0,0.8571107427113442,0.8549886421906222,0.8549886421906222,0.8549999999551192,True,True,True,True
60.0,0.845,1,entry_event_6,True,6,10995.0,0.8567763103718561,0.8549885852822043,0.8549885852822043,0.8549999993450146,False,True,True,False
60.0,0.845,2,entry_event_6,True,6,10994.5,0.8567763103718523,0.8549885852821931,0.8549885852821931,0.8549999993450029,False,True,True,False
70.0,0.84,1,target_entry_event_6,True,6,10997.0,0.857603903498623,0.8549903883423455,0.8549903883423455,0.8550000009382225,True,True,True,True
70.0,0.84,2,target_entry_event_6,True,6,10996.5,0.8576039034986056,0.8549903883423109,0.8549903883423109,0.8550000009381883,True,True,True,True
70.0,0.8425,1,target_entry_event_6,True,6,10996.0,0.8573229565295796,0.8549903386947438,0.8549903386947438,0.85499999903517,True,True,True,True
70.0,0.8425,2,target_entry_event_6,True,6,10995.5,0.8573229565295691,0.8549903386947154,0.8549903386947154,0.8549999990351415,True,True,True,True
70.0,0.845,1,entry_event_6,True,6,10994.0,0.8569876139595577,0.854990282849581,0.854990282849581,0.8549999994849988,False,True,True,False
70.0,0.845,2,entry_event_6,True,6,10994.0,0.8569876139595397,0.8549902828495566,0.8549902828495566,0.8549999994849745,False,True,True,False
80.0,0.84,1,target_entry_event_6,True,6,10997.0,0.8577639841669409,0.8549916605211981,0.8549916605211981,0.8549999999936464,True,True,True,True
80.0,0.84,2,target_entry_event_6,True,6,10996.5,0.8577639841669348,0.8549916605211809,0.8549916605211809,0.854999999993629,True,True,True,True
80.0,0.8425,1,target_entry_event_6,True,6,10996.0,0.8574829194850268,0.8549916121170515,0.8549916121170515,0.8549999993146356,True,True,True,True
80.0,0.8425,2,target_entry_event_6,True,6,10995.5,0.8574829194850198,0.8549916121170412,0.8549916121170412,0.8549999993146253,True,True,True,True
80.0,0.845,1,target_entry_event_6,True,6,10994.0,0.8571471647981791,0.8549915570843103,0.8549915570843103,0.8550000005645665,True,True,True,True
80.0,0.845,2,target_entry_event_6,True,6,10993.5,0.857147164798172,0.854991557084298,0.854991557084298,0.8550000005645543,True,True,True,True
90.0,0.84,1,target_entry_event_6,True,6,10997.0,0.8578888908665149,0.8549926004593732,0.8549926004593732,0.8550000002738765,True,True,True,True
90.0,0.84,2,target_entry_event_6,True,6,10996.5,0.8578888908665038,0.8549926004593529,0.8549926004593529,0.8550000002738556,True,True,True,True
90.0,0.8425,1,target_entry_event_6,True,6,10995.0,0.8576078216219959,0.8549925918180847,0.8549925918180847,0.8549999990145111,True,True,True,True
90.0,0.8425,2,target_entry_event_6,True,6,10995.0,0.8576078216219838,0.8549925918180612,0.8549925918180612,0.8549999990144873,True,True,True,True
