tau_h_ms,theta_h,tau_depletion_ms,endpoint_residual_q,q_reserve,physical,evaluation_status,evaluation_error
5000.0,0.015,155.07368590689313,-0.00252619182532976,0.8401041853360984,True,physical,
5000.0,0.015,161.21368273280174,-0.001990043535888164,0.8400137316185238,True,physical,
5000.0,0.015,167.59678696150192,-0.0014372035513416925,0.8399195366417239,True,physical,
5000.0,0.015,174.23262420208926,-0.0008683017749987476,0.8398214578753396,True,physical,
5000.0,0.015,181.13120118060297,-0.0002840453545583932,0.8397193469839653,True,physical,
5000.0,0.015,188.30292082999352,0.00031478789099448345,0.8396130495980608,True,physical,
5000.0,0.015,195.75859797756357,0.0009273565341199053,0.8395024050763245,True,physical,
5000.0,0.015,203.50947565353638,0.0015527629621727712,0.8393872462590974,True,physical,
5000.0,0.015,211.5672420453486,0.002190061037203761,0.839267399212374,True,physical,
5000.0,0.015,219.94404812323222,0.0028382638744792743,0.8391426829620164,True,physical,
5000.0,0.015,228.65252596366324,0.003496351630499217,0.839012909217706,True,physical,
5000.0,0.015,237.70580779831158,0.00416327920086923,0.8388778820861891,True,physical,
5000.0,0.015,247.11754581721686,0.004837983739056195,0.8387373977733448,True,physical,
5000.0,0.015,256.90193275604946,0.005519391917850003,0.8385912442746203,True,physical,
5000.0,0.015,267.0737232985078,0.006206426866994685,0.8384392010533122,True,physical,
5000.0,0.015,277.64825632612275,0.006898014731211433,0.8382810387061724,True,physical,
5000.0,0.015,288.64147804902035,0.007593090804311808,0.8381165186158959,True,physical,
5000.0,0.015,300.0699660525271,0.008290605204895662,0.8379453925898113,True,physical,
5000.0,0.015,311.9509542958789,0.008989528069552,0.8377674024843315,True,physical,
5000.0,0.015,324.3023591007267,0.009688854248129708,0.8375822798145264,True,physical,
5000.0,0.015,337.1428061686362,0.010387607493985151,0.8373897453482175,True,physical,
5000.0,0.015,350.49165866831993,0.011084844149634954,0.8371895086839823,True,physical,
5000.0,0.015,364.36904643495205,0.011779656334392152,0.8369812678124229,True,physical,
5000.0,0.015,378.79589632561067,0.012471174646444427,0.8367647086599811,True,physical,
5000.0,0.015,393.7939637766091,0.013158570396404334,0.8365395046146943,True,physical,
5000.0,0.015,409.3858656103089,0.01384105739316599,0.8363053160330686,True,physical,
5000.0,0.015,425.5951141408963,0.014517893306104646,0.8360617897273979,True,physical,
5000.0,0.015,442.44615263053623,0.015188380629891363,0.8358085584326682,True,physical,
