family,candidate,reference,mode,metric,metric_zh,paired_runs,topologies,positive,negative,zero,median_change,min_change,max_change,minimum_support
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,TB,both_rods,两杆共同参与概率,1,1,0,0,1,0.0,0.0,0.0,-10
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,TB,participation_mae,通道参与概率误差,1,1,1,0,0,0.032292494010744716,0.032292494010744716,0.032292494010744716,-10
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,TB,pair_order_probability_mae,成对顺序概率误差,1,1,1,0,0,0.035941168313309235,0.035941168313309235,0.035941168313309235,-10
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,TB,SCL_minus_ICL_lag_median_ms,SCL−ICL 质心时差 (ms),1,1,0,1,0,-1.2731649824318083,-1.2731649824318083,-1.2731649824318083,-10
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,TB,local_width_ms_median,接触点局部宽度 (ms),1,1,0,0,1,0.0,0.0,0.0,-10
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,TB,recruitment_span_ms_median,跨接触点 t10 跨度 (ms),1,1,0,1,0,-14.0,-14.0,-14.0,-10
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,TB,B_minus_A_t10_ms_median,右−左核 t10 (ms),1,1,1,0,0,4.725339093531147,4.725339093531147,4.725339093531147,-10
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,TB,first_10pct_mass_core_share_median,早期10%活动的核内份额,1,1,1,0,0,0.1702575077095657,0.1702575077095657,0.1702575077095657,-10
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,TB,peak_active_components_median,峰值并行连通域数,1,1,1,0,0,1.0,1.0,1.0,-10
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,TB,n,本类合格事件数,1,1,0,1,0,-10.0,-10.0,-10.0,-10
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,TB,union_active_area_mm2_median,窗口内活动并集面积 (mm²),1,1,1,0,0,81.5,81.5,81.5,-10
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,TB,peak_active_area_mm2_median,峰值活动面积 (mm²),1,1,1,0,0,19.0,19.0,19.0,-10
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,TB,native_spatial_rms_mm_median,累计活动空间离散度 (mm),1,1,1,0,0,0.618853025551136,0.618853025551136,0.618853025551136,-10
circle_EI,curve_circle_out1_EI0.8125,curve_circle_out1_EI1,TB,peak_largest_component_fraction_median,峰值最大连通域活动份额,1,1,0,1,0,-0.0701166990830786,-0.0701166990830786,-0.0701166990830786,-10
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,SCL_upper_participation,SCL9/8 参与概率,6,3,3,3,0,0.00635620394696107,-0.10072463768115947,0.12916666666666665,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,ICL_contact_participation,ICL 平均参与概率,6,3,6,0,0,0.01829132182348775,0.008083984499078878,0.07998405103668249,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,both_rods,两杆共同参与概率,6,3,1,0,5,0.0,0.0,0.00952380952380949,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,participation_mae,通道参与概率误差,6,3,6,0,0,0.023300815663690896,0.004761217772499715,0.06067261756126746,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,pair_order_probability_mae,成对顺序概率误差,6,3,0,6,0,-0.10020896606106047,-0.2146104677305632,-0.027591284535841476,12
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,ALL,SCL_minus_ICL_lag_median_ms,SCL−ICL 质心时差 (ms),6,3,0,6,0,-1.6295815090411452,-1.820557135796662,-1.359785280712913,12
