family,candidate,reference,topology,noise,layer,mode,n,reference_n,SCL_upper_participation,ICL_contact_participation,both_rods,participation_mae,pair_order_probability_mae,SCL_minus_ICL_lag_median_ms,local_width_ms_median,recruitment_span_ms_median,B_minus_A_t10_ms_median,first_10pct_mass_core_share_median,peak_active_components_median,union_active_area_mm2_median,peak_active_area_mm2_median,native_spatial_rms_mm_median,peak_largest_component_fraction_median
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2511,847402,primary,TA,3,18,0.04761904761904756,-0.021645021645021578,0.0,-0.03171797916955535,-0.09161274655944576,-114.86452269941037,0.0,-62.0,-8.588086068045868,0.1900329708128832,0.0,-6.5,25.0,-0.5210002915693384,0.0028113992674938526
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2511,847402,primary,TB,48,90,0.01328502415458932,0.013131313131313105,0.0,0.024734299516908254,-0.004814497304881371,-1.132453371403244,0.0,-14.0,11.211284502613125,0.19788003556018366,1.0,91.0,17.5,0.8418824568378147,-0.0676276577285494
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2511,847402,all_detected,ALL,18,145,0.017220224243706284,0.009750562532453655,0.0,0.024251486410054396,-0.048899853600433696,-1.210055981795449,0.0,-12.0,9.075654710853996,0.19850853558387704,1.0,91.0,19.0,0.810675372992355,-0.06817634304986753
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2511,847402,all_detected,TA,2,19,0.03884711779448624,-0.012075643654591017,0.0,-0.025090298857664506,-0.09613124536186482,-114.77286958703189,0.0,-62.0,-8.796328117222401,0.19133639748937548,0.0,-6.0,24.0,-0.5219600045684967,0.002758156492370989
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2511,847402,all_detected,TB,16,126,0.013693270735524288,0.012987012987012991,0.0,0.02193158953722335,-0.010112917499977503,-1.0774871257781342,0.0,-12.0,10.415316026390428,0.19597917129257558,1.0,91.0,18.0,0.8334386651666303,-0.0676276577285494
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2711,847401,primary,ALL,51,120,0.12916666666666665,0.07998405103668249,0.0,0.05912538047191833,-0.2146104677305632,-1.5672245775558622,1.0,-12.0,6.9668502794302185,0.2261348983933498,0.0,71.0,22.0,0.5219366040364735,0.0
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2711,847401,primary,TA,34,16,0.4375,0.25454545454545463,0.0,-0.18557507279402455,-0.17607945825375956,-3.9806066944802296,0.0,-69.0,-9.772337111413435,0.18720602243294254,0.0,33.0,21.5,-0.19428819281194265,0.0
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2711,847401,primary,TB,17,104,0.08173076923076916,0.05618967809050457,0.0,0.07646217418944692,-0.022953553565331408,-1.0261846023713588,2.0,-10.0,6.99730016747435,0.22620795779400205,0.0,86.0,22.0,0.7029807291172041,0.0
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2711,847401,all_detected,ALL,7,166,0.09638554216867468,0.06488803347916106,0.0,0.06737930592086878,-0.2282690736456418,-1.4783344027291605,1.0,-12.0,7.091369180904621,0.21388469296687365,0.0,85.0,22.0,0.683191467818741,0.0
ellipse4_EI,curve_ellipse4_out1_EI0.75,curve_ellipse4_out1_EI1,2711,847401,all_detected,TA,32,18,0.41666666666666663,0.25454545454545463,0.0,-0.1767787764977283,-0.16189582327087473,-3.9806066944802296,0.0,-69.0,-9.772337111413435,0.18720602243294254,0.0,33.0,21.5,-0.19167262140032193,0.0
