subject,model,intervention,metric,nll_cost_vs_ordered
epilepsiae_1084,selected_ordered,reset_after_rank_1,step3_prefix_balanced_nll,-0.022629096859791087
epilepsiae_1084,selected_ordered,reset_after_rank_1,step4plus_prefix_balanced_nll,-0.03213848689513643
epilepsiae_1084,selected_ordered,reset_after_rank_2,heldout_event_balanced_nll,0.020952463150024636
epilepsiae_1084,selected_ordered,reset_after_rank_2,step0_prefix_balanced_nll,0.0
epilepsiae_1084,selected_ordered,reset_after_rank_2,step1_prefix_balanced_nll,0.0
epilepsiae_1084,selected_ordered,reset_after_rank_2,step2_prefix_balanced_nll,0.0
epilepsiae_1084,selected_ordered,reset_after_rank_2,step3_prefix_balanced_nll,-0.01023256062158473
epilepsiae_1084,selected_ordered,reset_after_rank_2,step4plus_prefix_balanced_nll,-0.015765325800763064
epilepsiae_1084,selected_ordered,reverse_prefix,heldout_event_balanced_nll,0.008780717849731667
epilepsiae_1084,selected_ordered,reverse_prefix,step0_prefix_balanced_nll,0.0
epilepsiae_1084,selected_ordered,reverse_prefix,step1_prefix_balanced_nll,0.0
epilepsiae_1084,selected_ordered,reverse_prefix,step2_prefix_balanced_nll,-0.0013615550890642147
epilepsiae_1084,selected_ordered,reverse_prefix,step3_prefix_balanced_nll,0.01716138495773567
epilepsiae_1084,selected_ordered,reverse_prefix,step4plus_prefix_balanced_nll,0.010943677115698547
epilepsiae_1096,full_history_gru,drop_earliest,heldout_event_balanced_nll,0.03580939769744895
epilepsiae_1096,full_history_gru,drop_earliest,step0_prefix_balanced_nll,0.0
epilepsiae_1096,full_history_gru,drop_earliest,step1_prefix_balanced_nll,0.07822063870625029
epilepsiae_1096,full_history_gru,drop_earliest,step2_prefix_balanced_nll,-0.025820611021670548
epilepsiae_1096,full_history_gru,drop_earliest,step3_prefix_balanced_nll,-0.033321178926095874
epilepsiae_1096,full_history_gru,drop_earliest,step4plus_prefix_balanced_nll,0.057673378324346825
epilepsiae_1096,full_history_gru,reset_after_rank_0,heldout_event_balanced_nll,0.03580939769744895
epilepsiae_1096,full_history_gru,reset_after_rank_0,step0_prefix_balanced_nll,0.0
epilepsiae_1096,full_history_gru,reset_after_rank_0,step1_prefix_balanced_nll,0.07822063870625029
epilepsiae_1096,full_history_gru,reset_after_rank_0,step2_prefix_balanced_nll,-0.025820611021670548
epilepsiae_1096,full_history_gru,reset_after_rank_0,step3_prefix_balanced_nll,-0.033321178926095874
epilepsiae_1096,full_history_gru,reset_after_rank_0,step4plus_prefix_balanced_nll,0.057673378324346825
epilepsiae_1096,full_history_gru,reset_after_rank_1,heldout_event_balanced_nll,0.08625829219818115
epilepsiae_1096,full_history_gru,reset_after_rank_1,step0_prefix_balanced_nll,0.0
epilepsiae_1096,full_history_gru,reset_after_rank_1,step1_prefix_balanced_nll,0.0
epilepsiae_1096,full_history_gru,reset_after_rank_1,step2_prefix_balanced_nll,0.0419735021701273
epilepsiae_1096,full_history_gru,reset_after_rank_1,step3_prefix_balanced_nll,-0.04078845561901301
epilepsiae_1096,full_history_gru,reset_after_rank_1,step4plus_prefix_balanced_nll,0.20375302150111985
epilepsiae_1096,full_history_gru,reset_after_rank_2,heldout_event_balanced_nll,0.19107210636138916
epilepsiae_1096,full_history_gru,reset_after_rank_2,step0_prefix_balanced_nll,0.0
epilepsiae_1096,full_history_gru,reset_after_rank_2,step1_prefix_balanced_nll,0.0
epilepsiae_1096,full_history_gru,reset_after_rank_2,step2_prefix_balanced_nll,0.0
epilepsiae_1096,full_history_gru,reset_after_rank_2,step3_prefix_balanced_nll,0.06094838751675602
epilepsiae_1096,full_history_gru,reset_after_rank_2,step4plus_prefix_balanced_nll,0.45259548985376186
epilepsiae_1096,full_history_gru,reverse_prefix,heldout_event_balanced_nll,0.015211820602416992
epilepsiae_1096,full_history_gru,reverse_prefix,step0_prefix_balanced_nll,0.0
epilepsiae_1096,full_history_gru,reverse_prefix,step1_prefix_balanced_nll,0.0
epilepsiae_1096,full_history_gru,reverse_prefix,step2_prefix_balanced_nll,0.011782699047848011
epilepsiae_1096,full_history_gru,reverse_prefix,step3_prefix_balanced_nll,0.09297758278827017
epilepsiae_1096,full_history_gru,reverse_prefix,step4plus_prefix_balanced_nll,0.04703377812880993
epilepsiae_1096,selected_ordered,drop_earliest,heldout_event_balanced_nll,0.003893256187438965
epilepsiae_1096,selected_ordered,drop_earliest,step0_prefix_balanced_nll,0.0
epilepsiae_1096,selected_ordered,drop_earliest,step1_prefix_balanced_nll,0.06601474039470001
