name,ee,depth,seed,topology,noise,family,duration_ms,group,observed_s,n_neurons,onset_threshold,mean_rate_hz,max_fraction_10ms,label,n_bursts,iei_median_s,cv,cv2,lag1_log_iei_r,half_median_ratio,burst_duty,max_burst_s,acf_peak,spectral_peak_hz,threshold_stable,median_peak_active_fraction_2ms,ordering_p,ordering_peak_hz,ordering_peak_score,v1_label,measurement_version,actual_duration_ms
ee1.2_d1.3_n1_t2511_s848101,1.2,1.3,848101,2511,True,grid,20000.0,allE,18.0,32000,0.1,15.512888888888888,0.4228125,regular_bursts,72,0.25,0.0640818446321,0.06905396948839744,-0.05460851864809533,1.0000000000000036,0.37777777777777755,0.13,0.8098728759170785,4.0,True,0.166109375,0.91,2.1666666666666665,3.4906705412870145,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d1.3_n1_t2511_s848101,1.2,1.3,848101,2511,True,grid,20000.0,surroundE,18.0,30538,0.1,14.677260025760257,0.4119785185670312,regular_bursts,72,0.25,0.06619909630270444,0.06938666461841349,-0.006701043248429985,1.0416666666666659,0.36944444444444424,0.12,0.8112911581604326,4.0,True,0.15574038902351167,0.295,5.166666666666666,5.117430792574134,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d1.3_n1_t2511_s848102,1.2,1.3,848102,2511,True,grid,20000.0,coreAE,18.0,720,0.1,33.97299382716049,1.0,regular_bursts,72,0.25,0.07149481947960837,0.05763422967484517,0.26690188460318204,1.0,0.1661111111111112,0.05,0.6347462969623985,4.0,True,0.8472222222222222,0.19,8.666666666666666,5.200039925854795,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d1.3_n1_t2511_s848102,1.2,1.3,848102,2511,True,grid,20000.0,coreBE,18.0,742,0.1,32.84673554956574,1.0,regular_bursts,73,0.25,0.06539892575708021,0.07166689247362788,-0.0680058488842063,1.0416666666666659,0.16611111111111118,0.05,0.6011684018638448,4.0,True,0.8504043126684636,0.295,13.11111111111111,4.869477419403891,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d1.3_n1_t2511_s848102,1.2,1.3,848102,2511,True,grid,20000.0,coreUnionE,18.0,1462,0.1,33.401390788873684,1.0,regular_bursts,84,0.2400000000000002,0.29894264935748,0.3563252139530865,0.042960565010238976,1.0,0.3166666666666666,0.1,0.6178531671871771,4.0,True,0.43296853625171,0.235,8.055555555555555,5.421905420088736,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d1.3_n1_t2511_s848102,1.2,1.3,848102,2511,True,grid,20000.0,allE,18.0,32000,0.1,15.583222222222222,0.39878125,regular_bursts,73,0.25,0.05958101799745954,0.05525091354762109,0.31993256284401145,1.0,0.36055555555555546,0.13,0.8486247281498094,4.0,True,0.16628125,0.21,8.666666666666666,5.025372036301213,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee1.2_d1.3_n1_t2511_s848102,1.2,1.3,848102,2511,True,grid,20000.0,surroundE,18.0,30538,0.1,14.730181340552026,0.37510642478223855,regular_bursts,73,0.25,0.06182094201230493,0.05832807730126715,0.2216432951204172,1.0,0.3472222222222222,0.13,0.8483890952262509,4.0,True,0.15344816294452812,0.07,8.666666666666666,5.941804485522446,regular_bursts,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d1_n1_t2511_s848101,0.5,1.0,848101,2511,True,grid,20000.0,coreAE,18.0,720,0.1,0.7079475308641975,0.06666666666666667,background,0,,,,,,0.0,0.0,,1.0,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d1_n1_t2511_s848101,0.5,1.0,848101,2511,True,grid,20000.0,coreBE,18.0,742,0.1,0.6540880503144655,0.07951482479784366,background,0,,,,,,0.0,0.0,,0.5,False,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
ee0.5_d1_n1_t2511_s848101,0.5,1.0,848101,2511,True,grid,20000.0,coreUnionE,18.0,1462,0.1,0.6806125550995592,0.046511627906976744,background,0,,,,,,0.0,0.0,,2.5,True,,,,,background,native_burst_metrics_v2_frequency_standardized_ordering,20000.0
