run,ee,seed,group,arm,contrast,context,lo_s,hi_s,burst_rate_hz,label,n_bursts,mean_rate_hz,cv,cv2,median_peak_active_fraction_2ms,iei_median_s
ee1.2_s848101_all_off_probe,1.2,848101,coreAE,all_off_probe,all_removed,baseline,8.0,12.0,3.75,regular_bursts,15,29.124305555555555,0.08039434608262895,0.09469069963276196,0.8347222222222223,0.2600000000000001
ee1.2_s848101_all_off_probe,1.2,848101,coreAE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee1.2_s848101_all_off_probe,1.2,848101,coreBE,all_off_probe,all_removed,baseline,8.0,12.0,3.75,regular_bursts,15,30.45047169811321,0.07952774019043046,0.0742169451242237,0.8382749326145552,0.2599999999999999
ee1.2_s848101_all_off_probe,1.2,848101,coreBE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee1.2_s848101_all_off_probe,1.2,848101,coreAE,all_off_probe,probe_late,baseline,14.0,20.0,3.5,regular_bursts,21,26.86550925925926,0.10459435711327558,0.10903453326633557,0.8361111111111111,0.2699999999999998
ee1.2_s848101_all_off_probe,1.2,848101,coreAE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee1.2_s848101_all_off_probe,1.2,848101,coreBE,all_off_probe,probe_late,baseline,14.0,20.0,3.5,regular_bursts,21,28.389263252470798,0.13188669387090154,0.14994188999116115,0.8355795148247979,0.27
ee1.2_s848101_all_off_probe,1.2,848101,coreBE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee1.2_s848101_ou_off,1.2,848101,coreAE,ou_off,ou_removed,baseline,8.0,20.0,3.5833333333333335,regular_bursts,43,27.875925925925927,0.12591585170630795,0.1188304169221175,0.8347222222222223,0.2699999999999996
ee1.2_s848101_ou_off,1.2,848101,coreAE,ou_off,ou_removed,intervention,8.0,20.0,3.4166666666666665,regular_bursts,41,28.094791666666666,0.06233201097633875,0.062337662133451203,0.8347222222222223,0.28000000000000025
ee1.2_s848101_ou_off,1.2,848101,coreBE,ou_off,ou_removed,baseline,8.0,20.0,3.5833333333333335,regular_bursts,43,28.79952830188679,0.11812980102768852,0.11925333240749635,0.8342318059299192,0.2699999999999996
ee1.2_s848101_ou_off,1.2,848101,coreBE,ou_off,ou_removed,intervention,8.0,20.0,3.4166666666666665,regular_bursts,41,27.87915543575921,0.061302396059471784,0.06941763529805864,0.8342318059299192,0.28000000000000025
ee1.2_s848102_all_off_probe,1.2,848102,coreAE,all_off_probe,all_removed,baseline,8.0,12.0,3.5,regular_bursts,14,28.068055555555556,0.07851729737067212,0.06735075350173474,0.83125,0.28
ee1.2_s848102_all_off_probe,1.2,848102,coreAE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee1.2_s848102_all_off_probe,1.2,848102,coreBE,all_off_probe,all_removed,baseline,8.0,12.0,3.5,regular_bursts,14,27.121967654986523,0.14354613182604167,0.12064003995708905,0.8288409703504043,0.27
ee1.2_s848102_all_off_probe,1.2,848102,coreBE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee1.2_s848102_all_off_probe,1.2,848102,coreAE,all_off_probe,probe_late,baseline,14.0,20.0,3.5,regular_bursts,21,28.863425925925927,0.11220781324039733,0.12628998951779127,0.8388888888888889,0.2700000000000003
ee1.2_s848102_all_off_probe,1.2,848102,coreAE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee1.2_s848102_all_off_probe,1.2,848102,coreBE,all_off_probe,probe_late,baseline,14.0,20.0,3.5,regular_bursts,21,28.736298292902067,0.09060966118591893,0.12371957450148384,0.8382749326145552,0.29000000000000004
ee1.2_s848102_all_off_probe,1.2,848102,coreBE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee1.2_s848102_ou_off,1.2,848102,coreAE,ou_off,ou_removed,baseline,8.0,20.0,3.5,regular_bursts,42,28.607291666666665,0.09547701506677857,0.10009816025007028,0.8326388888888889,0.28
ee1.2_s848102_ou_off,1.2,848102,coreAE,ou_off,ou_removed,intervention,8.0,20.0,3.5,regular_bursts,42,28.94606481481481,0.05486364122925274,0.05524280322113018,0.8347222222222223,0.28999999999999915
ee1.2_s848102_ou_off,1.2,848102,coreBE,ou_off,ou_removed,baseline,8.0,20.0,3.5,regular_bursts,42,28.187106918238996,0.10964253831220651,0.1225427334257081,0.8382749326145552,0.28000000000000025
ee1.2_s848102_ou_off,1.2,848102,coreBE,ou_off,ou_removed,intervention,8.0,20.0,3.5,regular_bursts,42,28.89072327044025,0.05634420882350896,0.07838115589970848,0.8382749326145552,0.2900000000000009
ee1_s848101_all_off_probe,1.0,848101,coreAE,all_off_probe,all_removed,baseline,8.0,12.0,3.5,regular_bursts,14,19.43611111111111,0.08590778863495549,0.1005416503040345,0.6840277777777778,0.29000000000000004
ee1_s848101_all_off_probe,1.0,848101,coreAE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee1_s848101_all_off_probe,1.0,848101,coreBE,all_off_probe,all_removed,baseline,8.0,12.0,3.5,regular_bursts,14,18.4572102425876,0.11668562476743136,0.11345587594224338,0.6765498652291104,0.29000000000000004
ee1_s848101_all_off_probe,1.0,848101,coreBE,all_off_probe,all_removed,intervention,8.0,12.0,0.0,background,0,0.0,,,,
ee1_s848101_all_off_probe,1.0,848101,coreAE,all_off_probe,probe_late,baseline,14.0,20.0,3.3333333333333335,regular_bursts,20,18.71898148148148,0.11729623271550453,0.15733602087820325,0.71875,0.28000000000000025
ee1_s848101_all_off_probe,1.0,848101,coreAE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
ee1_s848101_all_off_probe,1.0,848101,coreBE,all_off_probe,probe_late,baseline,14.0,20.0,3.3333333333333335,regular_bursts,20,17.71967654986523,0.1458871380825114,0.19287483448915865,0.6731805929919137,0.28000000000000025
ee1_s848101_all_off_probe,1.0,848101,coreBE,all_off_probe,probe_late,intervention,14.0,20.0,0.0,background,0,0.0,,,,
