fork_index,z,alpha_G,initial_kind,initial_label,primary_classification,phase,transfer_audit_status,fine_classification,extra_fine_classification,fine_tail_mean_hz,extra_fine_tail_mean_hz,fine_tail_peak_hz,extra_fine_tail_peak_hz,fine_frequency_hz,extra_fine_frequency_hz,extra_fine_support_violation_step_count,extra_fine_over_100hz_tail_step_count,direct_exact_error_pass,fine_direct_exact_max_abs_error_hz,extra_fine_direct_exact_max_abs_error_hz,fine_direct_exact_p99_relative_error,extra_fine_direct_exact_p99_relative_error,final_status,confirm_status,confirm_extra_fine_classification,confirm_extra_fine_tail_mean_hz,confirm_extra_fine_tail_peak_hz,confirm_extra_fine_frequency_hz,dt_half_classification,dt_half_tail_mean_hz,dt_half_tail_peak_hz,dt_half_vs_confirm_rate_abs_difference_hz,dt_half_vs_confirm_frequency_abs_difference_hz,dt_half_direct_exact_pass
40,0.81,16.0,on_manifold_probe,probe_ceiling,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.134217210307624,7.134935947794858,93.92650425434113,93.80124509334564,2.079002079002123,2.079002079002123,0,0,True,0.008233842380526296,0.0020740106045748566,0.00710639552163896,0.0017595977718760248,numerical_unresolved,,,,,,,,,,,
41,0.81,16.0,stage0b_off_manifold_probe,e_synapse_loaded_i_low,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.155545195274194,7.154230600786386,92.89001673460007,93.90190243721008,2.079002079002123,2.079002079002123,0,0,True,0.01014665244221738,0.002293695564613285,0.003635552475135219,0.0011358808837178198,numerical_unresolved,,,,,,,,,,,
42,0.81,16.0,stage0b_off_manifold_probe,i_synapse_loaded_e_low,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.1409681123723,7.141210385363475,94.02734041213989,93.52293610572815,2.079002079002123,2.079002079002123,0,0,True,0.010445369169831409,0.002763025184805007,0.0075296678534003784,0.0017430679102572984,numerical_unresolved,,,,,,,,,,,
43,0.81,16.0,stage0b_off_manifold_probe,rate_high_synapse_low,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.156966940263623,7.154903221348293,93.86187046766281,93.01260113716125,2.079002079002123,2.079002079002123,0,0,True,0.008884802037071107,0.0027043589381527122,0.0045085937995539395,0.0014353788226943345,numerical_unresolved,,,,,,,,,,,
44,0.81,16.0,stage0b_off_manifold_probe,rate_low_synapse_high,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.157556046204149,7.154221092486316,93.2779535651207,93.65025907754898,2.079002079002123,2.079002079002123,0,0,True,0.010034140146332818,0.0019813848538725864,0.004255184103439245,0.0011530048591053348,numerical_unresolved,,,,,,,,,,,
45,0.81,16.0,pool_off_manifold_probe,pool_unloaded_at_high_rate,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.156596249615649,7.1543824172572945,93.82384270429611,93.08619797229767,2.079002079002123,2.079002079002123,0,0,True,0.008470644053840647,0.0021125984756373978,0.0035247277448432934,0.001185787529358425,numerical_unresolved,,,,,,,,,,,
46,0.81,16.0,pool_off_manifold_probe,sensor_loaded_pool_empty,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.155274485964948,7.154271411314983,93.93838793039322,93.78871321678162,2.079002079002123,2.079002079002123,0,0,True,0.015060863782584422,0.0032891075472316067,0.005782957149755396,0.0018812973991858518,numerical_unresolved,,,,,,,,,,,
47,0.81,16.0,pool_off_manifold_probe,mu_loaded_s_empty,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.155460782972089,7.151626166343019,92.86190569400787,93.83909404277802,2.079002079002123,2.079002079002123,0,0,True,0.015060863782584422,0.0032891075472316067,0.005389831837416707,0.0012491038996416655,numerical_unresolved,,,,,,,,,,,
48,0.81,16.0,pool_off_manifold_probe,pool_loaded_at_low_rate,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.154600875509764,7.153221650914097,94.0326526761055,92.92550384998322,2.079002079002123,2.079002079002123,0,0,True,0.015060863782584422,0.0032891075472316067,0.003412561391255845,0.0011564611666908227,numerical_unresolved,,,,,,,,,,,
49,0.81,16.0,root_perturbation,root_0_minus,indeterminate_long_transient,screen,numerical_unresolved,indeterminate_long_transient,indeterminate_long_transient,7.157327711466978,7.1550453049779374,93.7950387597084,93.15382689237595,2.079002079002123,2.079002079002123,0,0,True,0.01017944693208414,0.002663081935635331,0.00404005844380798,0.0011483630727214043,numerical_unresolved,,,,,,,,,,,
