subject,control,direction_type,direction_index,n_contacts,median_cross_seed_spearman,median_heldout_half_spearman
epilepsiae_583,full_history_gru,pca,2,7,0.642857142857143,1.0
epilepsiae_583,rank_shuffle_gru,output_coupled,1,7,0.8928571428571429,1.0
epilepsiae_583,rank_shuffle_gru,output_coupled,2,7,0.0,0.9642857142857145
epilepsiae_583,rank_shuffle_gru,pca,1,7,0.8571428571428573,0.9285714285714288
epilepsiae_583,rank_shuffle_gru,pca,2,7,0.9285714285714288,1.0
epilepsiae_590,full_history_gru,output_coupled,1,16,0.6588235294117648,0.9911764705882352
epilepsiae_590,full_history_gru,output_coupled,2,16,-0.9205882352941176,0.9970588235294118
epilepsiae_590,full_history_gru,pca,1,16,0.4617647058823529,0.9852941176470588
epilepsiae_590,full_history_gru,pca,2,16,0.5117647058823529,0.9911764705882352
epilepsiae_590,rank_shuffle_gru,output_coupled,1,16,0.9235294117647058,0.9823529411764707
epilepsiae_590,rank_shuffle_gru,output_coupled,2,16,-0.9382352941176471,0.988235294117647
epilepsiae_590,rank_shuffle_gru,pca,1,16,0.8088235294117646,0.9588235294117649
epilepsiae_590,rank_shuffle_gru,pca,2,16,0.65,0.9852941176470588
epilepsiae_620,full_history_gru,output_coupled,1,9,0.9500000000000001,1.0
epilepsiae_620,full_history_gru,output_coupled,2,9,0.8833333333333333,1.0
epilepsiae_620,full_history_gru,pca,1,9,0.8499999999999999,1.0
epilepsiae_620,full_history_gru,pca,2,9,0.9833333333333333,1.0
epilepsiae_620,rank_shuffle_gru,output_coupled,1,9,0.9333333333333332,1.0
epilepsiae_620,rank_shuffle_gru,output_coupled,2,9,0.5166666666666667,0.9833333333333333
epilepsiae_620,rank_shuffle_gru,pca,1,9,0.9500000000000001,0.9833333333333333
epilepsiae_620,rank_shuffle_gru,pca,2,9,0.5333333333333333,1.0
epilepsiae_635,full_history_gru,output_coupled,1,10,0.7575757575757575,0.9636363636363635
epilepsiae_635,full_history_gru,output_coupled,2,10,-0.6121212121212121,0.9999999999999999
