subject,seed_dir,control,k,random_index,random_variance_fidelity,pca_variance_fidelity,random_nll_loss,pca_nll_loss,pca_advantage_nll
epilepsiae_1077,seed_20260725,full_history_gru,1,2,0.0129615935357955,0.5750266193488069,0.1967858161678859,0.0861637249657567,0.1106220912021291
epilepsiae_1077,seed_20260725,full_history_gru,1,3,0.0632016278446088,0.5750266193488069,0.2032190222316701,0.0861637249657567,0.1170552972659133
epilepsiae_1077,seed_20260725,full_history_gru,1,4,0.0358342548754366,0.5750266193488069,0.1937721270518353,0.0861637249657567,0.1076084020860785
epilepsiae_1077,seed_20260725,full_history_gru,1,5,0.0769279531290477,0.5750266193488069,0.1791605896559001,0.0861637249657567,0.0929968646901433
epilepsiae_1077,seed_20260725,full_history_gru,1,6,0.0235988021620212,0.5750266193488069,0.1818538281909285,0.0861637249657567,0.0956901032251718
epilepsiae_1077,seed_20260725,full_history_gru,1,7,0.0296382122588516,0.5750266193488069,0.1894683770648997,0.0861637249657567,0.1033046520991429
epilepsiae_1077,seed_20260725,full_history_gru,2,0,0.0535356581445576,0.8061415755277368,0.1771725906487389,0.019452849511401,0.1577197411373379
epilepsiae_1077,seed_20260725,full_history_gru,2,1,0.1007187941412538,0.8061415755277368,0.1880997183698041,0.019452849511401,0.168646868858403
epilepsiae_1077,seed_20260725,full_history_gru,2,2,0.1437186453082868,0.8061415755277368,0.1401126317012573,0.019452849511401,0.1206597821898562
epilepsiae_1077,seed_20260725,full_history_gru,2,3,0.0346876192197359,0.8061415755277368,0.1940401513162042,0.019452849511401,0.1745873018048032
epilepsiae_1077,seed_20260725,full_history_gru,2,4,0.0438474940126255,0.8061415755277368,0.1940217901621337,0.019452849511401,0.1745689406507327
epilepsiae_1077,seed_20260725,full_history_gru,2,5,0.0825502775845276,0.8061415755277368,0.1582500991971409,0.019452849511401,0.1387972496857399
epilepsiae_1077,seed_20260725,full_history_gru,2,6,0.1274819802050629,0.8061415755277368,0.1826397067685667,0.019452849511401,0.1631868572571657
epilepsiae_1077,seed_20260725,full_history_gru,2,7,0.0556677730892082,0.8061415755277368,0.1867413464505392,0.019452849511401,0.1672884969391381
epilepsiae_1077,seed_20260725,full_history_gru,4,0,0.1117770471106739,0.9502250793397036,0.1531150255421554,-0.0032298391355392,0.1563448646776946
epilepsiae_1077,seed_20260725,full_history_gru,4,1,0.0652234800262605,0.9502250793397036,0.1928604922277459,-0.0032298391355392,0.1960903313632851
epilepsiae_1077,seed_20260725,full_history_gru,4,2,0.0940199116289127,0.9502250793397036,0.1791818527572712,-0.0032298391355392,0.1824116918928104
epilepsiae_1077,seed_20260725,full_history_gru,4,3,0.112560656444441,0.9502250793397036,0.1729223319935651,-0.0032298391355392,0.1761521711291043
epilepsiae_1077,seed_20260725,full_history_gru,4,4,0.1873497038953273,0.9502250793397036,0.1825674356306472,-0.0032298391355392,0.1857972747661864
epilepsiae_1077,seed_20260725,full_history_gru,4,5,0.105129968364612,0.9502250793397036,0.1629761627483061,-0.0032298391355392,0.1662060018838453
epilepsiae_1077,seed_20260725,full_history_gru,4,6,0.2178860470818685,0.9502250793397036,0.1211620638972992,-0.0032298391355392,0.1243919030328384
epilepsiae_1077,seed_20260725,full_history_gru,4,7,0.1090825876596846,0.9502250793397036,0.1929361705363372,-0.0032298391355392,0.1961660096718764
epilepsiae_1077,seed_20260725,full_history_gru,8,0,0.3511927974821578,0.991232290924771,0.1017025799625637,0.0002261519759834,0.1014764279865803
epilepsiae_1077,seed_20260725,full_history_gru,8,1,0.2015114974611633,0.991232290924771,0.1625419744860017,0.0002261519759834,0.1623158225100183
epilepsiae_1077,seed_20260725,full_history_gru,8,2,0.3051432397041805,0.991232290924771,0.1579685984293712,0.0002261519759834,0.1577424464533878
epilepsiae_1077,seed_20260725,full_history_gru,8,3,0.3324863212410793,0.991232290924771,0.1096743130354471,0.0002261519759834,0.1094481610594637
epilepsiae_1077,seed_20260725,full_history_gru,8,4,0.2653829412366036,0.991232290924771,0.0801290539614414,0.0002261519759834,0.079902901985458
epilepsiae_1077,seed_20260725,full_history_gru,8,5,0.2330167507675186,0.991232290924771,0.1179398994667628,0.0002261519759834,0.1177137474907794
epilepsiae_1077,seed_20260725,full_history_gru,8,6,0.3520611950907496,0.991232290924771,0.1242206065191395,0.0002261519759834,0.1239944545431561
epilepsiae_1077,seed_20260725,full_history_gru,8,7,0.2726196610818521,0.991232290924771,0.1312354034217562,0.0002261519759834,0.1310092514457728
epilepsiae_1077,seed_20260725,full_history_gru,16,0,0.4999513678022368,0.9991033506606188,0.0509439641008309,5.874986049358988e-05,0.0508852142403373
epilepsiae_1077,seed_20260725,full_history_gru,16,1,0.4846058991845053,0.9991033506606188,0.0687741655146791,5.874986049358988e-05,0.0687154156541856
epilepsiae_1077,seed_20260725,full_history_gru,16,2,0.3530643667594539,0.9991033506606188,0.1367713117701767,5.874986049358988e-05,0.1367125619096831
epilepsiae_1077,seed_20260725,full_history_gru,16,3,0.5628077662564616,0.9991033506606188,0.0780180284548677,5.874986049358988e-05,0.0779592785943741
epilepsiae_1077,seed_20260725,full_history_gru,16,4,0.5042094777162767,0.9991033506606188,0.0956032715085757,5.874986049358988e-05,0.0955445216480821
epilepsiae_1077,seed_20260725,full_history_gru,16,5,0.6807854904992785,0.9991033506606188,0.0274587309156708,5.874986049358988e-05,0.0273999810551772
epilepsiae_1077,seed_20260725,full_history_gru,16,6,0.4518544198573783,0.9991033506606188,0.1403393620939736,5.874986049358988e-05,0.1402806122334801
epilepsiae_1077,seed_20260725,full_history_gru,16,7,0.5813285230421881,0.9991033506606188,0.0775935797980527,5.874986049358988e-05,0.0775348299375591
epilepsiae_1077,seed_20260725,rank_shuffle_gru,1,0,0.0106349957065954,0.8227513611923225,0.161525729839091,0.0199202103990718,0.1416055194400192
epilepsiae_1077,seed_20260725,rank_shuffle_gru,1,1,0.040851905827559,0.8227513611923225,0.1515085097908186,0.0199202103990718,0.1315882993917467
epilepsiae_1077,seed_20260725,rank_shuffle_gru,1,2,0.0224752428945401,0.8227513611923225,0.1591736086038595,0.0199202103990718,0.1392533982047876
epilepsiae_1077,seed_20260725,rank_shuffle_gru,1,3,0.046906002532163,0.8227513611923225,0.1526687321650872,0.0199202103990718,0.1327485217660153
epilepsiae_1077,seed_20260725,rank_shuffle_gru,1,4,0.0101897669327256,0.8227513611923225,0.1681020349459556,0.0199202103990718,0.1481818245468837
epilepsiae_1077,seed_20260725,rank_shuffle_gru,1,5,0.137782064186472,0.8227513611923225,0.1365003539143972,0.0199202103990718,0.1165801435153253
epilepsiae_1077,seed_20260725,rank_shuffle_gru,1,6,0.0049093869522119,0.8227513611923225,0.1670961982723038,0.0199202103990718,0.1471759878732319
